"word","Orthography","bucket_q","uni_prob","bi_prob_smoothed","group","filename","display","randomise_trials"
NA,NA,NA,NA,NA,NA,NA,"Prompt",NA
"x1 o1 r u","jorru","uni1-bi1",-18.53696104,-22.27188496,10,"x1_o1_r_u.mp3","Task",1
"ɲ i ɲ1 i1","ñiñí","uni1-bi1",-20.57747794,-28.60263929,10,"ɲ_i_ɲ1_i1.mp3","Task",1
"ɲ u t͡ʃ1 e1","ñuché","uni1-bi1",-21.32398199,-24.52553376,10,"ɲ_u_t͡ʃ1_e1.mp3","Task",1
"t͡ʃ1 o1 t͡ʃ e","choche","uni1-bi2",-19.37930217,-16.70640065,10,"t͡ʃ1_o1_t͡ʃ_e.mp3","Task",1
"b u t͡ʃ1 u1","buchú","uni1-bi2",-19.32100548,-18.02627928,10,"b_u_t͡ʃ1_u1.mp3","Task",1
"f i ɲ1 i1","fiñí","uni1-bi2",-18.73531684,-18.38135652,10,"f_i_ɲ1_i1.mp3","Task",1
"t͡ʃ1 u1 ɲ a","chuña","uni1-bi2",-20.57520288,-16.77541155,10,"t͡ʃ1_u1_ɲ_a.mp3","Task",1
"f u t͡ʃ1 e1","fuché","uni1-bi3",-19.48182089,-15.34896751,10,"f_u_t͡ʃ1_e1.mp3","Task",1
"t͡ʃ1 e1 ɲ a","cheña","uni1-bi3",-19.51025082,-15.24629302,10,"t͡ʃ1_e1_ɲ_a.mp3","Task",1
"t͡ʃ1 u1 k o","chuco","uni1-bi3",-17.32749888,-15.67300675,10,"t͡ʃ1_u1_k_o.mp3","Task",1
"b1 u1 t͡ʃ a","bucha","uni1-bi4",-17.90172446,-12.91468944,10,"b1_u1_t͡ʃ_a.mp3","Task",1
"k1 u1 t͡ʃ a","cucha","uni1-bi4",-17.92044284,-11.82140476,10,"k1_u1_t͡ʃ_a.mp3","Task",1
"m1 e1 t͡ʃ o","mecho","uni1-bi4",-17.18074059,-12.88997029,10,"m1_e1_t͡ʃ_o.mp3","Task",1
"r1 u1 t͡ʃ o","rucho","uni1-bi4",-19.4475126,-13.9656272,10,"r1_u1_t͡ʃ_o.mp3","Task",1
"l1 i1 r u","lirru","uni2-bi1",-16.78104809,-24.31089601,10,"l1_i1_r_u.mp3","Task",1
"n1 i1 r u","niru","uni2-bi1",-15.94859513,-26.01571559,10,"n1_i1_r_u.mp3","Task",1
"m1 u1 t u","mutu","uni2-bi1",-16.81692048,-19.98756196,10,"m1_u1_t_u.mp3","Task",1
"u1 o1 i u","huoyu","uni2-bi1",-15.85238627,-27.43391995,10,"u1_o1_i_u.mp3","Task",1
"t͡ʃ o i1 e1","choyé","uni2-bi2",-15.73483632,-17.09606927,10,"t͡ʃ_o_i1_e1.mp3","Task",1
"ɲ1 i1 t o","ñito","uni2-bi2",-16.36752353,-18.75291423,10,"ɲ1_i1_t_o.mp3","Task",1
"g1 u1 d i","gudi","uni2-bi2",-16.40254872,-16.66477138,10,"g1_u1_d_i.mp3","Task",1
"l1 i1 t͡ʃ o","licho","uni2-bi3",-16.79891387,-15.31557471,10,"l1_i1_t͡ʃ_o.mp3","Task",1
"t͡ʃ1 e1 d e","chede","uni2-bi3",-15.97958503,-15.32317855,10,"t͡ʃ1_e1_d_e.mp3","Task",1
"t͡ʃ a b1 e1","chabé","uni2-bi3",-16.83677241,-15.06654254,10,"t͡ʃ_a_b1_e1.mp3","Task",1
"d i b1 u1","dibú","uni2-bi3",-15.72092506,-15.92608731,10,"d_i_b1_u1.mp3","Task",1
"r e x1 e1","rejé","uni2-bi4",-16.22868227,-11.86165292,10,"r_e_x1_e1.mp3","Task",1
"i1 e1 t͡ʃ o","yecho","uni2-bi4",-15.73483632,-14.16032756,10,"i1_e1_t͡ʃ_o.mp3","Task",1
"t͡ʃ1 a1 b e","chabe","uni2-bi4",-16.01760263,-12.98556493,10,"t͡ʃ1_a1_b_e.mp3","Task",1
"u1 o1 ɾ i","huori","uni3-bi1",-14.92593513,-21.20552809,10,"u1_o1_ɾ_i.mp3","Task",1
"p1 i1 u e","pihue","uni3-bi1",-14.81577631,-19.81614044,10,"p1_i1_u_e.mp3","Task",1
"u1 o1 p i","huopi","uni3-bi1",-15.55046586,-23.8195994,10,"u1_o1_p_i.mp3","Task",1
"u e u1 o1","huehuó","uni3-bi1",-15.13787932,-25.19604828,10,"u_e_u1_o1.mp3","Task",1
"u a g1 e1","guagué","uni3-bi2",-15.3731774,-18.70619913,10,"u_a_g1_e1.mp3","Task",1
"p o n1 u1","ponú","uni3-bi2",-14.75684618,-17.09632594,10,"p_o_n1_u1.mp3","Task",1
"n1 u1 r o","nuro","uni3-bi2",-15.56606176,-17.51433348,10,"n1_u1_r_o.mp3","Task",1
"i e t͡ʃ1 i1","llechí","uni3-bi2",-15.46773939,-17.92431307,10,"i_e_t͡ʃ1_i1.mp3","Task",1
"b a s1 u1","vasú","uni3-bi3",-14.63949674,-15.65165893,10,"b_a_s1_u1.mp3","Task",1
"p1 a1 f e","pafe","uni3-bi3",-15.49711438,-14.76538792,10,"p1_a1_f_e.mp3","Task",1
"b a x1 i1","bagí","uni3-bi3",-15.25653277,-14.81568902,10,"b_a_x1_i1.mp3","Task",1
"b i k1 e1","biqué","uni3-bi4",-15.1423602,-14.0607263,10,"b_i_k1_e1.mp3","Task",1
"f1 a1 m o","famo","uni3-bi4",-15.12702682,-12.57931907,10,"f1_a1_m_o.mp3","Task",1
"x1 o1 t e","jote","uni3-bi4",-15.31725507,-14.11195961,10,"x1_o1_t_e.mp3","Task",1
"x1 a1 d o","jado","uni3-bi4",-14.72545847,-10.59087241,10,"x1_a1_d_o.mp3","Task",1
"n o u1 o1","nohuó","uni4-bi1",-14.2782092,-24.21809581,10,"n_o_u1_o1.mp3","Task",1
"i1 a1 m u","llamu","uni4-bi1",-14.25197372,-20.65248154,10,"i1_a1_m_u.mp3","Task",1
"n1 e1 u o","nehuo","uni4-bi1",-13.99381453,-23.2049212,10,"n1_e1_u_o.mp3","Task",1
"t o ɾ1 u1","torú","uni4-bi2",-13.69314463,-18.35464257,10,"t_o_ɾ1_u1.mp3","Task",1
"s e u1 a1","sehuá","uni4-bi2",-12.61333459,-18.65614407,10,"s_e_u1_a1.mp3","Task",1
"s a n1 i1","saní","uni4-bi2",-12.03215448,-17.07252583,10,"s_a_n1_i1.mp3","Task",1
"u e s1 i1","huesí","uni4-bi2",-13.69425445,-17.83442418,10,"u_e_s1_i1.mp3","Task",1
"i a k1 e1","llaqué","uni4-bi3",-13.61597948,-15.64264904,10,"i_a_k1_e1.mp3","Task",1
"s u s1 a1","susá","uni4-bi3",-13.65056077,-14.67833794,10,"s_u_s1_a1.mp3","Task",1
"s o s1 i1","sosí","uni4-bi3",-12.287582,-15.32237035,10,"s_o_s1_i1.mp3","Task",1
"s e n1 i1","sení","uni4-bi3",-12.03708608,-15.849465,10,"s_e_n1_i1.mp3","Task",1
"i1 a1 d e","llade","uni4-bi4",-12.2162053,-12.43242985,10,"i1_a1_d_e.mp3","Task",1
"m1 a1 ɾ o","maro","uni4-bi4",-13.67941956,-11.09929816,10,"m1_a1_ɾ_o.mp3","Task",1
"s1 i1 s e","sise","uni4-bi4",-12.09884014,-11.96316436,10,"s1_i1_s_e.mp3","Task",1
