"word","Orthography","bucket_q","uni_prob","bi_prob_smoothed","group","filename","display","randomise_trials"
NA,NA,NA,NA,NA,NA,NA,"Prompt",NA
"ɲ1 u1 ɲ o","ñuño","uni1-bi1",-21.28923719,-22.39294382,7,"ɲ1_u1_ɲ_o.mp3","Task",1
"ɲ1 o1 ɲ e","ñoñe","uni1-bi1",-20.53502246,-22.32393354,7,"ɲ1_o1_ɲ_e.mp3","Task",1
"ɲ u b1 u1","ñubú","uni1-bi1",-20.35081507,-26.24672789,7,"ɲ_u_b1_u1.mp3","Task",1
"ɲ u g1 a1","ñugá","uni1-bi1",-19.53783545,-24.3321325,7,"ɲ_u_g1_a1.mp3","Task",1
"t͡ʃ i t͡ʃ1 o1","chichó","uni1-bi2",-20.09380911,-18.87904345,7,"t͡ʃ_i_t͡ʃ1_o1.mp3","Task",1
"r u g1 u1","rufú","uni1-bi2",-18.75915579,-17.45526441,7,"r_u_g1_u1.mp3","Task",1
"t͡ʃ1 o1 ɲ o","choño","uni1-bi2",-20.20340347,-16.64792716,7,"t͡ʃ1_o1_ɲ_o.mp3","Task",1
"t͡ʃ e ɲ1 o1","cheñó","uni1-bi2",-19.89966302,-17.31693647,7,"t͡ʃ_e_ɲ1_o1.mp3","Task",1
"x u t1 u1","jutú","uni1-bi2",-18.07108899,-18.31126825,7,"x_u_t1_u1.mp3","Task",1
"t͡ʃ1 e1 t͡ʃ o","checho","uni1-bi3",-19.06856484,-15.56270594,7,"t͡ʃ1_e1_t͡ʃ_o.mp3","Task",1
"k u ɲ1 e1","cuñé","uni1-bi3",-18.40296539,-15.33048294,7,"k_u_ɲ1_e1.mp3","Task",1
"r1 o1 t͡ʃ o","rocho","uni1-bi3",-18.88203973,-14.7111634,7,"r1_o1_t͡ʃ_o.mp3","Task",1
"f1 u1 ɲ a","fuña","uni1-bi3",-19.73658519,-14.78575178,7,"f1_u1_ɲ_a.mp3","Task",1
"r u d1 o1","rudó","uni1-bi4",-17.2994485,-13.35858363,7,"r_u_d1_o1.mp3","Task",1
"f u d1 o1","fudó","uni1-bi4",-17.73057034,-13.43173155,7,"f_u_d1_o1.mp3","Task",1
"k1 u1 t͡ʃ e","cuche","uni1-bi4",-17.92537443,-12.74333592,7,"k1_u1_t͡ʃ_e.mp3","Task",1
"s1 u1 t͡ʃ o","sucho","uni1-bi4",-17.26573932,-13.8074898,7,"s1_u1_t͡ʃ_o.mp3","Task",1
"m1 e1 ɲ a","meña","uni1-bi4",-17.62242658,-12.57355737,7,"m1_e1_ɲ_a.mp3","Task",1
"u1 o1 t u","huotu","uni2-bi1",-16.04306768,-24.91270518,7,"u1_o1_t_u.mp3","Task",1
"g a u1 o1","gahuó","uni2-bi1",-15.80509676,-21.46183984,7,"g_a_u1_o1.mp3","Task",1
"b1 i1 r u","birru","uni2-bi1",-16.84000779,-22.86713321,7,"b1_i1_r_u.mp3","Task",1
"u1 o1 m u","huomu","uni2-bi1",-16.41862847,-25.22373126,7,"u1_o1_m_u.mp3","Task",1
"m1 e1 t u","metu","uni2-bi2",-15.75196842,-18.3395366,7,"m1_e1_t_u.mp3","Task",1
"n i t͡ʃ1 a1","nichá","uni2-bi2",-15.97104805,-18.72813993,7,"n_i_t͡ʃ1_a1.mp3","Task",1
"p1 a1 f i","pafi","uni2-bi2",-16.21162133,-17.4346252,7,"p1_a1_f_i.mp3","Task",1
"x1 i1 m i","gimi","uni2-bi2",-15.73527134,-17.52418298,7,"x1_i1_m_i.mp3","Task",1
"ɲ1 i1 k o","ñico","uni2-bi2",-16.61033539,-18.7133365,7,"ɲ1_i1_k_o.mp3","Task",1
"x u s1 i1","jusí","uni2-bi3",-16.59308257,-15.02758601,7,"x_u_s1_i1.mp3","Task",1
"x e p1 o1","gepó","uni2-bi3",-16.57785632,-15.34131984,7,"x_e_p1_o1.mp3","Task",1
"x1 e1 g e","gegue","uni2-bi3",-16.39353613,-15.34247188,7,"x1_e1_g_e.mp3","Task",1
"k i f1 e1","quifé","uni2-bi3",-15.94969421,-15.96224315,7,"k_i_f1_e1.mp3","Task",1
"d1 e1 t͡ʃ o","decho","uni2-bi4",-16.8178351,-13.55707275,7,"d1_e1_t͡ʃ_o.mp3","Task",1
"m1 u1 g a","muga","uni2-bi4",-16.57894956,-14.17937326,7,"m1_u1_g_a.mp3","Task",1
"t͡ʃ1 o1 n e","chone","uni2-bi4",-16.18567151,-14.20900846,7,"t͡ʃ1_o1_n_e.mp3","Task",1
"b1 e1 x e","bege","uni2-bi4",-15.78651387,-12.32152271,7,"b1_e1_x_e.mp3","Task",1
"f1 u1 ɾ a","fura","uni2-bi4",-16.02955593,-12.176094579999999,7,"f1_u1_ɾ_a.mp3","Task",1
"f o u1 a1","fohuá","uni3-bi1",-15.33590778,-21.2139043,7,"f_o_u1_a1.mp3","Task",1
"d1 e1 u o","dehuo","uni3-bi1",-14.67261643,-21.23271366,7,"d1_e1_u_o.mp3","Task",1
"u1 e1 u i","huehui","uni3-bi1",-15.35290708,-23.89314144,7,"u1_e1_u_i.mp3","Task",1
"u o u1 o1","huohuó","uni3-bi1",-15.32662118,-27.44042866,7,"u_o_u1_o1.mp3","Task",1
"d1 i1 p i","dipi","uni3-bi2",-14.72388882,-18.74757961,7,"d1_i1_p_i.mp3","Task",1
"l a l1 u1","lalú","uni3-bi2",-15.13660492,-17.48601512,7,"l_a_l1_u1.mp3","Task",1
"g e i1 o1","guelló","uni3-bi2",-14.57250401,-16.66603568,7,"g_e_i1_o1.mp3","Task",1
"t1 i1 g i","tigui","uni3-bi2",-15.32139251,-17.90549138,7,"t1_i1_g_i.mp3","Task",1
"t͡ʃ a n1 a1","chaná","uni3-bi2",-15.51570852,-17.07943122,7,"t͡ʃ_a_n1_a1.mp3","Task",1
"d o t1 u1","dotú","uni3-bi3",-14.60598346,-15.91966596,7,"d_o_t1_u1.mp3","Task",1
"f1 i1 t i","fiti","uni3-bi3",-15.53431006,-15.66433219,7,"f1_i1_t_i.mp3","Task",1
"l u ɾ1 e1","luré","uni3-bi3",-14.59092033,-15.32179101,7,"l_u_ɾ1_e1.mp3","Task",1
"u1 a1 x e","guage","uni3-bi3",-15.29877745,-15.02205558,7,"u1_a1_x_e.mp3","Task",1
"l1 o1 l e","lole","uni3-bi4",-14.57606364,-14.10324983,7,"l1_o1_l_e.mp3","Task",1
"p1 o1 ɾ a","pora","uni3-bi4",-14.55644505,-11.07054675,7,"p1_o1_ɾ_a.mp3","Task",1
"k1 u1 b e","cube","uni3-bi4",-15.49280531,-11.86595682,7,"k1_u1_b_e.mp3","Task",1
"f1 a1 d o","fado","uni3-bi4",-14.90005798,-10.71506888,7,"f1_a1_d_o.mp3","Task",1
"g a m1 e1","gamé","uni3-bi4",-15.5139975,-13.33825237,7,"g_a_m1_e1.mp3","Task",1
"n o u1 i1","nohuí","uni4-bi1",-13.60615773,-23.50675547,7,"n_o_u1_i1.mp3","Task",1
"l e u1 i1","lehuí","uni4-bi1",-13.90488668,-20.67066929,7,"l_e_u1_i1.mp3","Task",1
"n i u1 a1","nihuá","uni4-bi1",-13.87484387,-21.70818128,7,"n_i_u1_a1.mp3","Task",1
