ID,response,word
9509378,64,ɲ1 o1 ɲ e
9509378,87,m1 e1 ɲ a
9509378,43,ɲ1 u1 ɲ o
9517268,83,r u d1 o1
9517268,57,i1 a1 s o
9517268,15,n i u1 a1
9517268,56,k u ɲ1 e1
9517268,58,f1 u1 ɲ a
9517268,76,f u d1 o1
9517268,60,b1 e1 x e
9517268,57,l u ɾ1 e1
9517268,41,x e p1 o1
9517268,25,i1 a1 s i
9517268,1,u1 o1 t u
9517268,53,u i ɾ1 a1
9517268,22,n a u1 i1
9517268,68,u1 a1 x e
9517268,34,x1 i1 m i
9517268,59,s1 a1 t e
9517268,16,x1 e1 g e
9517268,35,t͡ʃ a n1 a1
9517268,55,r u g1 u1
9517268,62,t͡ʃ i t͡ʃ1 o1
9517268,17,l e u1 i1
9517268,82,d1 e1 t͡ʃ o
9517268,24,t1 i1 g i
9517268,56,r1 o1 t͡ʃ o
9517268,21,d1 i1 p i
9517268,39,g e i1 o1
9517268,21,x u t1 u1
9517268,57,k1 a1 d e
9517268,56,t͡ʃ1 e1 t͡ʃ o
9517268,44,t e k1 i1
9517268,23,d o t1 u1
9517268,39,n a ɾ1 i1
9517268,43,ɲ u b1 u1
9517268,82,l1 a1 ɾ e
9517268,43,s a t1 a1
9517268,12,l1 o1 l e
9517268,47,f1 u1 ɾ a
9517268,54,b1 i1 r u
9517268,26,f o u1 a1
9517268,38,m1 e1 ɲ a
9517268,30,ɲ1 i1 k o
9517268,26,l a l1 u1
9517268,21,k e p1 i1
9517268,57,s1 u1 t͡ʃ o
9517268,9,f1 i1 t i
9517268,2,u o u1 o1
9517268,41,ɲ1 u1 ɲ o
9517268,75,k1 u1 b e
9517268,60,s a i1 a1
9517268,20,n i t͡ʃ1 a1
9517268,14,d1 a1 s i
9517268,8,n o u1 i1
9517268,14,ɲ u g1 a1
9517268,43,s1 a1 d a
9517268,55,k1 u1 t͡ʃ e
9517268,57,s o ɾ1 a1
9517268,33,t͡ʃ e ɲ1 o1
9517268,24,x u s1 i1
9517268,20,m1 e1 t u
9517268,33,p1 a1 f i
9517268,18,d1 e1 u o
9517268,12,g a u1 o1
9517268,9,u1 o1 m u
9517268,55,p1 o1 ɾ a
9517268,62,f1 a1 d o
9517268,5,u1 e1 u i
9517268,21,m1 u1 g a
9517268,6,t͡ʃ1 o1 n e
9517268,26,ɲ1 o1 ɲ e
9517268,42,t͡ʃ1 o1 ɲ o
9517268,44,k i f1 e1
9517268,61,g a m1 e1
9531298,42,d o t1 u1
9531298,12,ɲ1 u1 ɲ o
9531298,48,l u ɾ1 e1
9531298,58,k1 u1 t͡ʃ e
9531298,39,m1 e1 t u
9531298,34,k u ɲ1 e1
9531298,36,g a m1 e1
9531298,40,d1 i1 p i
9531298,66,s a t1 a1
9531298,57,t͡ʃ1 e1 t͡ʃ o
9531298,67,d1 e1 u o
9531298,42,t͡ʃ a n1 a1
9531298,61,s1 a1 d a
9531298,59,l1 o1 l e
9531298,57,s a i1 a1
9531298,59,t͡ʃ1 o1 n e
9531298,42,g e i1 o1
9531298,17,u1 e1 u i
9531298,19,ɲ1 i1 k o
9531298,61,r u d1 o1
9531298,37,x e p1 o1
9531298,60,b1 i1 r u
9531298,18,ɲ1 o1 ɲ e
9531298,43,n a ɾ1 i1
9531298,42,x u s1 i1
9531298,39,f u d1 o1
9531298,41,l a l1 u1
9531298,56,t1 i1 g i
9531298,26,p1 a1 f i
9531298,82,u1 a1 x e
9531298,33,r1 o1 t͡ʃ o
9531298,14,u o u1 o1
9531298,67,f1 u1 ɲ a
9531298,44,u i ɾ1 a1
9531298,29,f o u1 a1
9531298,64,d1 e1 t͡ʃ o
9531298,38,b1 e1 x e
9531298,34,t͡ʃ e ɲ1 o1
9531298,36,r u g1 u1
9531298,35,s o ɾ1 a1
9531298,35,m1 e1 ɲ a
9531298,29,n a u1 i1
9531298,58,x1 e1 g e
9531298,65,m1 u1 g a
9531298,36,x1 i1 m i
9531298,21,u1 o1 m u
9531298,21,ɲ u b1 u1
9531298,58,d1 a1 s i
9531298,24,t e k1 i1
9531298,14,n i t͡ʃ1 a1
9531298,38,i1 a1 s i
9531298,32,f1 i1 t i
9531298,16,u1 o1 t u
9531298,54,i1 a1 s o
9531298,34,l1 a1 ɾ e
9531298,65,k1 u1 b e
9531298,34,t͡ʃ i t͡ʃ1 o1
9531298,65,f1 a1 d o
9531298,28,k e p1 i1
9531298,26,k i f1 e1
9531298,28,s1 u1 t͡ʃ o
9531298,19,g a u1 o1
9531298,65,p1 o1 ɾ a
9531298,17,n i u1 a1
9531298,65,t͡ʃ1 o1 ɲ o
9531298,25,f1 u1 ɾ a
9531298,33,k1 a1 d e
9531298,80,s1 a1 t e
9531298,35,x u t1 u1
9531298,24,l e u1 i1
9531298,15,ɲ u g1 a1
9531298,18,n o u1 i1
9538947,28,n a u1 i1
9538947,55,n i t͡ʃ1 a1
9538947,16,u o u1 o1
9538947,6,d o t1 u1
9538947,80,f1 a1 d o
9538947,42,l1 o1 l e
9538947,30,t1 i1 g i
9538947,60,r1 o1 t͡ʃ o
9538947,73,t͡ʃ1 o1 n e
9538947,33,x u t1 u1
9538947,15,ɲ u g1 a1
9538947,7,u1 o1 t u
9538947,30,n i u1 a1
9538947,65,b1 e1 x e
9538947,53,d1 i1 p i
9538947,41,d1 e1 u o
9538947,50,r u g1 u1
9538947,54,s a i1 a1
9538947,56,x e p1 o1
9538947,76,k1 a1 d e
9538947,39,u1 e1 u i
9538947,36,ɲ1 i1 k o
9538947,61,m1 u1 g a
9538947,57,f1 u1 ɲ a
9538947,75,p1 o1 ɾ a
9538947,60,u1 a1 x e
9538947,59,s o ɾ1 a1
9538947,36,n o u1 i1
9538947,62,u i ɾ1 a1
9538947,75,m1 e1 ɲ a
9538947,42,x u s1 i1
9538947,28,t e k1 i1
9538947,46,l a l1 u1
9538947,17,f o u1 a1
9538947,42,ɲ u b1 u1
9538947,89,k1 u1 b e
9538947,77,f1 u1 ɾ a
9538947,66,i1 a1 s o
9538947,43,x1 e1 g e
9538947,57,f1 i1 t i
9538947,23,g e i1 o1
9538947,79,d1 e1 t͡ʃ o
9538947,46,f u d1 o1
9538947,35,s1 a1 d a
9538947,73,s1 u1 t͡ʃ o
9538947,60,t͡ʃ i t͡ʃ1 o1
9538947,37,x1 i1 m i
9538947,44,t͡ʃ e ɲ1 o1
9538947,25,g a u1 o1
9538947,84,r u d1 o1
9538947,32,l e u1 i1
9538947,18,u1 o1 m u
9538947,58,k i f1 e1
9538947,44,p1 a1 f i
9538947,59,m1 e1 t u
9538947,44,k u ɲ1 e1
9538947,58,g a m1 e1
9538947,73,ɲ1 u1 ɲ o
9538947,70,i1 a1 s i
9538947,76,d1 a1 s i
9538947,61,k1 u1 t͡ʃ e
9538947,61,l1 a1 ɾ e
9538947,62,s1 a1 t e
9538947,44,t͡ʃ1 o1 ɲ o
9538947,60,s a t1 a1
9538947,39,b1 i1 r u
9538947,42,n a ɾ1 i1
9538947,28,k e p1 i1
9538947,58,t͡ʃ1 e1 t͡ʃ o
9538947,69,t͡ʃ a n1 a1
9538947,74,ɲ1 o1 ɲ e
9538947,38,l u ɾ1 e1
9573065,33,d o t1 u1
9573065,61,x1 e1 g e
9573065,0,u1 e1 u i
9573065,18,f1 i1 t i
9573065,63,k i f1 e1
9573065,100,u i ɾ1 a1
9573065,100,ɲ u g1 a1
9573065,100,m1 e1 ɲ a
9573065,21,l e u1 i1
9573065,100,k1 a1 d e
9573065,55,d1 e1 u o
9573065,80,t͡ʃ e ɲ1 o1
9573065,41,g e i1 o1
9573065,94,g a m1 e1
9573065,81,t͡ʃ i t͡ʃ1 o1
9573065,100,m1 e1 t u
9573065,100,d1 e1 t͡ʃ o
9573065,85,f u d1 o1
9573065,40,x u t1 u1
9573065,38,p1 a1 f i
9573065,67,t͡ʃ1 o1 n e
9573065,52,k u ɲ1 e1
9573065,68,s1 a1 t e
9573065,57,n i t͡ʃ1 a1
9573065,100,i1 a1 s i
9573065,76,u1 o1 m u
9573065,100,u1 a1 x e
9573065,55,s a t1 a1
9573065,90,t͡ʃ1 o1 ɲ o
9573065,16,u1 o1 t u
9573065,75,i1 a1 s o
9573065,26,x1 i1 m i
9573065,52,n i u1 a1
9573065,63,t e k1 i1
9573065,60,r u d1 o1
9573065,36,f o u1 a1
9573065,51,ɲ1 o1 ɲ e
9573065,75,ɲ1 i1 k o
9573065,78,l1 o1 l e
9573065,90,k e p1 i1
9573065,45,x u s1 i1
9573065,9,ɲ u b1 u1
9573065,44,n a ɾ1 i1
9573065,12,d1 a1 s i
9573065,2,d1 i1 p i
9573065,67,l u ɾ1 e1
9573065,52,x e p1 o1
9573065,100,b1 e1 x e
9573065,84,s1 u1 t͡ʃ o
9573065,50,n a u1 i1
9573065,60,t͡ʃ1 e1 t͡ʃ o
9573065,0,n o u1 i1
9573065,98,f1 a1 d o
9573065,54,l a l1 u1
9573065,100,s1 a1 d a
9573065,60,s a i1 a1
9573065,78,ɲ1 u1 ɲ o
