"word","Orthography","bucket_q","uni_prob","bi_prob_smoothed","group","filename","display","randomise_trials"
NA,NA,NA,NA,NA,NA,NA,"Prompt",NA
"t͡ʃ u f1 a1","chufá","uni1-bi1",-19.42035363,-20.23580463,3,"t͡ʃ_u_f1_a1.mp3","Task",1
"ɲ u s1 u1","ñusú","uni1-bi1",-19.52115647,-26.25509244,3,"ɲ_u_s1_u1.mp3","Task",1
"ɲ i r1 u1","ñirú","uni1-bi1",-20.60863713,-30.54680471,3,"ɲ_i_r1_u1.mp3","Task",1
"ɲ i u1 i1","ñihuí","uni1-bi1",-17.96091291,-31.04047473,3,"ɲ_i_u1_i1.mp3","Task",1
"t͡ʃ u g1 u1","chugú","uni1-bi1",-20.39707929,-20.3845101,3,"t͡ʃ_u_g1_u1.mp3","Task",1
"x u g1 u1","jugú","uni1-bi2",-19.34188917,-18.30557434,3,"x_u_g1_u1.mp3","Task",1
"r1 u1 t͡ʃ i","ruchi","uni1-bi2",-19.97327769,-18.42607718,3,"r1_u1_t͡ʃ_i.mp3","Task",1
"p u t͡ʃ1 u1","puchú","uni1-bi2",-19.30643553,-17.41823047,3,"p_u_t͡ʃ1_u1.mp3","Task",1
"r u f1 i1","rufí","uni1-bi2",-18.03950908,-16.71083026,3,"r_u_f1_i1.mp3","Task",1
"g u r1 o1","gurró","uni1-bi3",-19.02902781,-15.11892149,3,"g_u_r1_o1.mp3","Task",1
"g a ɲ1 o1","gañó","uni1-bi3",-18.42166179,-14.94898602,3,"g_a_ɲ1_o1.mp3","Task",1
"r e x1 u1","rejú","uni1-bi3",-17.29363433,-15.07185368,3,"r_e_x1_u1.mp3","Task",1
"t͡ʃ1 o1 x o","chojo","uni1-bi3",-18.5128539,-14.76610978,3,"t͡ʃ1_o1_x_o.mp3","Task",1
"t͡ʃ1 a1 t͡ʃ e","chache","uni1-bi3",-18.45017175,-15.85406417,3,"t͡ʃ1_a1_t͡ʃ_e.mp3","Task",1
"r u p1 o1","rupó","uni1-bi4",-17.80392253,-13.82886008,3,"r_u_p1_o1.mp3","Task",1
"f1 u1 t͡ʃ o","fucho","uni1-bi4",-19.2948992,-13.61982729,3,"f1_u1_t͡ʃ_o.mp3","Task",1
"m1 e1 ɲ o","meño","uni1-bi4",-17.81610003,-12.91595561,3,"m1_e1_ɲ_o.mp3","Task",1
