"...1","word","Orthography","bucket_q","uni_prob","bi_prob_smoothed","group","filename","display","randomise_trials"
NA,NA,NA,NA,NA,NA,NA,NA,"Prompt",NA
1,"m1 u1 ɲ u","muñu","uni1-bi1",-20.50110981,-24.29528028,2,"m1_u1_ɲ_u.mp3","Task",1
9,"x1 o1 r u","jorru","uni1-bi1",-18.53696104,-22.27188496,2,"x1_o1_r_u.mp3","Task",1
17,"t͡ʃ1 u1 t͡ʃ u","chuchu","uni1-bi1",-21.75357461,-22.64760152,2,"t͡ʃ1_u1_t͡ʃ_u.mp3","Task",1
25,"ɲ1 u1 t͡ʃ u","ñuchu","uni1-bi1",-22.27393547,-27.92273555,2,"ɲ1_u1_t͡ʃ_u.mp3","Task",1
33,"ɲ u i1 u1","ñuyú","uni1-bi1",-19.05520554,-30.13785221,2,"ɲ_u_i1_u1.mp3","Task",1
41,"t͡ʃ i ɲ1 o1","chiñó","uni1-bi2",-20.61416997,-18.72612087,2,"t͡ʃ_i_ɲ1_o1.mp3","Task",1
49,"b u t͡ʃ1 u1","buchú","uni1-bi2",-19.32100548,-18.02627928,2,"b_u_t͡ʃ1_u1.mp3","Task",1
57,"t͡ʃ a g1 i1","chaguí","uni1-bi2",-17.34582379,-17.8888321,2,"t͡ʃ_a_g1_i1.mp3","Task",1
65,"x1 o1 f o","jofo","uni1-bi2",-17.34802516,-17.04982632,2,"x1_o1_f_o.mp3","Task",1
73,"b1 i1 ɲ e","biñe","uni1-bi3",-17.30449116,-15.34734412,2,"b1_i1_ɲ_e.mp3","Task",1
81,"t͡ʃ e k1 o1","checó","uni1-bi3",-17.35990156,-16.24628141,2,"t͡ʃ_e_k1_o1.mp3","Task",1
89,"t͡ʃ1 e1 ɲ a","cheña","uni1-bi3",-19.51025082,-15.24629302,2,"t͡ʃ1_e1_ɲ_a.mp3","Task",1
97,"l1 u1 ɲ a","luña","uni1-bi3",-18.4781242,-15.69617554,2,"l1_u1_ɲ_a.mp3","Task",1
105,"x u g1 a1","jugá","uni1-bi3",-17.84728588,-15.93272826,2,"x_u_g1_a1.mp3","Task",1
113,"k1 a1 ɲ o","caño","uni1-bi4",-17.25487245,-12.20820201,2,"k1_a1_ɲ_o.mp3","Task",1
121,"r1 u1 t͡ʃ a","rucha","uni1-bi4",-19.25383915,-13.58598795,2,"r1_u1_t͡ʃ_a.mp3","Task",1
129,"m1 e1 t͡ʃ o","mecho","uni1-bi4",-17.18074059,-12.88997029,2,"m1_e1_t͡ʃ_o.mp3","Task",1
137,"g1 u1 t͡ʃ a","gucha","uni1-bi4",-18.58334813,-13.3559157,2,"g1_u1_t͡ʃ_a.mp3","Task",1
145,"n i f1 u1","nifú","uni2-bi1",-16.62703364,-19.95569242,2,"n_i_f1_u1.mp3","Task",1
153,"u1 o1 ɾ u","huoru","uni2-bi1",-16.02022775,-24.64138327,2,"u1_o1_ɾ_u.mp3","Task",1
161,"l1 i1 p u","lipu","uni2-bi1",-15.97183251,-21.3576917,2,"l1_i1_p_u.mp3","Task",1
