word,Orthography,bucket_q,uni_prob,bi_prob_smoothed,group
x1 u1 ɲ a,juña,uni1-bi3,-19.56198568,-15.81633287,1
g1 u1 ɲ a,guña,uni1-bi3,-19.21870757,-14.90147944,2
p u f1 o1,pufó,uni1-bi3,-17.90234497,-15.10082542,3
t͡ʃ1 e1 t͡ʃ o,checho,uni1-bi3,-19.06856484,-15.56270594,4
f u t͡ʃ1 e1,fuché,uni1-bi3,-19.48182089,-15.34896751,5
x u x1 o1,jujó,uni1-bi3,-19.11969441,-16.03396981,1
t͡ʃ e k1 o1,checó,uni1-bi3,-17.35990156,-16.24628141,2
g a ɲ1 o1,gañó,uni1-bi3,-18.42166179,-14.94898602,3
s1 u1 ɲ o,suño,uni1-bi3,-17.90109876,-15.31581254,4
r1 u1 ɲ o,ruño,uni1-bi3,-20.08287204,-15.47394994,5
r u ɲ1 o1,ruñó,uni1-bi3,-20.0705391,-16.08997308,1
k u ɲ1 e1,cuñé,uni1-bi3,-18.40296539,-15.33048294,2
f u r1 a1,furrá,uni1-bi3,-18.36616537,-16.21868219,3
x u m1 a1,jumá,uni1-bi3,-17.31595696,-15.98320947,4
t͡ʃ1 e1 ɲ a,cheña,uni1-bi3,-19.51025082,-15.24629302,5
r e x1 u1,rejú,uni1-bi3,-17.29363433,-15.07185368,1
x1 o1 x a,joja,uni1-bi3,-17.30596324,-14.74159014,2
f1 u1 ɲ o,fuño,uni1-bi3,-19.93025864,-15.12815003,3
g u m1 o1,gumó,uni1-bi3,-17.82720786,-14.78384083,4
r1 o1 t͡ʃ o,rocho,uni1-bi3,-18.88203973,-14.7111634,5
g u ɲ1 o1,guñó,uni1-bi3,-20.23539296,-16.14392515,1
r u t͡ʃ1 e1,ruché,uni1-bi3,-19.05069905,-15.27581959,2
l1 u1 ɲ a,luña,uni1-bi3,-18.4781242,-15.69617554,3
t͡ʃ1 o1 x o,chojo,uni1-bi3,-18.5128539,-14.76610978,4
t͡ʃ1 u1 k o,chuco,uni1-bi3,-17.32749888,-15.67300675,5
k i ɲ1 o1,quiñó,uni1-bi3,-17.80815195,-16.21032625,1
t͡ʃ1 i1 x o,chijo,uni1-bi3,-17.84080243,-15.65158247,2
f1 u1 ɲ a,fuña,uni1-bi3,-19.73658519,-14.78575178,3
t͡ʃ1 e1 ɲ o,cheño,uni1-bi3,-19.70392428,-15.58869126,4
x u t͡ʃ1 e1,juché,uni1-bi3,-19.63343243,-16.12612952,5
x u g1 a1,jugá,uni1-bi3,-17.84728588,-15.93272826,1
t͡ʃ1 a1 t͡ʃ e,chache,uni1-bi3,-18.45017175,-15.85406417,2
t͡ʃ u d1 o1,chudó,uni1-bi3,-18.937372,-16.28782932,3
f1 u1 t͡ʃ a,fucha,uni1-bi4,-19.10122575,-13.24018804,4
b1 u1 t͡ʃ a,bucha,uni1-bi4,-17.90172446,-12.91468944,5
r u d1 o1,rudó,uni1-bi4,-17.2994485,-13.35858363,1
r1 o1 t͡ʃ a,rocha,uni1-bi4,-18.68836628,-14.33152415,2
g1 u1 t͡ʃ o,gucho,uni1-bi4,-18.77702158,-13.73555495,3
k1 a1 ɲ o,caño,uni1-bi4,-17.25487245,-12.20820201,4
r u p1 o1,rupó,uni1-bi4,-17.80392253,-13.82886008,5
r1 e1 t͡ʃ a,recha,uni1-bi4,-18.18888709,-13.41567335,1
g1 u1 x o,gujo,uni1-bi4,-17.72183145,-14.22278119,2
r1 a1 ɲ a,raña,uni1-bi4,-18.39459531,-13.13736596,3
f u d1 o1,fudó,uni1-bi4,-17.73057034,-13.43173155,4
k1 u1 t͡ʃ a,cucha,uni1-bi4,-17.92044284,-11.82140476,5
p1 u1 t͡ʃ a,pucha,uni1-bi4,-18.19358773,-12.60177714,1
r1 u1 t͡ʃ a,rucha,uni1-bi4,-19.25383915,-13.58598795,2
f1 u1 t͡ʃ o,fucho,uni1-bi4,-19.2948992,-13.61982729,3
k1 u1 t͡ʃ o,cucho,uni1-bi4,-18.11411629,-12.20104401,4
r u t͡ʃ1 o1,ruchó,uni1-bi4,-19.55017824,-14.44416752,5
g1 a1 ɲ a,gaña,uni1-bi4,-17.72410428,-12.85190637,1
k1 u1 t͡ʃ e,cuche,uni1-bi4,-17.92537443,-12.74333592,2
r1 a1 ɲ o,raño,uni1-bi4,-18.58826876,-13.4797642,3
p1 a1 ɲ a,paña,uni1-bi4,-17.33434389,-12.4773866,4
m1 e1 t͡ʃ o,mecho,uni1-bi4,-17.18074059,-12.88997029,5
m1 e1 ɲ o,meño,uni1-bi4,-17.81610003,-12.91595561,1
r e r1 o1,rerró,uni1-bi4,-17.05537437,-12.25587832,2
