"word","Orthography","bucket_q","uni_prob","bi_prob_smoothed","group","filename","display","randomise_trials"
NA,NA,NA,NA,NA,NA,NA,"Prompt",NA
"t͡ʃ u ɲ1 e1","chuñé","uni1-bi1",-21.20898341,-19.9444396,4,"t͡ʃ_u_ɲ1_e1.mp3","Task",1
"ɲ1 o1 u i","ñohui","uni1-bi1",-18.4689513,-28.72015672,4,"ɲ1_o1_u_i.mp3","Task",1
"ɲ o u1 i1","ñohuí","uni1-bi1",-17.43514782,-28.1969997,4,"ɲ_o_u1_i1.mp3","Task",1
"ɲ u i1 u1","ñuyú","uni1-bi1",-19.05520554,-30.13785221,4,"ɲ_u_i1_u1.mp3","Task",1
"r1 o1 x u","roju","uni1-bi2",-19.44690732,-18.74249056,4,"r1_o1_x_u.mp3","Task",1
"f1 e1 t͡ʃ i","fechi","uni1-bi2",-18.75571223,-18.71204454,4,"f1_e1_t͡ʃ_i.mp3","Task",1
"t u ɲ1 o1","tuñó","uni1-bi2",-18.65963271,-16.68932969,4,"t_u_ɲ1_o1.mp3","Task",1
"b1 i1 ɲ e","biñe","uni1-bi3",-17.30449116,-15.34734412,4,"b1_i1_ɲ_e.mp3","Task",1
"s1 u1 ɲ o","suño","uni1-bi3",-17.90109876,-15.31581254,4,"s1_u1_ɲ_o.mp3","Task",1
"g u m1 o1","gumó","uni1-bi3",-17.82720786,-14.78384083,4,"g_u_m1_o1.mp3","Task",1
"t͡ʃ1 e1 ɲ o","cheño","uni1-bi3",-19.70392428,-15.58869126,4,"t͡ʃ1_e1_ɲ_o.mp3","Task",1
"k1 a1 ɲ o","caño","uni1-bi4",-17.25487245,-12.20820201,4,"k1_a1_ɲ_o.mp3","Task",1
"k1 u1 t͡ʃ o","cucho","uni1-bi4",-18.11411629,-12.20104401,4,"k1_u1_t͡ʃ_o.mp3","Task",1
"t͡ʃ1 a1 ɲ a","chaña","uni1-bi4",-19.0805996,-13.95992595,4,"t͡ʃ1_a1_ɲ_a.mp3","Task",1
"k u t͡ʃ1 o1","cuchó","uni1-bi4",-18.38208372,-12.75945654,4,"k_u_t͡ʃ1_o1.mp3","Task",1
"u1 o1 ɾ u","huoru","uni2-bi1",-16.02022775,-24.64138327,4,"u1_o1_ɾ_u.mp3","Task",1
"u1 i1 r u","huiru","uni2-bi1",-16.78192259,-26.9177371,4,"u1_i1_r_u.mp3","Task",1
"g i u1 o1","guihuó","uni2-bi1",-16.5245353,-24.14196038,4,"g_i_u1_o1.mp3","Task",1
"ɲ1 i1 t a","ñita","uni2-bi2",-16.17385007,-18.72256173,4,"ɲ1_i1_t_a.mp3","Task",1
"l o t͡ʃ1 e1","loché","uni2-bi2",-16.362405,-17.51718803,4,"l_o_t͡ʃ1_e1.mp3","Task",1
"m a r1 u1","marrú","uni2-bi2",-16.58057005,-17.05264039,4,"m_a_r1_u1.mp3","Task",1
"d1 a1 f i","dafi","uni2-bi2",-15.7071473,-17.92049691,4,"d1_a1_f_i.mp3","Task",1
"t͡ʃ1 u1 s a","chusa","uni2-bi3",-16.19921046,-15.96109641,4,"t͡ʃ1_u1_s_a.mp3","Task",1
"t͡ʃ a b1 a1","chabá","uni2-bi3",-16.40712118,-15.63644261,4,"t͡ʃ_a_b1_a1.mp3","Task",1
"x o b1 e1","jobé","uni2-bi3",-15.97525573,-15.6000379,4,"x_o_b1_e1.mp3","Task",1
"l1 o1 x e","loge","uni2-bi4",-16.22703335,-13.57437287,4,"l1_o1_x_e.mp3","Task",1
"f1 u1 d o","fudo","uni2-bi4",-16.39466126,-11.90092773,4,"f1_u1_d_o.mp3","Task",1
"t1 a1 ɲ a","taña","uni2-bi4",-16.4533041,-12.30524957,4,"t1_a1_ɲ_a.mp3","Task",1
"r e k1 o1","recó","uni2-bi4",-15.72197806,-12.25758271,4,"r_e_k1_o1.mp3","Task",1
"g e u1 i1","guehuí","uni3-bi1",-15.13797688,-22.4989717,4,"g_e_u1_i1.mp3","Task",1
"n1 o1 u i","nohui","uni3-bi1",-15.01905881,-25.4921331,4,"n1_o1_u_i.mp3","Task",1
"d u i1 u1","duyú","uni3-bi1",-15.51960816,-21.16388768,4,"d_u_i1_u1.mp3","Task",1
"u o u1 i1","huohuí","uni3-bi1",-14.65456971,-26.72908832,4,"u_o_u1_i1.mp3","Task",1
"l o f1 i1","lofí","uni3-bi2",-15.35121502,-16.66796275,4,"l_o_f1_i1.mp3","Task",1
"n a p1 u1","napú","uni3-bi2",-14.99995708,-18.72347911,4,"n_a_p1_u1.mp3","Task",1
"t i s1 u1","tisú","uni3-bi2",-14.74267452,-16.67680993,4,"t_i_s1_u1.mp3","Task",1
"t u ɾ1 o1","turó","uni3-bi3",-14.74772947,-15.34358865,4,"t_u_ɾ1_o1.mp3","Task",1
"x e ɾ1 o1","geró","uni3-bi3",-14.93256966,-14.74200675,4,"x_e_ɾ1_o1.mp3","Task",1
"f1 o1 i e","foye","uni3-bi3",-15.30117317,-16.24499833,4,"f1_o1_i_e.mp3","Task",1
"d1 e1 g e","degue","uni3-bi3",-15.1560236,-14.74883208,4,"d1_e1_g_e.mp3","Task",1
"f1 e1 ɾ a","fera","uni3-bi4",-14.96460388,-11.82957037,4,"f1_e1_ɾ_a.mp3","Task",1
"r1 i1 ɾ o","riro","uni3-bi4",-15.13831845,-13.37323041,4,"r1_i1_ɾ_o.mp3","Task",1
"t1 i1 g o","tigo","uni3-bi4",-14.79562742,-12.63881165,4,"t1_i1_g_o.mp3","Task",1
"i e u1 i1","llehuí","uni4-bi1",-13.37153522,-21.59267534,4,"i_e_u1_i1.mp3","Task",1
"s o u1 i1","sohuí","uni4-bi1",-13.0591554,-22.47825778,4,"s_o_u1_i1.mp3","Task",1
"s a u1 a1","sahuá","uni4-bi1",-12.608403,-19.40128472,4,"s_a_u1_a1.mp3","Task",1
"s a u1 o1","sahuó","uni4-bi1",-13.53753342,-21.52006488,4,"s_a_u1_o1.mp3","Task",1
"n1 o1 i e","noye","uni4-bi2",-13.21025923,-18.41304799,4,"n1_o1_i_e.mp3","Task",1
"n e n1 i1","není","uni4-bi2",-12.58408841,-17.98407538,4,"n_e_n1_i1.mp3","Task",1
"n a t1 u1","natú","uni4-bi2",-14.11891729,-18.34188016,4,"n_a_t1_u1.mp3","Task",1
"s o i1 a1","soyá","uni4-bi2",-11.56455212,-17.48260667,4,"s_o_i1_a1.mp3","Task",1
"p e i1 a1","peyá","uni4-bi3",-12.66930415,-15.60636658,4,"p_e_i1_a1.mp3","Task",1
"i o d1 a1","yodá","uni4-bi3",-13.14867258,-15.33046079,4,"i_o_d1_a1.mp3","Task",1
"t o i1 e1","toyé","uni4-bi3",-12.68600644,-15.12065501,4,"t_o_i1_e1.mp3","Task",1
"s1 a1 s e","sase","uni4-bi4",-11.84176119,-13.11619152,4,"s1_a1_s_e.mp3","Task",1
"d o t1 a1","dotá","uni4-bi4",-13.11138018,-13.02725898,4,"d_o_t1_a1.mp3","Task",1
"k1 u1 s e","cuse","uni4-bi4",-14.18474145,-12.12093491,4,"k1_u1_s_e.mp3","Task",1
"t1 e1 ɾ a","tera","uni4-bi4",-13.17592607,-11.15010382,4,"t1_e1_ɾ_a.mp3","Task",1
