word,bucket_q,uni_prob,bi_prob_smoothed
p i b1 u1,uni2-bi3,-16.174023922671484,-16.46219605971809
g o x1 a1,uni2-bi3,-16.152626770284375,-16.14731532411747
g1 i1 f e,uni2-bi3,-16.143953717206966,-15.82735115149489
k e ɲ1 a1,uni2-bi3,-16.164514588895877,-15.5420310672469
t1 u1 f e,uni2-bi3,-16.110677875956878,-15.192642218103687
r i g1 a1,uni2-bi3,-16.170259881521876,-14.883531328161316
k1 u1 l i,uni2-bi3,-15.933721538938997,-16.493685888521416
m u m1 i1,uni2-bi3,-15.954956928207348,-16.174106971703313
x1 a1 g e,uni2-bi3,-15.9638849081375,-15.865406977499712
tʃ1 e1 d a,uni2-bi3,-15.97465344381706,-15.516436386840564
p i x1 i1,uni2-bi3,-15.961401356973743,-15.198904623932387
x1 u1 n o,uni2-bi3,-15.926669038908424,-14.863096955284652
f a p1 i1,uni2-bi3,-15.749261728781583,-16.472888250398615
d u m1 i1,uni2-bi3,-15.727988086307963,-16.147834889476563
s u x1 i1,uni2-bi3,-15.762200084360696,-15.857843280773135
g1 o1 p o,uni2-bi3,-15.76440962856834,-15.482010788440505
x e l1 e1,uni2-bi3,-15.72755416533199,-15.203026623502703
p o g1 o1,uni2-bi3,-15.76440962856834,-14.879669072066552
p o b1 a1,uni4-bi4,-14.15365555357506,-14.060800337714776
m1 i1 l a,uni4-bi4,-14.108335017767782,-13.08968192484092
k1 u1 s e,uni4-bi4,-14.184741448407852,-12.120934912279512
m1 a1 b a,uni4-bi4,-14.124846791094209,-11.24519665241646
g1 a1 d e,uni4-bi4,-14.193438493551316,-10.496616139900947
p1 a1 d o,uni4-bi4,-13.992419958354288,-9.228514573661757
i1 o1 b e,uni4-bi4,-13.613004527107108,-14.094228083376144
l1 i1 n o,uni4-bi4,-13.605283221501296,-13.113018186159517
d1 a1 l o,uni4-bi4,-13.682024033941923,-12.128125335706525
s1 i1 b o,uni4-bi4,-13.59564585697674,-11.167856245065853
m1 a1 d e,uni4-bi4,-13.662109566038245,-10.22447087994467
b1 a1 d o,uni4-bi4,-13.700556695142105,-9.200681951328049
l a t1 a1,uni4-bi4,-13.111784822168756,-14.055957260018795
m a s1 i1,uni4-bi4,-13.161272429510324,-13.115635315168303
s1 e1 t o,uni4-bi4,-13.151957374954758,-12.145274782353107
t1 e1 ɾ a,uni4-bi4,-13.175926074948205,-11.15010382058159
t1 a1 d a,uni4-bi4,-12.917706722722574,-10.143217177227998
t1 a1 d o,uni4-bi4,-13.11138017595093,-9.056377541377866
m e ɾ1 i1,uni4-bi4,-12.642439214454615,-14.057652012085352
d a s1 a1,uni4-bi4,-12.677224644246092,-13.1222062088432
p a ɾ1 a1,uni4-bi4,-12.60655869654186,-12.265281097359477
t1 a1 ɾ e,uni4-bi4,-12.751206441181786,-11.185529229686011
s1 a1 d e,uni4-bi4,-12.682156235327575,-10.48283743673312
s1 a1 d o,uni4-bi4,-12.870898097474448,-9.589255641062184
s a t1 a1,uni4-bi4,-12.077311681018893,-13.962880893194706
i1 a1 ɾ a,uni4-bi4,-12.039841832828706,-13.168015751904807
s1 i1 s e,uni4-bi4,-12.098840136988736,-11.963164363651996
s1 a1 ɾ a,uni4-bi4,-12.50579277162382,-11.2184233345541
s1 i1 t e,uni4-bi4,-12.790643231324829,-10.457795192772677
s1 i1 d o,uni4-bi4,-13.127977040839294,-9.580718044172954
s a s1 a1,uni4-bi4,-11.836829602542409,-14.157324832546996
s e ɾ1 e1,uni4-bi4,-11.747647612334603,-13.094062919198718
s1 i1 s a,uni4-bi4,-12.093908545907253,-12.394882818115194
i1 a1 d o,uni4-bi4,-12.404947158679336,-11.538848058412892
s1 a1 d a,uni4-bi4,-12.677224644246092,-10.676095276912314
t1 a1 d e,uni4-bi4,-12.922638313804056,-9.9499593370488
m a u1 e1,uni4-bi3,-14.105418110695435,-16.465913813775273
i u s1 a1,uni4-bi3,-14.151682453331528,-16.16238340753196
l e m1 i1,uni4-bi3,-14.113266608849266,-15.8155818592421
l o l1 i1,uni4-bi3,-14.092754031842595,-15.488866533713402
d1 e1 p a,uni4-bi3,-14.177022564548247,-15.166464319838388
s1 a1 g e,uni4-bi3,-14.109324537670416,-14.863790209578212
u a t1 a1,uni4-bi3,-13.672725991345246,-16.47228440876112
p1 a1 s i,uni4-bi3,-13.677790003885011,-16.140345320456408
s i p1 a1,uni4-bi3,-13.677790003885011,-15.81373367311839
b1 i1 s i,uni4-bi3,-13.643005684037677,-15.52018374217485
k e d1 i1,uni4-bi3,-13.650502937641964,-15.202030724630962
k e k1 a1,uni4-bi3,-13.624753130177766,-14.8716809844717
n e k1 a1,uni4-bi3,-13.2371404973544,-16.471124108361938
s o p1 a1,uni4-bi3,-13.1520249166506,-16.14261383903038
u1 a1 n e,uni4-bi3,-13.160336924134509,-15.825507277206029
u1 a1 n a,uni4-bi3,-13.155405333053023,-15.609207639662731
b1 a1 i e,uni4-bi3,-13.172541474094306,-15.136050687438784
k e n1 e1,uni4-bi3,-13.144273320428775,-14.903313094646643
n e n1 e1,uni4-bi3,-12.756660687605413,-16.502756218536877
m o i1 a1,uni4-bi3,-12.63191600057872,-16.106276438038275
i1 a1 p e,uni4-bi3,-12.66930415496542,-15.80807801624113
n e s1 i1,uni4-bi3,-12.645842467797298,-15.547910518754094
p a i1 a1,uni4-bi3,-12.664372563883935,-15.228568833915938
s a k1 a1,uni4-bi3,-12.685206575464356,-14.84028210366454
s o n1 i1,uni4-bi3,-12.225827937460664,-16.432848576693047
n a ɾ1 i1,uni4-bi3,-12.117146070578627,-16.16369317919854
n1 i1 s o,uni4-bi3,-12.225827937460664,-15.785716891331456
d a i1 a1,uni4-bi3,-12.21127370545098,-15.555211805474348
n1 e1 s a,uni4-bi3,-12.204726765715368,-15.188691675791963
t o ɾ1 a1,uni4-bi3,-12.198541343969666,-14.766616225884716
s o ɾ1 i1,uni4-bi3,-11.76381719299842,-16.329926124424503
s a n1 a1,uni4-bi3,-11.775075540867466,-15.926780726771808
i1 a1 s o,uni4-bi3,-11.564552116975651,-15.567629569825556
n e ɾ1 a1,uni4-bi3,-11.864998718295263,-15.567788456207223
s o ɾ1 a1,uni4-bi3,-11.506738249633576,-15.279867925913846
n1 a1 s e,uni4-bi3,-11.780007131948947,-14.921610750700772
g o u1 e1,uni3-bi2,-15.499291024367247,-19.17744274707377
u e p1 o1,uni3-bi2,-15.487827779267278,-18.72693669917219
t1 i1 b u,uni3-bi2,-15.456185650211228,-18.31514498872906
k1 a1 r i,uni3-bi2,-15.507354596220082,-17.865711394777794
f a k1 i1,uni3-bi2,-15.476116840823693,-17.37911257334093
x1 a1 m i,uni3-bi2,-15.478192397075324,-16.95043533641377
g o ɾ1 u1,uni3-bi2,-15.268904875542113,-19.237742999755376
g e u1 e1,uni3-bi2,-15.310549162220376,-18.828307936824935
s1 u1 p i,uni3-bi2,-15.344365325003828,-18.321284025272508
l1 o1 m i,uni3-bi2,-15.323461332602562,-17.843369984130703
l o l1 u1,uni3-bi2,-15.330278370339762,-17.423842661628555
b i n1 u1,uni3-bi2,-15.297181221033377,-16.968268491254978
i i x1 i1,uni3-bi2,-15.169029139639864,-19.22182274550049
b1 a1 t u,uni3-bi2,-15.172022462532514,-18.74220495425278
u1 u1 d o,uni3-bi2,-15.137074779038516,-18.27597139981413
l e l1 u1,uni3-bi2,-15.141536508192893,-17.86995169298076
b1 o1 d i,uni3-bi2,-15.155452196813709,-17.43359960563286
t e p1 u1,uni3-bi2,-15.149689430701834,-16.93802323890839
s1 u1 u a,uni3-bi2,-14.926847194730776,-19.208003774352324
i i x1 a1,uni3-bi2,-14.911950196275018,-18.79155466498376
g1 a1 u a,uni3-bi2,-14.9435261710925,-18.276079920605444
n1 e1 f o,uni3-bi2,-14.932231540938211,-17.839623613541946
x o n1 i1,uni3-bi2,-14.911270792763736,-17.4248637353097
r a ɾ1 u1,uni3-bi2,-14.910377558560196,-16.887973736500733
u o t1 o1,uni3-bi2,-14.795529859010797,-19.212488143377776
d1 i1 p i,uni3-bi2,-14.723888823527956,-18.74757961477233
n e k1 u1,uni3-bi2,-14.731743779216412,-18.295561860815894
s i r1 a1,uni3-bi2,-14.738041424680674,-17.866012052717533
i o l1 u1,uni3-bi2,-14.79692691199266,-17.410452045382613
t a l1 u1,uni3-bi2,-14.793934870297637,-16.919461726554477
t1 o1 u a,uni3-bi2,-14.601856405782438,-19.21146609851775
u1 o1 l e,uni3-bi2,-14.576938148913005,-18.72954055602536
n u n1 e1,uni3-bi2,-14.565460264510286,-18.29909674808857
b a n1 u1,uni3-bi2,-14.577742680570612,-17.888900115728894
u i ɾ1 o1,uni3-bi2,-14.557048061631534,-17.37724824007349
n e r1 a1,uni3-bi2,-14.570536806107953,-16.953452146837122
n1 a1 tʃ e,uni3-bi3,-15.52064011446985,-16.537685120349728
r o p1 i1,uni3-bi3,-15.511813340308407,-16.151687270122178
x1 e1 ɾ i,uni3-bi3,-15.509442907401574,-15.846212616587962
x e m1 a1,uni3-bi3,-15.50715737963763,-15.504817935294271
r i n1 o1,uni3-bi3,-15.526353976060388,-15.18269941358616
l e r1 e1,uni3-bi3,-15.487658841297158,-14.862566372468333
i e f1 o1,uni3-bi3,-15.301173172030976,-16.437891056672168
i1 a1 tʃ o,uni3-bi3,-15.305185099496557,-16.139566390802706
tʃ a ɾ1 i1,uni3-bi3,-15.310776722290967,-15.82975138261271
b u n1 e1,uni3-bi3,-15.32652179154286,-15.519814942023318
l a g1 o1,uni3-bi3,-15.311715416353207,-15.196173567292057
k o b1 u1,uni3-bi3,-15.28937989893236,-14.88483827125268
m i s1 u1,uni3-bi3,-15.118235308470254,-16.44393473612383
g i s1 i1,uni3-bi3,-15.080910430416544,-16.13337849005095
b1 e1 b i,uni3-bi3,-15.123641823361863,-15.82779525609588
l1 e1 r a,uni3-bi3,-15.139889199240397,-15.495983172656016
