"...1","word","Orthography","bucket_q","uni_prob","bi_prob_smoothed","group","filename","display","randomise_trials"
389,"b a x1 i1","bagí","uni3-bi3",-15.25653277,-14.81568902,6,"b_a_x1_i1.mp3","Task",1
397,"t1 e1 r e","terre","uni3-bi4",-14.61460398,-13.33568031,6,"t1_e1_r_e.mp3","Task",1
405,"m1 e1 r e","merre","uni3-bi4",-15.35407523,-12.65352258,6,"m1_e1_r_e.mp3","Task",1
413,"r1 i1 ɾ o","riro","uni3-bi4",-15.13831845,-13.37323041,6,"r1_i1_ɾ_o.mp3","Task",1
421,"f1 i1 d o","fido","uni3-bi4",-15.15713692,-10.48034515,6,"f1_i1_d_o.mp3","Task",1
429,"x1 a1 d o","jado","uni3-bi4",-14.72545847,-10.59087241,6,"x1_a1_d_o.mp3","Task",1
437,"m e u1 i1","mehuí","uni4-bi1",-13.93777742,-19.63799963,6,"m_e_u1_i1.mp3","Task",1
445,"n1 a1 u i","nahui","uni4-bi1",-14.08992839,-23.85481799,6,"n1_a1_u_i.mp3","Task",1
453,"s a u1 a1","sahuá","uni4-bi1",-12.608403,-19.40128472,6,"s_a_u1_a1.mp3","Task",1
461,"s o u1 o1","sohuó","uni4-bi1",-13.73120687,-23.18959812,6,"s_o_u1_o1.mp3","Task",1
469,"t o ɾ1 u1","torú","uni4-bi2",-13.69314463,-18.35464257,6,"t_o_ɾ1_u1.mp3","Task",1
477,"n1 e1 k e","neque","uni4-bi2",-13.14427332,-17.5340557,6,"n1_e1_k_e.mp3","Task",1
485,"n e ɾ1 i1","nerí","uni4-bi2",-12.12207766,-16.61784665,6,"n_e_ɾ1_i1.mp3","Task",1
493,"n a t1 u1","natú","uni4-bi2",-14.11891729,-18.34188016,6,"n_a_t1_u1.mp3","Task",1
501,"n e t1 u1","netú","uni4-bi2",-14.12384888,-18.72550577,6,"n_e_t1_u1.mp3","Task",1
509,"i a k1 e1","llaqué","uni4-bi3",-13.61597948,-15.64264904,6,"i_a_k1_e1.mp3","Task",1
517,"l a n1 e1","lané","uni4-bi3",-13.23919991,-15.68428304,6,"l_a_n1_e1.mp3","Task",1
525,"d e ɾ1 u1","derú","uni4-bi3",-13.65299471,-16.22454641,6,"d_e_ɾ1_u1.mp3","Task",1
533,"t o i1 e1","toyé","uni4-bi3",-12.68600644,-15.12065501,6,"t_o_i1_e1.mp3","Task",1
541,"s1 a1 ɾ o","saro","uni4-bi4",-12.69946622,-11.35766472,6,"s1_a1_ɾ_o.mp3","Task",1
549,"i1 a1 d e","llade","uni4-bi4",-12.2162053,-12.43242985,6,"i1_a1_d_e.mp3","Task",1
557,"d1 i1 ɾ o","diro","uni4-bi4",-13.57359300523832,-12.980926970940992,6,"d1_i1_ɾ_o.mp3","Task",1
565,"t1 i1 b e","tibe","uni4-bi4",-13.64738607,-12.07679073,6,"t1_i1_b_e.mp3","Task",1
573,"t1 e1 ɾ a","tera","uni4-bi4",-13.17592607,-11.15010382,6,"t1_e1_ɾ_a.mp3","Task",1
