"word","Orthography","bucket_q","uni_prob","bi_prob_smoothed","group","filename","display","randomise_trials"
"l u m1 o1","lumó","uni2-bi3",-16.59411766,-15.91988438,5,"l_u_m1_o1.mp3","Task",1
"k u f1 a1","cufá","uni2-bi3",-16.61433562,-15.62184796,5,"k_u_f1_a1.mp3","Task",1
"b i x1 i1","bigí","uni2-bi3",-15.97597131,-14.74357272,5,"b_i_x1_i1.mp3","Task",1
"x1 i1 b i","gibi","uni2-bi3",-15.97597131,-16.21226168,5,"x1_i1_b_i.mp3","Task",1
"f1 u1 l a","fula","uni2-bi4",-16.39506591,-14.17638947,5,"f1_u1_l_a.mp3","Task",1
"r1 e1 b a","reba","uni2-bi4",-15.75631797,-12.95098639,5,"r1_e1_b_a.mp3","Task",1
"f1 u1 ɾ o","furo","uni2-bi4",-16.22322939,-12.31533596,5,"f1_u1_ɾ_o.mp3","Task",1
"f1 u1 b a","fuba","uni2-bi4",-16.66865662,-12.92453666,5,"f1_u1_b_a.mp3","Task",1
"m1 e1 x e","meje","uni2-bi4",-15.9368086,-12.11053165,5,"m1_e1_x_e.mp3","Task",1
"u o i1 u1","huoyú","uni3-bi1",-14.65456971,-25.565343,5,"u_o_i1_u1.mp3","Task",1
"i1 a1 r u","llarru","uni3-bi1",-15.28731931,-22.57866112,5,"i1_a1_r_u.mp3","Task",1
"u1 a1 u i","guahui","uni3-bi1",-14.92325585,-24.49514478,5,"u1_a1_u_i.mp3","Task",1
"ɲ1 i1 s e","ñise","uni3-bi1",-15.48697857,-19.81648291,5,"ɲ1_i1_s_e.mp3","Task",1
"u1 o1 l e","huole","uni3-bi2",-14.57693815,-18.72954056,5,"u1_o1_l_e.mp3","Task",1
"u e d1 o1","huedó","uni3-bi2",-14.98335376,-17.50102406,5,"u_e_d1_o1.mp3","Task",1
"b1 a1 m u","vamu","uni3-bi2",-15.54758325,-18.31431544,5,"b1_a1_m_u.mp3","Task",1
"l1 i1 r a","lirra","uni3-bi2",-14.96731692,-18.34264218,5,"l1_i1_r_a.mp3","Task",1
"s u k1 i1","suquí","uni3-bi2",-14.75601669,-17.90423804,5,"s_u_k1_i1.mp3","Task",1
"g1 a1 m i","gami","uni3-bi3",-15.13491428,-15.96259727,5,"g1_a1_m_i.mp3","Task",1
"i1 o1 g e","yogue","uni3-bi3",-14.57250401,-16.25274147,5,"i1_o1_g_e.mp3","Task",1
"t e r1 i1","terrí","uni3-bi3",-14.97241651,-15.05894991,5,"t_e_r1_i1.mp3","Task",1
"s e t͡ʃ1 e1","seché","uni3-bi3",-15.13918999,-15.36442809,5,"s_e_t͡ʃ1_e1.mp3","Task",1
"r1 a1 b a","raba","uni3-bi4",-15.32666674,-11.8028015,5,"r1_a1_b_a.mp3","Task",1
"g1 o1 ɾ e","fore","uni3-bi4",-14.95113704,-13.35966098,5,"g1_o1_ɾ_e.mp3","Task",1
"p1 e1 m o","pemo","uni3-bi4",-14.64904003,-11.17784256,5,"p1_e1_m_o.mp3","Task",1
"r1 a1 d e","rade","uni3-bi4",-14.86392952,-10.78207572,5,"r1_a1_d_e.mp3","Task",1
"m1 e1 g e","megue","uni3-bi4",-15.51892909,-14.08172961,5,"m1_e1_g_e.mp3","Task",1
"u o u1 a1","huohuá","uni4-bi1",-14.39749077,-25.32164849,5,"u_o_u1_a1.mp3","Task",1
"i1 e1 t u","yetu","uni4-bi1",-14.30606415,-19.60989387,5,"i1_e1_t_u.mp3","Task",1
"n1 i1 u o","nihuo","uni4-bi1",-13.82124225,-22.70896699,5,"n1_i1_u_o.mp3","Task",1
"u e i1 u1","hueyó","uni4-bi1",-14.46582785,-24.7322236,5,"u_e_i1_u1.mp3","Task",1
"i o k1 i1","yoquí","uni4-bi2",-13.63708065,-16.72065781,5,"i_o_k1_i1.mp3","Task",1
"t a n1 i1","taní","uni4-bi2",-12.72395758,-16.59904881,5,"t_a_n1_i1.mp3","Task",1
"n o ɾ1 i1","norí","uni4-bi2",-12.31081952,-17.35842381,5,"n_o_ɾ1_i1.mp3","Task",1
"n o i1 a1","noyá","uni4-bi2",-12.11155445,-18.51110435,5,"n_o_i1_a1.mp3","Task",1
"n1 a1 ɾ i","nari","uni4-bi2",-13.16347725,-17.14136682,5,"n1_a1_ɾ_i.mp3","Task",1
"f e ɾ1 i1","ferí","uni4-bi3",-14.108906652846038,-15.34094499616507,5,"f_e_ɾ1_i1.mp3","Task",1
"d e i1 a1","dellá","uni4-bi3",-12.2162053,-15.68253575,5,"d_e_i1_a1.mp3","Task",1
"u1 i1 b a","huiba","uni4-bi3",-14.1735458,-15.06240257,5,"u1_i1_b_a.mp3","Task",1
"n1 e1 s a","nesa","uni4-bi3",-12.20472677,-15.18869168,5,"n1_e1_s_a.mp3","Task",1
"i1 a1 d o","llado","uni4-bi4",-12.40494716,-11.53884806,5,"i1_a1_d_o.mp3","Task",1
"m1 a1 d o","mado","uni4-bi4",-13.85085143,-9.330889084,5,"m1_a1_d_o.mp3","Task",1
"s1 a1 d e","sade","uni4-bi4",-12.68215624,-10.48283744,5,"s1_a1_d_e.mp3","Task",1
"d e s1 a1","desà","uni4-bi4",-12.68215624,-12.98618468,5,"d_e_s1_a1.mp3","Task",1
"d a t1 i1","datí","uni4-bi4",-13.17478567,-13.96801094,5,"d_a_t1_i1.mp3","Task",1
