"word","Orthography","bucket_q","uni_prob","bi_prob_smoothed","group","filename","display","randomise_trials"
NA,NA,NA,NA,NA,NA,NA,"Prompt",NA
"ɲ u i1 a1","ñuyá","uni1-bi1",-17.56060225,-26.30594642,5,"ɲ_u_i1_a1.mp3","Task",1
"r1 u1 ɲ u","ruñu","uni1-bi1",-21.70292976,-24.57595353,5,"r1_u1_ɲ_u.mp3","Task",1
"ɲ1 i1 m u","ñimu","uni1-bi1",-18.36314203,-26.33014468,5,"ɲ1_i1_m_u.mp3","Task",1
"ɲ o d1 u1","ñodú","uni1-bi1",-18.5181466,-24.33625809,5,"ɲ_o_d1_u1.mp3","Task",1
"x u ɲ1 e1","juñé","uni1-bi2",-20.15379328,-17.86550385,5,"x_u_ɲ1_e1.mp3","Task",1
"l o ɲ1 o1","loñó","uni1-bi2",-17.38224504,-16.65324137,5,"l_o_ɲ1_o1.mp3","Task",1
"m u x1 u1","mujú","uni1-bi2",-18.06708831,-17.89793906,5,"m_u_x1_u1.mp3","Task",1
"t͡ʃ i l1 o1","chiló","uni1-bi2",-17.99673043,-17.07646174,5,"t͡ʃ_i_l1_o1.mp3","Task",1
"t͡ʃ1 a1 d u","chadu","uni1-bi2",-17.35873339,-18.74992034,5,"t͡ʃ1_a1_d_u.mp3","Task",1
"g1 u1 ɲ a","guña","uni1-bi3",-19.21870757,-14.90147944,5,"g1_u1_ɲ_a.mp3","Task",1
"r1 u1 ɲ o","ruño","uni1-bi3",-20.08287204,-15.47394994,5,"r1_u1_ɲ_o.mp3","Task",1
"f1 u1 ɲ o","fuño","uni1-bi3",-19.93025864,-15.12815003,5,"f1_u1_ɲ_o.mp3","Task",1
"k i ɲ1 o1","quiñó","uni1-bi3",-17.80815195,-16.21032625,5,"k_i_ɲ1_o1.mp3","Task",1
"f1 u1 t͡ʃ a","fucha","uni1-bi4",-19.10122575,-13.24018804,5,"f1_u1_t͡ʃ_a.mp3","Task",1
"g1 u1 x o","gujo","uni1-bi4",-17.72183145,-14.22278119,5,"g1_u1_x_o.mp3","Task",1
"r u t͡ʃ1 o1","ruchó","uni1-bi4",-19.55017824,-14.44416752,5,"r_u_t͡ʃ1_o1.mp3","Task",1
"f u p1 o1","fupó","uni1-bi4",-18.23504437,-13.902008,5,"f_u_p1_o1.mp3","Task",1
"r1 o1 r o","rorro","uni1-bi4",-17.24411623,-14.28874874,5,"r1_o1_r_o.mp3","Task",1
"ɲ1 a1 t i","ñati","uni2-bi1",-16.63620967,-21.43950402,5,"ɲ1_a1_t_i.mp3","Task",1
"f1 e1 i u","feyu","uni2-bi1",-16.61049356,-22.98304401,5,"f1_e1_i_u.mp3","Task",1
"u1 o1 u i","huohui","uni2-bi1",-15.85238627,-28.35365474,5,"u1_o1_u_i.mp3","Task",1
"u1 o1 p u","huopu","uni2-bi1",-16.64475848,-25.78361628,5,"u1_o1_p_u.mp3","Task",1
"k i x1 u1","quijú","uni2-bi2",-16.84004676,-17.48317663,5,"k_i_x1_u1.mp3","Task",1
"g1 u1 m i","gumi","uni2-bi2",-16.62951757,-17.90294512,5,"g1_u1_m_i.mp3","Task",1
"x1 o1 ɾ i","jori","uni2-bi2",-16.0089221,-17.53022266,5,"x1_o1_ɾ_i.mp3","Task",1
"t a ɲ1 i1","tañí","uni2-bi2",-16.17385007,-17.08648186,5,"t_a_ɲ1_i1.mp3","Task",1
"ɲ1 i1 t e","ñite","uni2-bi2",-16.17878166,-18.31111374,5,"ɲ1_i1_t_e.mp3","Task",1
