"word","Orthography","bucket_q","uni_prob","bi_prob_smoothed","group","filename","display","randomise_trials"
NA,NA,NA,NA,NA,NA,NA,"Prompt",NA
"ɲ1 o1 ɲ u","ñoñu","uni1-bi1",-22.34382204,-30.00934016,1,"ɲ1_o1_ɲ_u.mp3","Task",1
"ɲ u s1 u1","ñusú","uni1-bi1",-19.52115647,-26.25509244,1,"ɲ_u_s1_u1.mp3","Task",1
"ɲ1 i1 m u","ñimu","uni1-bi1",-18.36314203,-26.33014468,1,"ɲ1_i1_m_u.mp3","Task",1
"ɲ u g1 a1","ñugá","uni1-bi1",-19.53783545,-24.3321325,1,"ɲ_u_g1_a1.mp3","Task",1
"t͡ʃ1 u1 f e","chufe","uni1-bi2",-18.73797337,-17.09367024,1,"t͡ʃ1_u1_f_e.mp3","Task",1
"r1 u1 t͡ʃ i","ruchi","uni1-bi2",-19.97327769,-18.42607718,1,"r1_u1_t͡ʃ_i.mp3","Task",1
"t͡ʃ i l1 o1","chiló","uni1-bi2",-17.99673043,-17.07646174,1,"t͡ʃ_i_l1_o1.mp3","Task",1
"x u t1 u1","jutú","uni1-bi2",-18.07108899,-18.31126825,1,"x_u_t1_u1.mp3","Task",1
"x u x1 o1","jujó","uni1-bi3",-19.11969441,-16.03396981,1,"x_u_x1_o1.mp3","Task",1
"r e x1 u1","rejú","uni1-bi3",-17.29363433,-15.07185368,1,"r_e_x1_u1.mp3","Task",1
"k i ɲ1 o1","quiñó","uni1-bi3",-17.80815195,-16.21032625,1,"k_i_ɲ1_o1.mp3","Task",1
"r u d1 o1","rudó","uni1-bi4",-17.2994485,-13.35858363,1,"r_u_d1_o1.mp3","Task",1
"p1 u1 t͡ʃ a","pucha","uni1-bi4",-18.19358773,-12.60177714,1,"p1_u1_t͡ʃ_a.mp3","Task",1
"m1 e1 ɲ o","meño","uni1-bi4",-17.81610003,-12.91595561,1,"m1_e1_ɲ_o.mp3","Task",1
"r1 o1 r o","rorro","uni1-bi4",-17.24411623,-14.28874874,1,"r1_o1_r_o.mp3","Task",1
"u1 o1 t u","huotu","uni2-bi1",-16.04306768,-24.91270518,1,"u1_o1_t_u.mp3","Task",1
"x1 i1 s u","gisu","uni2-bi1",-15.76220008,-19.96898805,1,"x1_i1_s_u.mp3","Task",1
"g1 e1 u i","guehui","uni2-bi1",-16.09261594,-25.1405171,1,"g1_e1_u_i.mp3","Task",1
"k i x1 u1","quijú","uni2-bi2",-16.84004676,-17.48317663,1,"k_i_x1_u1.mp3","Task",1
"n i t͡ʃ1 a1","nichá","uni2-bi2",-15.97104805,-18.72813993,1,"n_i_t͡ʃ1_a1.mp3","Task",1
"n a ɲ1 a1","nañá","uni2-bi2",-15.77197036,-16.6900308,1,"n_a_ɲ1_a1.mp3","Task",1
