word,cnt,freq_per_mil,transcription
abarrota,11,0.024348031218638353,a b a r o t a
abarrotada,207,0.4581856783871035,a b a r o t a d a
abarrotadas,86,0.19035733498208166,a b a r o t a d a s
abarrotado,387,0.8566080074193675,a b a r o t a d o
abarrotar,22,0.048696062437276706,a b a r o t a ɾ
abarrotes,146,0.3231647779928363,a b a r o t e s
abastece,180,0.39842232903226393,a b a s t e s e
abastecedor,57,0.12616707086021692,a b a s t e s e d o ɾ
abastecedores,19,0.04205569028673897,a b a s t e s e d o ɾ e s
abastecen,62,0.1372343577777798,a b a s t e s e n
abastecer,314,0.6950256184229494,a b a s t e s e ɾ
abastecería,5,0.011067286917562888,a b a s t e s e ɾ i a
abastecernos,148,0.3275916927598615,a b a s t e s e ɾ n o s
abastecía,43,0.09517866749104083,a b a s t e s i a
abastecido,99,0.21913228096774517,a b a s t e s i d o
abasteciendo,62,0.1372343577777798,a b a s t e s j e n d o
abastecimiento,661,1.4630953305018137,a b a s t e s i m j e n t o
abastecimientos,122,0.27004180078853446,a b a s t e s i m j e n t o s
abasteció,23,0.050909519820789284,a b a s t e s j o
abaten,35,0.0774710084229402,a b a t e n
abatí,17,0.03762877551971382,a b a t i
abatida,332,0.7348678513261757,a b a t i d a
abatidas,25,0.05533643458781443,a b a t i d a s
abatido,1191,2.6362277437634796,a b a t i d o
abatidos,307,0.6795314167383614,a b a t i d o s
abatimiento,100,0.22134573835125773,a b a t i m j e n t o
abatió,110,0.24348031218638355,a b a t j o
abatir,174,0.3851415847311885,a b a t i ɾ
abatirán,8,0.01770765906810062,a b a t i ɾ a n
abatiremos,13,0.02877494598566351,a b a t i ɾ e m o s
abatirnos,26,0.05754989197132702,a b a t i ɾ n o s
abdica,25,0.05533643458781443,a b d i k a
abdicación,63,0.1394478151612924,a b d i k a s j o n
abdicado,53,0.1173132413261666,a b d i k a d o
abdicar,113,0.25012068433692125,a b d i k a ɾ
abdico,11,0.024348031218638353,a b d i k o
abdomen,1749,3.871336963763498,a b d o m e n
abdómenes,27,0.059763349354839596,a b d o m e n e s
abdominal,1245,2.755754442473159,a b d o m i n a l
abdominales,1165,2.5786778517921527,a b d o m i n a l e s
abdominoplastia,24,0.05312297720430186,a b d o m i n o p l a s t j a
abducción,231,0.5113086555914055,a b d u k s j o n
abducciones,136,0.30103020415771053,a b d u k s j o n e s
abducida,105,0.23241302526882063,a b d u s i d a
abducidas,10,0.022134573835125775,a b d u s i d a s
abducido,238,0.5268028572759935,a b d u s i d o
abducidos,123,0.27225525817204704,a b d u s i d o s
abdujeron,33,0.07304409365591506,a b d u x e ɾ o n
abdujo,31,0.0686171788888899,a b d u x o
abecedario,185,0.40948961594982686,a b e s e d a ɾ j o
abedul,167,0.36964738304660044,a b e d u l
abedules,125,0.2766821729390722,a b e d u l e s
abeja,2936,6.498710877992927,a b e x a
abejas,3800,8.411138057347795,a b e x a s
abejita,213,0.471466422688179,a b e x i t a
abejitas,77,0.17043621853046848,a b e x i t a s
abejorro,385,0.8521810926523423,a b e x o r o
abejorros,71,0.157155474229393,a b e x o r o s
abelardo,121,0.2678283434050219,a b e l a ɾ d o
aberración,505,1.1177959786738516,a b e r a s j o n
aberraciones,116,0.256761056487459,a b e r a s j o n e s
aberrante,191,0.42277036025090226,a b e r a n t e
aberrantes,80,0.1770765906810062,a b e r a n t e s
abertura,948,2.098357599569923,a b e ɾ t u ɾ a
aberturas,193,0.4271972750179275,a b e ɾ t u ɾ a s
abeto,279,0.6175546100000091,a b e t o
abetos,157,0.3475128092114747,a b e t o s
abierta,19633,43.45680881050243,a b j e ɾ t a
abiertamente,1793,3.9687290886380517,a b j e ɾ t a m e n t e
abiertas,3793,8.395643855663206,a b j e ɾ t a s
abierto,21390,47.345853433334035,a b j e ɾ t o
abiertos,8028,17.769635874838972,a b j e ɾ t o s
abismal,94,0.20806499405018228,a b i s m a l
abismo,3035,6.717843158960673,a b i s m o
abismos,152,0.3364455222939118,a b i s m o s
ablación,73,0.16158238899641816,a b l a s j o n
ablanda,163,0.36079355351255016,a b l a n d a
ablandaban,6,0.013280744301075465,a b l a n d a b a n
ablandado,250,0.5533643458781444,a b l a n d a d o
ablandador,25,0.05533643458781443,a b l a n d a d o ɾ
ablandadores,5,0.011067286917562888,a b l a n d a d o ɾ e s
ablandan,60,0.13280744301075464,a b l a n d a n
