word,cnt,freq_per_mil,transcription
coloridos,172,0.3807146699641633,k o l o ɾ i d o s
colosal,904,2.00096547469537,k o l o s a l
colosales,158,0.34972626659498723,k o l o s a l e s
colosalmente,30,0.06640372150537732,k o l o s a l m e n t e
coloso,390,0.8632483795699053,k o l o s o
colosos,40,0.0885382953405031,k o l o s o s
colostomía,97,0.21470536620072,k o l o s t o m i a
columna,8437,18.674939944695616,k o l u m n a
columnas,2011,4.451262798243793,k o l u m n a s
columnista,356,0.7879908285304775,k o l u m n i s t a
columpia,36,0.07968446580645279,k o l u m p j a
columpiaba,26,0.05754989197132702,k o l u m p j a b a
columpian,23,0.050909519820789284,k o l u m p j a n
columpiar,24,0.05312297720430186,k o l u m p j a ɾ
columpiaran,2,0.004426914767025155,k o l u m p j a ɾ a n
columpiarme,62,0.1372343577777798,k o l u m p j a ɾ m e
columpiarte,84,0.1859304202150565,k o l u m p j a ɾ t e
colúmpiate,65,0.14387472992831754,k o l u m p j a t e
columpio,868,1.9212810088889174,k o l u m p j o
columpios,346,0.7658562546953518,k o l u m p j o s
coma,12194,26.99089933455237,k o m a
comadreja,1063,2.3529051986738696,k o m a d ɾ e x a
comadrejas,224,0.4958144539068174,k o m a d ɾ e x a s
comadrona,359,0.7946312006810153,k o m a d ɾ o n a
comáis,145,0.32095132060932374,k o m a i s
cómalo,193,0.4271972750179275,k o m a l o
comámonos,28,0.06197680673835217,k o m a m o n o s
comamos,2393,5.296803518745598,k o m a m o s
comámoslos,12,0.02656148860215093,k o m a m o s l o s
coman,3279,7.2579267605377416,k o m a n
comanche,556,1.2306823052329932,k o m a n tʃ e
comanches,511,1.1310767229749272,k o m a n tʃ e s
comanda,278,0.6153411526164966,k o m a n d a
comandaba,102,0.2257726531182829,k o m a n d a b a
comandado,122,0.27004180078853446,k o m a n d a d o
comandan,24,0.05312297720430186,k o m a n d a n
comandancia,779,1.7242833017562977,k o m a n d a n s j a
comandando,151,0.3342320649103992,k o m a n d a n d o
comandante,37731,83.51596053731306,k o m a n d a n t e
comandantes,1153,2.552116363190002,k o m a n d a n t e s
comandar,461,1.0204038537992983,k o m a n d a ɾ
comande,49,0.1084594117921163,k o m a n d e
comandé,31,0.0686171788888899,k o m a n d e
comandes,21,0.04648260505376413,k o m a n d e s
comando,7172,15.874916354552207,k o m a n d o
comandó,58,0.1283805282437295,k o m a n d o
comandos,1363,3.016942413727643,k o m a n d o s
cómanlo,62,0.1372343577777798,k o m a n l o
cómanlos,84,0.1859304202150565,k o m a n l o s
cómanse,287,0.6352622690681097,k o m a n s e
cómanselo,91,0.20142462189964455,k o m a n s e l o
cómanselos,31,0.0686171788888899,k o m a n s e l o s
comarca,2116,4.683675823512614,k o m a ɾ k a
comas,3146,6.963536928530569,k o m a s
cómase,326,0.7215871070251003,k o m a s e
cómaselo,267,0.5909931213978582,k o m a s e l o
cómaselos,156,0.34529935182796206,k o m a s e l o s
comatosa,69,0.15272855946236785,k o m a t o s a
comatoso,154,0.34087243706093695,k o m a t o s o
comatosos,35,0.0774710084229402,k o m a t o s o s
comba,110,0.24348031218638355,k o m b a
combata,90,0.19921116451613197,k o m b a t a
combatamos,33,0.07304409365591506,k o m b a t a m o s
combatan,133,0.2943898320071728,k o m b a t a n
combatas,21,0.04648260505376413,k o m b a t a s
combate,17499,38.733290754086596,k o m b a t e
combátelo,30,0.06640372150537732,k o m b a t e l o
combaten,280,0.6197680673835216,k o m b a t e n
combates,1190,2.6340142863799674,k o m b a t e s
combatí,129,0.2855360024731225,k o m b a t i
combatía,89,0.19699770713261938,k o m b a t i a
combatíamos,40,0.0885382953405031,k o m b a t i a m o s
combatida,25,0.05533643458781443,k o m b a t i d a
combatido,383,0.8477541778853173,k o m b a t i d o
combatiendo,820,1.8150350544803135,k o m b a t j e n d o
combatiente,696,1.540566338924754,k o m b a t j e n t e
combatientes,1226,2.71369875218642,k o m b a t j e n t e s
combatiera,16,0.03541531813620124,k o m b a t j e ɾ a
combatieron,105,0.23241302526882063,k o m b a t j e ɾ o n
combatimos,334,0.7392947660932009,k o m b a t i m o s
combatió,212,0.4692529653046664,k o m b a t j o
combatir,4130,9.141578993906945,k o m b a t i ɾ
combatirá,70,0.1549420168458804,k o m b a t i ɾ a
combatirán,66,0.14608818731183013,k o m b a t i ɾ a n
combatiremos,112,0.2479072269534087,k o m b a t i ɾ e m o s
combatiría,39,0.08632483795699052,k o m b a t i ɾ i a
combatirla,246,0.5445105163440941,k o m b a t i ɾ l a
combatirlo,668,1.4785895321864018,k o m b a t i ɾ l o
combatirlos,414,0.916371356774207,k o m b a t i ɾ l o s
combativa,108,0.23905339741935838,k o m b a t i b a
combativo,121,0.2678283434050219,k o m b a t i b o
combato,149,0.329805150143374,k o m b a t o
combina,1066,2.359545570824408,k o m b i n a
combinaba,86,0.19035733498208166,k o m b i n a b a
combinaban,61,0.13502090039426723,k o m b i n a b a n
combinación,6705,14.841231756451833,k o m b i n a s j o n
combinaciones,708,1.567127827526905,k o m b i n a s j o n e s
combinada,460,1.0181903964157855,k o m b i n a d a
combinadas,241,0.5334432294265312,k o m b i n a d a s
combinado,1046,2.315276423154156,k o m b i n a d o
combinados,412,0.9119444420071819,k o m b i n a d o s
combínalo,50,0.11067286917562887,k o m b i n a l o
combinamos,215,0.4758933374552042,k o m b i n a m o s
combinan,659,1.4586684157347887,k o m b i n a n
combinando,286,0.6330488116845971,k o m b i n a n d o
combinar,983,2.1758286079928637,k o m b i n a ɾ
combinara,28,0.06197680673835217,k o m b i n a ɾ a
combinará,28,0.06197680673835217,k o m b i n a ɾ a
combináramos,12,0.02656148860215093,k o m b i n a ɾ a m o s
combinaran,24,0.05312297720430186,k o m b i n a ɾ a n
combinarán,7,0.015494201684588043,k o m b i n a ɾ a n
combinaré,16,0.03541531813620124,k o m b i n a ɾ e
combinaremos,56,0.12395361347670435,k o m b i n a ɾ e m o s
combinaría,29,0.06419026412186475,k o m b i n a ɾ i a
combinarían,5,0.011067286917562888,k o m b i n a ɾ i a n
combinarla,38,0.08411138057347795,k o m b i n a ɾ l a
combinarlas,70,0.1549420168458804,k o m b i n a ɾ l a s
combinarlo,98,0.2169188235842326,k o m b i n a ɾ l o
combinarlos,184,0.4072761585663143,k o m b i n a ɾ l o s
combinarse,148,0.3275916927598615,k o m b i n a ɾ s e
combinatoria,28,0.06197680673835217,k o m b i n a t o ɾ j a
combine,186,0.41170307333333944,k o m b i n e
combiné,63,0.1394478151612924,k o m b i n e
combinen,90,0.19921116451613197,k o m b i n e n
combines,10,0.022134573835125775,k o m b i n e s
combino,101,0.22355919573477032,k o m b i n o
combinó,72,0.15936893161290558,k o m b i n o
combo,460,1.0181903964157855,k o m b o
combos,32,0.07083063627240248,k o m b o s
combustible,11236,24.87040716114732,k o m b u s t i b l e
combustibles,511,1.1310767229749272,k o m b u s t i b l e s
combustión,808,1.7884735658781625,k o m b u s t j o n
come,30966,68.54192133785047,k o m e
comecocos,49,0.1084594117921163,k o m e k o k o s
comed,579,1.2815918250537823,k o m e d
comedero,102,0.2257726531182829,k o m e d e ɾ o
comederos,25,0.05533643458781443,k o m e d e ɾ o s
comedia,4935,10.92341218763457,k o m e d j a
comediante,1535,3.3976570836918065,k o m e d j a n t e
comediantes,411,0.9097309846236693,k o m e d j a n t e s
comedias,692,1.5317125093907036,k o m e d j a s
comedido,61,0.13502090039426723,k o m e d i d o
comedor,6106,13.515370783727798,k o m e d o ɾ
comedores,356,0.7879908285304775,k o m e d o ɾ e s
coméis,256,0.5666450901792198,k o m e i s
cómela,252,0.5577912606451696,k o m e l a
cómelo,945,2.0917172274193856,k o m e l o
cómelos,140,0.3098840336917608,k o m e l o s
cómeme,539,1.1930535297132792,k o m e m e
cómemela,47,0.10403249702509114,k o m e m e l a
comemierda,492,1.0890210326881882,k o m e m j e ɾ d a
comemos,4474,9.903008333835272,k o m e m o s
comen,7116,15.7509627410755,k o m e n
comencé,5492,12.156307950251076,k o m e n s e
comencemos,4312,9.544428237706233,k o m e n s e m o s
comensales,162,0.3585800961290375,k o m e n s a l e s
comenta,547,1.2107611887813798,k o m e n t a
comentaba,242,0.5356566868100437,k o m e n t a b a
comentadas,11,0.024348031218638353,k o m e n t a d a s
comentado,724,1.602543145663106,k o m e n t a d o
comentadores,3,0.006640372150537733,k o m e n t a d o ɾ e s
comentamos,145,0.32095132060932374,k o m e n t a m o s
comentan,192,0.4249838176344149,k o m e n t a n
comentando,284,0.628621896917572,k o m e n t a n d o
comentar,1529,3.3843763393907307,k o m e n t a ɾ
comentara,54,0.11952669870967919,k o m e n t a ɾ a
comentará,58,0.1283805282437295,k o m e n t a ɾ a
comentaré,154,0.34087243706093695,k o m e n t a ɾ e
comentaremos,32,0.07083063627240248,k o m e n t a ɾ e m o s
comentaría,41,0.09075175272401569,k o m e n t a ɾ i a
comentario,5547,12.278048106344269,k o m e n t a ɾ j o
comentarios,6523,14.438382512652543,k o m e n t a ɾ j o s
comentarista,305,0.6751045019713361,k o m e n t a ɾ i s t a
comentaristas,93,0.20585153666666972,k o m e n t a ɾ i s t a s
comentarla,40,0.0885382953405031,k o m e n t a ɾ l a
comentarle,370,0.8189792318996537,k o m e n t a ɾ l e
comentarlo,578,1.27937836767027,k o m e n t a ɾ l o
comentarme,60,0.13280744301075464,k o m e n t a ɾ m e
comentaron,117,0.2589745138709716,k o m e n t a ɾ o n
comentárselo,162,0.3585800961290375,k o m e n t a ɾ s e l o
comentarte,414,0.916371356774207,k o m e n t a ɾ t e
comentas,71,0.157155474229393,k o m e n t a s
comentaste,116,0.256761056487459,k o m e n t a s t e
comente,235,0.5201624851254557,k o m e n t e
comenté,394,0.8721022091039555,k o m e n t e
comentes,143,0.3165244058422986,k o m e n t e s
coménteselo,15,0.03320186075268866,k o m e n t e s e l o
comento,261,0.5777123770967827,k o m e n t o
comentó,791,1.7508447903584488,k o m e n t o
comenzaba,1270,2.8110908770609737,k o m e n s a b a
comenzábamos,106,0.2346264826523332,k o m e n s a b a m o s
comenzaban,232,0.513522112974918,k o m e n s a b a n
comenzabas,78,0.17264967591398103,k o m e n s a b a s
comenzad,180,0.39842232903226393,k o m e n s a d
comenzada,75,0.1660093037634433,k o m e n s a d a
comenzado,5679,12.570224480967928,k o m e n s a d o
comenzamos,5415,11.985871731720607,k o m e n s a m o s
comenzando,4829,10.688785704982235,k o m e n s a n d o
comenzar,20212,44.73840063555622,k o m e n s a ɾ
comenzara,813,1.7995408527957255,k o m e n s a ɾ a
comenzará,2629,5.819179461254566,k o m e n s a ɾ a
comenzáramos,56,0.12395361347670435,k o m e n s a ɾ a m o s
comenzaran,244,0.5400836015770689,k o m e n s a ɾ a n
comenzarán,776,1.71764292960576,k o m e n s a ɾ a n
comenzaras,130,0.2877494598566351,k o m e n s a ɾ a s
comenzarás,388,0.85882146480288,k o m e n s a ɾ a s
comenzaré,1680,3.71860840430113,k o m e n s a ɾ e
comenzaremos,2443,5.407476387921227,k o m e n s a ɾ e m o s
comenzaría,411,0.9097309846236693,k o m e n s a ɾ i a
comenzaríamos,53,0.1173132413261666,k o m e n s a ɾ i a m o s
comenzarías,43,0.09517866749104083,k o m e n s a ɾ i a s
comenzarla,68,0.15051510207885527,k o m e n s a ɾ l a
comenzarlo,47,0.10403249702509114,k o m e n s a ɾ l o
comenzaron,4855,10.746335596953564,k o m e n s a ɾ o n
comenzase,72,0.15936893161290558,k o m e n s a s e
comenzaste,1381,3.0567846466308692,k o m e n s a s t e
comenzó,19223,42.54929128326228,k o m e n s o
comeos,90,0.19921116451613197,k o m e o s
comepollas,55,0.12174015609319178,k o m e p o j a s
comer,94951,210.16999202190274,k o m e ɾ
comerá,1827,4.043986639677479,k o m e ɾ a
comerán,1216,2.6915641783512942,k o m e ɾ a n
comerás,1289,2.8531465673477125,k o m e ɾ a s
comercia,146,0.3231647779928363,k o m e ɾ s j a
comerciaba,61,0.13502090039426723,k o m e ɾ s j a b a
comerciábamos,10,0.022134573835125775,k o m e ɾ s j a b a m o s
comerciaban,24,0.05312297720430186,k o m e ɾ s j a b a n
comercial,11093,24.553882755305022,k o m e ɾ s j a l
comerciales,3800,8.411138057347795,k o m e ɾ s j a l e s
comercializa,27,0.059763349354839596,k o m e ɾ s j a l i s a
comercialización,227,0.5024548260573551,k o m e ɾ s j a l i s a s j o n
comercializado,32,0.07083063627240248,k o m e ɾ s j a l i s a d o
comercializados,10,0.022134573835125775,k o m e ɾ s j a l i s a d o s
comercializar,111,0.24569376956989608,k o m e ɾ s j a l i s a ɾ
comercializarlo,74,0.16379584637993075,k o m e ɾ s j a l i s a ɾ l o
comercializarse,10,0.022134573835125775,k o m e ɾ s j a l i s a ɾ s e
comercializas,5,0.011067286917562888,k o m e ɾ s j a l i s a s
comercializaste,4,0.00885382953405031,k o m e ɾ s j a l i s a s t e
comercializo,4,0.00885382953405031,k o m e ɾ s j a l i s o
comercialmente,98,0.2169188235842326,k o m e ɾ s j a l m e n t e
comerciamos,56,0.12395361347670435,k o m e ɾ s j a m o s
comerciando,134,0.29660328939068537,k o m e ɾ s j a n d o
comerciante,2247,4.9736387407527625,k o m e ɾ s j a n t e
comerciantes,1781,3.9421676000359,k o m e ɾ s j a n t e s
comerciar,618,1.3679166630107729,k o m e ɾ s j a ɾ
comercie,11,0.024348031218638353,k o m e ɾ s j e
comercio,5590,12.373226773835308,k o m e ɾ s j o
comercios,250,0.5533643458781444,k o m e ɾ s j o s
comeré,3784,8.375722739211593,k o m e ɾ e
comeremos,2709,5.996256051935572,k o m e ɾ e m o s
comería,1537,3.402083998458832,k o m e ɾ i a
comeríamos,150,0.3320186075268866,k o m e ɾ i a m o s
comerían,211,0.46703950792115384,k o m e ɾ i a n
comerías,303,0.670677587204311,k o m e ɾ i a s
comerla,1151,2.5476894484229766,k o m e ɾ l a
comerlas,594,1.314793685806471,k o m e ɾ l a s
comerle,158,0.34972626659498723,k o m e ɾ l e
comerlo,2278,5.042255919641652,k o m e ɾ l o
comerlos,921,2.038594250215084,k o m e ɾ l o s
comerme,4011,8.878177565268947,k o m e ɾ m e
comérmela,322,0.71273327749105,k o m e ɾ m e l a
comérmelo,562,1.2439630495340686,k o m e ɾ m e l o
comérmelos,191,0.42277036025090226,k o m e ɾ m e l o s
comernos,1110,2.456937695698961,k o m e ɾ n o s
comérnosla,84,0.1859304202150565,k o m e ɾ n o s l a
comérnoslo,159,0.3519397239784998,k o m e ɾ n o s l o
comerse,3703,8.196432691147075,k o m e ɾ s e
comérsela,655,1.449814586200738,k o m e ɾ s e l a
comérselas,156,0.34529935182796206,k o m e ɾ s e l a s
comérselo,978,2.1647613210753005,k o m e ɾ s e l o
comérselos,375,0.8300465188172165,k o m e ɾ s e l o s
comerte,3656,8.092400194121984,k o m e ɾ t e
comértela,447,0.9894154504301222,k o m e ɾ t e l a
comértelo,723,1.6003296882795937,k o m e ɾ t e l o
comes,7208,15.954600820358658,k o m e s
comestible,494,1.0934479474552132,k o m e s t i b l e
comestibles,1109,2.454724238315449,k o m e s t i b l e s
cometa,4133,9.148219366057482,k o m e t a
cometamos,166,0.36743392566308786,k o m e t a m o s
cometan,318,0.7038794479569996,k o m e t a n
cometas,1950,4.316241897849526,k o m e t a s
comete,2894,6.405745667885399,k o m e t e
cómete,1978,4.378218704587878,k o m e t e
cómetela,866,1.9168540941218921,k o m e t e l a
cómetelas,248,0.5489374311111191,k o m e t e l a s
cómetelo,2555,5.655383614874635,k o m e t e l o
cómetelos,253,0.5600047180286821,k o m e t e l o s
cometemos,1037,2.295355306702543,k o m e t e m o s
cometen,1528,3.382162882007218,k o m e t e n
cometer,7276,16.105115922437516,k o m e t e ɾ
cometerá,299,0.6618237576702607,k o m e t e ɾ a
cometerán,86,0.19035733498208166,k o m e t e ɾ a n
cometerás,208,0.46039913577061614,k o m e t e ɾ a s
cometeré,427,0.9451463027598707,k o m e t e ɾ e
cometeremos,90,0.19921116451613197,k o m e t e ɾ e m o s
cometería,266,0.5887796640143456,k o m e t e ɾ i a
cometerlos,134,0.29660328939068537,k o m e t e ɾ l o s
cometerse,142,0.314310948458786,k o m e t e ɾ s e
cometes,1123,2.4857126416846245,k o m e t e s
cometí,5660,12.528168790681189,k o m e t i
cometía,220,0.4869606243727671,k o m e t i a
cometíamos,12,0.02656148860215093,k o m e t i a m o s
cometían,61,0.13502090039426723,k o m e t i a n
cometías,22,0.048696062437276706,k o m e t i a s
cometidas,135,0.298816746774198,k o m e t i d a s
cometido,9716,21.505951938208202,k o m e t i d o
cometidos,768,1.6999352705376596,k o m e t i d o s
cometiendo,3613,7.997221526630942,k o m e t j e n d o
cometiéndolos,4,0.00885382953405031,k o m e t j e n d o l o s
cometiera,280,0.6197680673835216,k o m e t j e ɾ a
cometieran,42,0.09296521010752826,k o m e t j e ɾ a n
cometieras,55,0.12174015609319178,k o m e t j e ɾ a s
cometieron,1256,2.7801024736917976,k o m e t j e ɾ o n
cometimos,954,2.111638343870999,k o m e t i m o s
cometió,5718,12.656549318924919,k o m e t j o
cometiste,1821,4.0307058953764034,k o m e t i s t e
cometo,562,1.2439630495340686,k o m e t o
comezón,584,1.2926591119713453,k o m e s o n
comí,5114,11.319621059283321,k o m i
comía,2356,5.214905595555632,k o m i a
comíamos,612,1.3546359187096972,k o m i a m o s
comían,749,1.6578795802509205,k o m i a n
comías,404,0.8942367829390813,k o m i a s
comic,692,1.5317125093907036,k o m i k
cómica,991,2.193536267060964,k o m i k a
cómicamente,53,0.1173132413261666,k o m i k a m e n t e
cómicas,561,1.241749592150556,k o m i k a s
cómico,3861,8.546158957742062,k o m i k o
cómicos,571,1.2638841659856819,k o m i k o s
comics,1498,3.315759160501841,k o m i k s
comida,92649,205.0746131250568,k o m i d a
comidas,4506,9.973838970107675,k o m i d a s
comido,14338,31.736551964803333,k o m i d o
comidos,215,0.4758933374552042,k o m i d o s
comience,4701,10.405463159892626,k o m j e n s e
comiencen,3116,6.897133207025191,k o m j e n s e n
comiences,902,1.9965385599283447,k o m j e n s e s
comiendo,13251,29.330523788925166,k o m j e n d o
comiéndola,40,0.0885382953405031,k o m j e n d o l a
comiéndole,56,0.12395361347670435,k o m j e n d o l e
comiéndome,257,0.5688585475627325,k o m j e n d o m e
comiéndonos,90,0.19921116451613197,k o m j e n d o n o s
comiéndose,872,1.9301348384229675,k o m j e n d o s e
comiéndoselo,126,0.2788956303225848,k o m j e n d o s e l o
comiéndoselos,15,0.03320186075268866,k o m j e n d o s e l o s
comiéndote,234,0.5179490277419432,k o m j e n d o t e
comienza,17796,39.39068759698983,k o m j e n s a
comienzan,3261,7.218084527634515,k o m j e n s a n
comienzas,2064,4.56857603956996,k o m j e n s a s
comienzo,18302,40.510697033047194,k o m j e n s o
comienzos,1151,2.5476894484229766,k o m j e n s o s
comiera,621,1.3745570351613108,k o m j e ɾ a
comiéramos,95,0.21027845143369486,k o m j e ɾ a m o s
comieran,202,0.44711839146954063,k o m j e ɾ a n
comieras,313,0.6928121610394368,k o m j e ɾ a s
comieron,2263,5.009054058888963,k o m j e ɾ o n
comiese,57,0.12616707086021692,k o m j e s e
comillas,382,0.8455407205018045,k o m i j a s
comilón,66,0.14608818731183013,k o m i l o n
comilona,155,0.34308589444444954,k o m i l o n a
comilonas,25,0.05533643458781443,k o m i l o n a s
comilones,33,0.07304409365591506,k o m i l o n e s
comimos,1723,3.813787071792171,k o m i m o s
comino,1243,2.7513275277061338,k o m i n o
comió,6207,13.738929979462569,k o m j o
comiquísimo,207,0.4581856783871035,k o m i k i s i m o
comisar,8,0.01770765906810062,k o m i s a ɾ
comisaria,476,1.053605714551987,k o m i s a ɾ j a
comisaría,7433,16.45262873164899,k o m i s a ɾ i a
comisarías,227,0.5024548260573551,k o m i s a ɾ i a s
comisario,11028,24.410008025376705,k o m i s a ɾ j o
comisarios,366,0.8101254023656034,k o m i s a ɾ j o s
comisión,8392,18.575334362437548,k o m i s j o n
comisionada,97,0.21470536620072,k o m i s j o n a d a
comisionado,3565,7.890975572222338,k o m i s j o n a d o
comisionados,271,0.5998469509319085,k o m i s j o n a d o s
comisioné,4,0.00885382953405031,k o m i s j o n e
comisiones,566,1.252816879068119,k o m i s j o n e s
comisionó,18,0.039842232903226395,k o m i s j o n o
comiste,3505,7.758168129211583,k o m i s t e
comisura,48,0.10624595440860372,k o m i s u ɾ a
comisuras,40,0.0885382953405031,k o m i s u ɾ a s
comité,12208,27.021887737921546,k o m i t e
comités,537,1.188626614946254,k o m i t e s
comitiva,350,0.7747100842294021,k o m i t i b a
como,1772746,3923.8977227923874,k o m o
cómo,939606,2079.7778382927186,k o m o
cómoda,6961,15.407876846631053,k o m o d a
cómodamente,754,1.6689468671684835,k o m o d a m e n t e
cómodas,639,1.414399268064537,k o m o d a s
comodidad,1737,3.844775475161347,k o m o d i d a d
comodidades,1060,2.346264826523332,k o m o d i d a d e s
comodín,434,0.9606405044444587,k o m o d i n
comodines,163,0.36079355351255016,k o m o d i n e s
cómodo,12444,27.544263680430515,k o m o d o
comodoro,1226,2.71369875218642,k o m o d o ɾ o
cómodos,3151,6.974604215448132,k o m o d o s
compacta,205,0.4537587636200784,k o m p a k t a
compactada,19,0.04205569028673897,k o m p a k t a d a
compactado,19,0.04205569028673897,k o m p a k t a d o
compactadora,15,0.03320186075268866,k o m p a k t a d o ɾ a
compacto,430,0.9517866749104084,k o m p a k t o
compactos,236,0.5223759425089682,k o m p a k t o s
compadece,183,0.4050627011828017,k o m p a d e s e
compadéceme,8,0.01770765906810062,k o m p a d e s e m e
compadecemos,39,0.08632483795699052,k o m p a d e s e m o s
compadecen,79,0.17486313329749362,k o m p a d e s e n
compadecer,101,0.22355919573477032,k o m p a d e s e ɾ
compadecerme,302,0.6684641298207984,k o m p a d e s e ɾ m e
compadecerse,224,0.4958144539068174,k o m p a d e s e ɾ s e
compadecerte,376,0.8322599762007291,k o m p a d e s e ɾ t e
compadeces,120,0.2656148860215093,k o m p a d e s e s
compadécete,174,0.3851415847311885,k o m p a d e s e t e
compadecí,46,0.10181903964157857,k o m p a d e s i
compadecía,52,0.11509978394265404,k o m p a d e s i a
compadeciendo,35,0.0774710084229402,k o m p a d e s j e n d o
compadeciéndome,68,0.15051510207885527,k o m p a d e s j e n d o m e
compadeciéndose,82,0.18150350544803137,k o m p a d e s j e n d o s e
compadeciéndote,64,0.14166127254480496,k o m p a d e s j e n d o t e
compadeciera,17,0.03762877551971382,k o m p a d e s j e ɾ a
compadecieron,20,0.04426914767025155,k o m p a d e s j e ɾ o n
compadeció,89,0.19699770713261938,k o m p a d e s j o
compadezca,163,0.36079355351255016,k o m p a d e s k a
compadezcan,71,0.157155474229393,k o m p a d e s k a n
compadezcas,149,0.329805150143374,k o m p a d e s k a s
compadezco,990,2.1913228096774517,k o m p a d e s k o
compadre,1974,4.369364875053828,k o m p a d ɾ e
compadres,344,0.7614293399283266,k o m p a d ɾ e s
compaginando,10,0.022134573835125775,k o m p a x i n a n d o
compaginar,39,0.08632483795699052,k o m p a x i n a ɾ
compañera,9080,20.098193042294202,k o m p a j e ɾ a
compañeras,1480,3.275916927598615,k o m p a j e ɾ a s
compañerismo,282,0.6241949821505469,k o m p a j e ɾ i s m o
compañerita,33,0.07304409365591506,k o m p a j e ɾ i t a
compañerito,145,0.32095132060932374,k o m p a j e ɾ i t o
compañeritos,21,0.04648260505376413,k o m p a j e ɾ i t o s
compañero,34403,76.14957436498321,k o m p a j e ɾ o
compañeros,18534,41.024219146022105,k o m p a j e ɾ o s
compañía,58436,129.34559566294098,k o m p a j i a
compañías,5856,12.962006437849654,k o m p a j i a s
compara,1283,2.839865823046637,k o m p a ɾ a
comparaba,108,0.23905339741935838,k o m p a ɾ a b a
comparable,479,1.0602460867025245,k o m p a ɾ a b l e
comparables,102,0.2257726531182829,k o m p a ɾ a b l e s
comparación,2635,5.832460205555642,k o m p a ɾ a s j o n
comparaciones,230,0.5090951982078927,k o m p a ɾ a s j o n e s
comparada,948,2.098357599569923,k o m p a ɾ a d a
comparadas,236,0.5223759425089682,k o m p a ɾ a d a s
comparado,4104,9.084029101935618,k o m p a ɾ a d o
comparados,471,1.042538427634424,k o m p a ɾ a d o s
compárala,72,0.15936893161290558,k o m p a ɾ a l a
compáralo,108,0.23905339741935838,k o m p a ɾ a l o
comparamos,409,0.9053040698566442,k o m p a ɾ a m o s
comparan,269,0.5954200361648834,k o m p a ɾ a n
comparando,642,1.421039640215075,k o m p a ɾ a n d o
comparándola,34,0.07525755103942763,k o m p a ɾ a n d o l a
comparándolas,30,0.06640372150537732,k o m p a ɾ a n d o l a s
comparándolo,120,0.2656148860215093,k o m p a ɾ a n d o l o
comparándome,48,0.10624595440860372,k o m p a ɾ a n d o m e
comparar,2367,5.239253626774271,k o m p a ɾ a ɾ
comparara,36,0.07968446580645279,k o m p a ɾ a ɾ a
comparará,28,0.06197680673835217,k o m p a ɾ a ɾ a
compararas,8,0.01770765906810062,k o m p a ɾ a ɾ a s
compararé,80,0.1770765906810062,k o m p a ɾ a ɾ e
compararemos,114,0.25233414172043384,k o m p a ɾ a ɾ e m o s
compararía,40,0.0885382953405031,k o m p a ɾ a ɾ i a
compararla,294,0.6507564707526977,k o m p a ɾ a ɾ l a
compararlas,306,0.6773179593548486,k o m p a ɾ a ɾ l a s
compararlo,632,1.398905066379949,k o m p a ɾ a ɾ l o
compararlos,264,0.5843527492473205,k o m p a ɾ a ɾ l o s
compararme,260,0.5754989197132702,k o m p a ɾ a ɾ m e
compararnos,130,0.2877494598566351,k o m p a ɾ a ɾ n o s
compararon,66,0.14608818731183013,k o m p a ɾ a ɾ o n
compararse,820,1.8150350544803135,k o m p a ɾ a ɾ s e
comparársele,33,0.07304409365591506,k o m p a ɾ a ɾ s e l e
compararte,310,0.6861717888888991,k o m p a ɾ a ɾ t e
comparas,318,0.7038794479569996,k o m p a ɾ a s
comparaste,40,0.0885382953405031,k o m p a ɾ a s t e
comparativa,122,0.27004180078853446,k o m p a ɾ a t i b a
comparativamente,74,0.16379584637993075,k o m p a ɾ a t i b a m e n t e
compare,398,0.8809560386380059,k o m p a ɾ e
comparé,336,0.743721680860226,k o m p a ɾ e
comparece,129,0.2855360024731225,k o m p a ɾ e s e
comparecencia,301,0.6662506724372859,k o m p a ɾ e s e n s j a
comparecer,476,1.053605714551987,k o m p a ɾ e s e ɾ
comparecerá,89,0.19699770713261938,k o m p a ɾ e s e ɾ a
comparecerás,12,0.02656148860215093,k o m p a ɾ e s e ɾ a s
comparecí,3,0.006640372150537733,k o m p a ɾ e s i
comparecido,56,0.12395361347670435,k o m p a ɾ e s i d o
compárelos,26,0.05754989197132702,k o m p a ɾ e l o s
comparemos,122,0.27004180078853446,k o m p a ɾ e m o s
compárenla,20,0.04426914767025155,k o m p a ɾ e n l a
compárenlas,6,0.013280744301075465,k o m p a ɾ e n l a s
compares,305,0.6751045019713361,k o m p a ɾ e s
comparezca,142,0.314310948458786,k o m p a ɾ e s k a
comparezcan,26,0.05754989197132702,k o m p a ɾ e s k a n
comparezcas,12,0.02656148860215093,k o m p a ɾ e s k a s
comparo,184,0.4072761585663143,k o m p a ɾ o
comparó,135,0.298816746774198,k o m p a ɾ o
comparta,810,1.7929004806451878,k o m p a ɾ t a
compártala,76,0.1682227611469559,k o m p a ɾ t a l a
compartamos,431,0.9540001322939208,k o m p a ɾ t a m o s
compartámoslo,46,0.10181903964157857,k o m p a ɾ t a m o s l o
compartan,461,1.0204038537992983,k o m p a ɾ t a n
compartas,257,0.5688585475627325,k o m p a ɾ t a s
comparte,2578,5.706293134695425,k o m p a ɾ t e
compártela,146,0.3231647779928363,k o m p a ɾ t e l a
compártelo,251,0.555577803261657,k o m p a ɾ t e l o
comparten,2088,4.6216990167742615,k o m p a ɾ t e n
