,Unnamed: 0,word,cnt,frq,sa_phon_structure,sa_phon_CV_structure,sa_syll_accent,sa_NP,sa_avg_frq_Np,X,stressed_ipa,unsyllabified_ipa,syllabified_ipa,no_spaces_ipa
25042,25043,curiosa,2571,5.557577,kurjosa,CVCVVCV,2,5,7.427395,,k u ɾ1 j1 o1 s a,k u ɾ j o s a,ku.ɾjo.sa,kuɾjosa
25043,25044,curiosamente,883,1.908728,kurjosamente,CVCVVCVCVCCV,4,1,0.283175,,k u ɾ j o s a m1 e1 n1 t e,k u ɾ j o s a m e n t e,ku.ɾjo.sa.men.te,kuɾjosamente
25044,25045,curiosas,399,0.862494,kurjosas,CVCVVCVC,2,4,2.074634,,k u ɾ1 j1 o1 s a s,k u ɾ j o s a s,ku.ɾjo.sas,kuɾjosas
25045,25046,curioseando,260,0.562026,kurjoseando,CVCVVCVVCCV,4,0,0.0,,k u ɾ j o s e a1 n1 d o,k u ɾ j o s e a n d o,ku.ɾjo.se.an.do,kuɾjoseando
25046,25047,curiosear,252,0.544733,kurjosear,CVCVVCVVC,4,5,0.012105,,k u ɾ j o s e a1 ɾ1,k u ɾ j o s e a ɾ,ku.ɾjo.se.aɾ,kuɾjoseaɾ
25047,25048,curiosidad,13299,28.747652,kurjosiDaD,CVCVVCVCVC,4,0,0.0,,k u ɾ j o s i d1 a1 d1,k u ɾ j o s i d a d,ku.ɾjo.si.dad,kuɾjosidad
25048,25049,curiosidades,229,0.495016,kurjosiDaDes,CVCVVCVCVCVC,4,0,0.0,,k u ɾ j o s i d1 a1 d e s,k u ɾ j o s i d a d e s,ku.ɾjo.si.da.des,kuɾjosidades
25049,25050,curioso,13295,28.739006,kurjoso,CVCVVCV,2,6,3.642364,,k u ɾ1 j1 o1 s o,k u ɾ j o s o,ku.ɾjo.so,kuɾjoso
25050,25051,curiosos,1039,2.245944,kurjosos,CVCVVCVC,2,3,10.808921,,k u ɾ1 j1 o1 s o s,k u ɾ j o s o s,ku.ɾjo.sos,kuɾjosos
25051,25052,curita,365,0.788999,kurita,CVCVCV,2,7,0.463209,,k u ɾ1 i1 t a,k u ɾ i t a,ku.ɾi.ta,kuɾita
25052,25053,curitas,169,0.365317,kuritas,CVCVCVC,2,6,0.207518,,k u ɾ1 i1 t a s,k u ɾ i t a s,ku.ɾi.tas,kuɾitas
25053,25054,curo,370,0.799807,kuro,CVCV,1,43,13.123116,,k1 u1 ɾ o,k u ɾ o,ku.ɾo,kuɾo
25054,25055,curó,1262,2.72799,kuro,CVCV,2,43,13.123116,,k u ɾ1 o1,k u ɾ o,ku.ɾo,kuɾo
25055,25056,curraba,15,0.032425,kuRaBa,CVCVCV,2,5,0.088627,,k u r1 a1 b a,k u r a b a,ku.ra.ba,kuraba
25056,25057,curran,311,0.67227,kuRan,CVCVC,1,9,3.702409,,k1 u1 r a n,k u r a n,ku.ran,kuran
25057,25058,currando,111,0.239942,kuRando,CVCVCCV,2,6,0.379008,,k u r1 a1 n1 d o,k u r a n d o,ku.ran.do,kurando
25058,25059,currar,198,0.428005,kuRar,CVCVC,2,7,1.862407,,k u r1 a1 ɾ1,k u r a ɾ,ku.raɾ,kuraɾ
25059,25060,curras,47,0.101597,kuRas,CVCVC,1,25,1.544449,,k1 u1 r a s,k u r a s,ku.ras,kuras
25060,25061,curricular,12,0.02594,kuRikular,CVCVCVCVC,4,0,0.0,,k u r i k u l1 a1 ɾ1,k u r i k u l a ɾ,ku.ri.ku.laɾ,kurikulaɾ
25061,25062,currículo,376,0.812777,kuRikulo,CVCVCVCV,2,2,0.816019,,k u r1 i1 k u l o,k u r i k u l o,ku.ri.ku.lo,kurikulo
25062,25063,currículos,99,0.214002,kuRikulos,CVCVCVCVC,2,2,0.544734,,k u r1 i1 k u l o s,k u r i k u l o s,ku.ri.ku.los,kurikulos
25063,25064,currículum,1454,3.143025,kuRikulum,CVCVCVCVC,2,1,0.194548,,k u r1 i1 k u l u m,k u r i k u l u m,ku.ri.ku.lum,kurikulum
25064,25065,currículums,90,0.194548,kuRikulums,CVCVCVCVCC,2,2,2.242702,,k u r1 i1 k u l u m s,k u r i k u l u m s,ku.ri.ku.lums,kurikulums
25065,25066,curro,582,1.258075,kuRo,CVCV,1,24,8.108492,,k1 u1 r o,k u r o,ku.ro,kuro
25066,25067,curry,1285,2.777708,kuRi,CVCV,1,14,0.88936,,k1 u1 ɾ1 ɾ i,k u ɾ ɾ i,kuɾ.ɾi,kuɾɾi
25067,25068,cursa,47,0.101597,kursa,CVCCV,1,19,4.621928,,k1 u1 ɾ1 s a,k u ɾ s a,kuɾ.sa,kuɾsa
25068,25069,cursaba,27,0.058364,kursaBa,CVCCVCV,2,8,0.176174,,k u ɾ s1 a1 b a,k u ɾ s a b a,kuɾ.sa.ba,kuɾsaba
25069,25070,cursado,44,0.095112,kursaDo,CVCCVCV,2,5,1.434032,,k u ɾ s1 a1 d o,k u ɾ s a d o,kuɾ.sa.do,kuɾsado
