,Unnamed: 0,word,cnt,frq,sa_phon_structure,sa_phon_CV_structure,sa_syll_accent,sa_NP,sa_avg_frq_Np,X,stressed_ipa,unsyllabified_ipa,syllabified_ipa,no_spaces_ipa
0,1,a,10445760,22579.974,a,V,1,59,1049.399673,,a1,a,a,a
1,2,aarón,632,1.366157,aaron,VVCVC,3,18,2.577756,,a a ɾ1 o1 n1,a a ɾ o n,a.a.ɾon,aaɾon
2,3,ábaco,149,0.322084,aBako,VCVCV,1,26,10.128448,,a1 b a k o,a b a k o,a.ba.ko,abako
3,4,abad,973,2.103276,aBaD,VCVC,2,36,0.571273,,a b1 a1 d1,a b a d,a.bad,abad
4,5,abadesa,97,0.209679,aBaDesa,VCVCVCV,3,2,0.021617,,a b a d1 e1 s a,a b a d e s a,a.ba.de.sa,abadesa
5,6,abadía,1149,2.483725,aBaDia,VCVCVV,3,6,0.126816,,a b a d1 i1 a,a b a d i a,a.ba.di.a,abadia
6,7,abajo,105998,229.12953,aBaxo,VCVCV,2,16,0.687942,,a b1 a1 x o,a b a x o,a.ba.xo,abaxo
7,8,abalancé,45,0.097274,aBalanse,VCVCVCCV,4,6,0.223369,,a b a l a n s1 e1,a b a l a n s e,a.ba.lan.se,abalanse
8,9,abalances,6,0.01297,aBalanses,VCVCVCCVC,3,4,0.051339,,a b a l1 a1 n1 s e s,a b a l a n s e s,a.ba.lan.ses,abalanses
9,10,abalanza,144,0.311276,aBalansa,VCVCVCCV,3,8,0.362615,,a b a l1 a1 n1 s a,a b a l a n s a,a.ba.lan.sa,abalansa
10,11,abalanzaba,23,0.049718,aBalansaBa,VCVCVCCVCV,4,5,0.013402,,a b a l a n s1 a1 b a,a b a l a n s a b a,a.ba.lan.sa.ba,abalansaba
11,12,abalanzamos,24,0.051879,aBalansamos,VCVCVCCVCVC,4,3,0.006485,,a b a l a n s1 a1 m o s,a b a l a n s a m o s,a.ba.lan.sa.mos,abalansamos
12,13,abalanzan,56,0.121052,aBalansan,VCVCVCCVC,3,4,0.103218,,a b a l1 a1 n1 s a n,a b a l a n s a n,a.ba.lan.san,abalansan
13,14,abalanzándose,72,0.155638,aBalansandose,VCVCVCCVCCVCV,4,1,0.004323,,a b a l a n s1 a1 n1 d o s e,a b a l a n s a n d o s e,a.ba.lan.san.do.se,abalansandose
14,15,abalanzarán,13,0.028101,aBalansaran,VCVCVCCVCVC,5,6,0.024859,,a b a l a n s a ɾ1 a1 n1,a b a l a n s a ɾ a n,a.ba.lan.sa.ɾan,abalansaɾan
15,16,abalanzarnos,18,0.03891,aBalansarnos,VCVCVCCVCCVC,4,1,0.01297,,a b a l a n s1 a1 ɾ1 n o s,a b a l a n s a ɾ n o s,a.ba.lan.saɾ.nos,abalansaɾnos
16,17,abalanzaron,43,0.092951,aBalansaron,VCVCVCCVCVC,4,3,0.015131,,a b a l a n s1 a1 ɾ o n,a b a l a n s a ɾ o n,a.ba.lan.sa.ɾon,abalansaɾon
17,18,abalanzarse,146,0.315599,aBalansarse,VCVCVCCVCCV,4,4,0.044854,,a b a l a n s1 a1 ɾ1 s e,a b a l a n s a ɾ s e,a.ba.lan.saɾ.se,abalansaɾse
18,19,abalanzarte,28,0.060526,aBalansarte,VCVCVCCVCCV,4,5,0.095544,,a b a l a n s1 a1 ɾ1 t e,a b a l a n s a ɾ t e,a.ba.lan.saɾ.te,abalansaɾte
19,20,abalanzas,33,0.071334,aBalansas,VCVCVCCVC,3,5,0.140507,,a b a l1 a1 n1 s a s,a b a l a n s a s,a.ba.lan.sas,abalansas
20,21,abalanzaste,20,0.043233,aBalansaste,VCVCVCCVCCV,4,1,0.060526,,a b a l a n s1 a1 s1 t e,a b a l a n s a s t e,a.ba.lan.sas.te,abalansaste
21,22,abalanzo,16,0.034586,aBalanso,VCVCVCCV,3,5,0.090357,,a b a l1 a1 n1 s o,a b a l a n s o,a.ba.lan.so,abalanso
22,23,abalanzó,203,0.438813,aBalanso,VCVCVCCV,4,5,0.090357,,a b a l a n s1 o1,a b a l a n s o,a.ba.lan.so,abalanso
23,24,abanderada,14,0.030263,aBanderaDa,VCVCCVCVCV,4,2,0.105921,,a b a n d e ɾ1 a1 d a,a b a n d e ɾ a d a,a.ban.de.ɾa.da,abandeɾada
24,25,abandona,3523,7.615458,aBandona,VCVCCVCV,3,8,7.479275,,a b a n d1 o1 n a,a b a n d o n a,a.ban.do.na,abandona
25,26,abandonaba,220,0.475561,aBandonaBa,VCVCCVCVCV,4,6,1.635281,,a b a n d o n1 a1 b a,a b a n d o n a b a,a.ban.do.na.ba,abandonaba
26,27,abandonaban,85,0.183739,aBandonaBan,VCVCCVCVCVC,4,4,0.370722,,a b a n d o n1 a1 b a n,a b a n d o n a b a n,a.ban.do.na.ban,abandonaban
27,28,abandonabas,20,0.043233,aBandonaBas,VCVCCVCVCVC,4,5,0.56462,,a b a n d o n1 a1 b a s,a b a n d o n a b a s,a.ban.do.na.bas,abandonabas
28,29,abandonad,171,0.36964,aBandonaD,VCVCCVCVC,4,6,10.929253,,a b a n d o n1 a1 d1,a b a n d o n a d,a.ban.do.nad,abandonad
29,30,abandonada,2958,6.394132,aBandonaDa,VCVCCVCVCV,4,8,3.203821,,a b a n d o n1 a1 d a,a b a n d o n a d a,a.ban.do.na.da,abandonada
30,31,abandonadas,504,1.089467,aBandonaDas,VCVCCVCVCVC,4,5,2.110193,,a b a n d o n1 a1 d a s,a b a n d o n a d a s,a.ban.do.na.das,abandonadas
31,32,abandonado,9484,20.500995,aBandonaDo,VCVCCVCVCV,4,5,1.99995,,a b a n d o n1 a1 d o,a b a n d o n a d o,a.ban.do.na.do,abandonado
32,33,abandonados,1406,3.039266,aBandonaDos,VCVCCVCVCVC,4,8,3.001167,,a b a n d o n1 a1 d o s,a b a n d o n a d o s,a.ban.do.na.dos,abandonados
33,34,abandónalo,87,0.188063,aBandonalo,VCVCCVCVCV,3,7,3.511121,,a b a n d1 o1 n a l o,a b a n d o n a l o,a.ban.do.na.lo,abandonalo
34,35,abandóname,87,0.188063,aBandoname,VCVCCVCVCV,3,8,0.867088,,a b a n d1 o1 n a m e,a b a n d o n a m e,a.ban.do.na.me,abandoname
35,36,abandonamos,981,2.120569,aBandonamos,VCVCCVCVCVC,4,6,0.676593,,a b a n d o n1 a1 m o s,a b a n d o n a m o s,a.ban.do.na.mos,abandonamos
36,37,abandonan,1240,2.680434,aBandonan,VCVCCVCVC,3,5,8.046922,,a b a n d1 o1 n a n,a b a n d o n a n,a.ban.do.nan,abandonan
37,38,abandonando,1242,2.684757,aBandonando,VCVCCVCVCCV,4,0,0.0,,a b a n d o n1 a1 n1 d o,a b a n d o n a n d o,a.ban.do.nan.do,abandonando
38,39,abandonándolo,32,0.069172,aBandonandolo,VCVCCVCVCCVCV,4,3,0.031704,,a b a n d o n1 a1 n1 d o l o,a b a n d o n a n d o l o,a.ban.do.nan.do.lo,abandonandolo
39,40,abandonándonos,23,0.049718,aBandonandonos,VCVCCVCVCCVCVC,4,1,0.03891,,a b a n d o n1 a1 n1 d o n o s,a b a n d o n a n d o n o s,a.ban.do.nan.do.nos,abandonandonos
40,41,abandonándote,22,0.047556,aBandonandote,VCVCCVCVCCVCV,4,3,0.064849,,a b a n d o n1 a1 n1 d o t e,a b a n d o n a n d o t e,a.ban.do.nan.do.te,abandonandote
41,42,abandonar,12030,26.004531,aBandonar,VCVCCVCVC,4,8,2.362402,,a b a n d o n1 a1 ɾ1,a b a n d o n a ɾ,a.ban.do.naɾ,abandonaɾ
42,43,abandonara,522,1.128376,aBandonara,VCVCCVCVCV,4,12,3.483123,,a b a n d o n1 a1 ɾ a,a b a n d o n a ɾ a,a.ban.do.na.ɾa,abandonaɾa
43,44,abandonará,922,1.993032,aBandonara,VCVCCVCVCV,5,12,3.483123,,a b a n d o n a ɾ1 a1,a b a n d o n a ɾ a,a.ban.do.na.ɾa,abandonaɾa
44,45,abandonáramos,45,0.097274,aBandonaramos,VCVCCVCVCVCVC,4,3,0.357391,,a b a n d o n1 a1 ɾ a m o s,a b a n d o n a ɾ a m o s,a.ban.do.na.ɾa.mos,abandonaɾamos
45,46,abandonaran,131,0.283175,aBandonaran,VCVCCVCVCVC,4,7,1.167903,,a b a n d o n1 a1 ɾ a n,a b a n d o n a ɾ a n,a.ban.do.na.ɾan,abandonaɾan
46,47,abandonarán,315,0.680917,aBandonaran,VCVCCVCVCVC,5,7,1.167903,,a b a n d o n a ɾ1 a1 n1,a b a n d o n a ɾ a n,a.ban.do.na.ɾan,abandonaɾan
47,48,abandonaras,151,0.326408,aBandonaras,VCVCCVCVCVC,4,11,0.575389,,a b a n d o n1 a1 ɾ a s,a b a n d o n a ɾ a s,a.ban.do.na.ɾas,abandonaɾas
48,49,abandonarás,346,0.747927,aBandonaras,VCVCCVCVCVC,5,11,0.575389,,a b a n d o n a ɾ1 a1 s1,a b a n d o n a ɾ a s,a.ban.do.na.ɾas,abandonaɾas
49,50,abandonaré,1218,2.632878,aBandonare,VCVCCVCVCV,5,12,3.09709,,a b a n d o n a ɾ1 e1,a b a n d o n a ɾ e,a.ban.do.na.ɾe,abandonaɾe
50,51,abandonaremos,447,0.966253,aBandonaremos,VCVCCVCVCVCVC,5,2,0.068092,,a b a n d o n a ɾ1 e1 m o s,a b a n d o n a ɾ e m o s,a.ban.do.na.ɾe.mos,abandonaɾemos
51,52,abandonaría,695,1.50234,aBandonaria,VCVCCVCVCVV,5,5,1.296552,,a b a n d o n a ɾ1 i1 a,a b a n d o n a ɾ i a,a.ban.do.na.ɾi.a,abandonaɾia
52,53,abandonaríamos,21,0.045394,aBandonariamos,VCVCCVCVCVVCVC,5,1,0.097274,,a b a n d o n a ɾ1 i1 a m o s,a b a n d o n a ɾ i a m o s,a.ban.do.na.ɾi.a.mos,abandonaɾiamos
53,54,abandonarían,88,0.190224,aBandonarian,VCVCCVCVCVVC,5,4,0.76414,,a b a n d o n a ɾ1 i1 a n,a b a n d o n a ɾ i a n,a.ban.do.na.ɾi.an,abandonaɾian
54,55,abandonarías,273,0.590128,aBandonarias,VCVCCVCVCVVC,5,6,0.517713,,a b a n d o n a ɾ1 i1 a s,a b a n d o n a ɾ i a s,a.ban.do.na.ɾi.as,abandonaɾias
55,56,abandonarla,1194,2.580998,aBandonarla,VCVCCVCVCCV,4,8,1.222137,,a b a n d o n1 a1 ɾ1 l a,a b a n d o n a ɾ l a,a.ban.do.naɾ.la,abandonaɾla
56,57,abandonarlas,146,0.315599,aBandonarlas,VCVCCVCVCCVC,4,6,1.008045,,a b a n d o n1 a1 ɾ1 l a s,a b a n d o n a ɾ l a s,a.ban.do.naɾ.las,abandonaɾlas
57,58,abandonarle,420,0.907889,aBandonarle,VCVCCVCVCCV,4,9,1.769663,,a b a n d o n1 a1 ɾ1 l e,a b a n d o n a ɾ l e,a.ban.do.naɾ.le,abandonaɾle
58,59,abandonarlo,1784,3.856366,aBandonarlo,VCVCCVCVCCV,4,5,1.052719,,a b a n d o n1 a1 ɾ1 l o,a b a n d o n a ɾ l o,a.ban.do.naɾ.lo,abandonaɾlo
59,60,abandonarlos,730,1.577997,aBandonarlos,VCVCCVCVCCVC,4,7,0.846436,,a b a n d o n1 a1 ɾ1 l o s,a b a n d o n a ɾ l o s,a.ban.do.naɾ.los,abandonaɾlos
60,61,abandonarme,1718,3.713698,aBandonarme,VCVCCVCVCCV,4,7,0.947725,,a b a n d o n1 a1 ɾ1 m e,a b a n d o n a ɾ m e,a.ban.do.naɾ.me,abandonaɾme
61,62,abandonarnos,585,1.264559,aBandonarnos,VCVCCVCVCCVC,4,3,0.595171,,a b a n d o n1 a1 ɾ1 n o s,a b a n d o n a ɾ n o s,a.ban.do.naɾ.nos,abandonaɾnos
62,63,abandonaron,1668,3.605616,aBandonaron,VCVCCVCVCVC,4,3,0.383331,,a b a n d o n1 a1 ɾ o n,a b a n d o n a ɾ o n,a.ban.do.na.ɾon,abandonaɾon
63,64,abandonaros,86,0.185901,aBandonaros,VCVCCVCVCVC,4,11,1.162962,,a b a n d o n1 a1 ɾ o s,a b a n d o n a ɾ o s,a.ban.do.na.ɾos,abandonaɾos
64,65,abandonarse,138,0.298306,aBandonarse,VCVCCVCVCCV,4,6,1.676352,,a b a n d o n1 a1 ɾ1 s e,a b a n d o n a ɾ s e,a.ban.do.naɾ.se,abandonaɾse
65,66,abandonarte,1152,2.490209,aBandonarte,VCVCCVCVCCV,4,7,1.736106,,a b a n d o n1 a1 ɾ1 t e,a b a n d o n a ɾ t e,a.ban.do.naɾ.te,abandonaɾte
66,67,abandonas,1101,2.379966,aBandonas,VCVCCVCVC,3,9,4.538003,,a b a n d1 o1 n a s,a b a n d o n a s,a.ban.do.nas,abandonas
67,68,abandonaste,1992,4.305987,aBandonaste,VCVCCVCVCCV,4,3,0.966253,,a b a n d o n1 a1 s1 t e,a b a n d o n a s t e,a.ban.do.nas.te,abandonaste
68,69,abandónate,90,0.194548,aBandonate,VCVCCVCVCV,3,7,1.422977,,a b a n d1 o1 n a t e,a b a n d o n a t e,a.ban.do.na.te,abandonate
69,70,abandone,2321,5.017167,aBandone,VCVCCVCV,3,5,6.972154,,a b a n d1 o1 n e,a b a n d o n e,a.ban.do.ne,abandone
70,71,abandoné,1748,3.778547,aBandone,VCVCCVCV,4,5,6.972154,,a b a n d o n1 e1,a b a n d o n e,a.ban.do.ne,abandone
71,72,abandonemos,336,0.726311,aBandonemos,VCVCCVCVCVC,4,3,0.712621,,a b a n d o n1 e1 m o s,a b a n d o n e m o s,a.ban.do.ne.mos,abandonemos
72,73,abandonen,1788,3.865013,aBandonen,VCVCCVCVC,3,4,3.813133,,a b a n d1 o1 n e n,a b a n d o n e n,a.ban.do.nen,abandonen
73,74,abandones,1747,3.776385,aBandones,VCVCCVCVC,3,7,2.212284,,a b a n d1 o1 n e s,a b a n d o n e s,a.ban.do.nes,abandones
74,75,abandono,2747,5.938025,aBandono,VCVCCVCV,3,4,4.126571,,a b a n d1 o1 n o,a b a n d o n o,a.ban.do.no,abandono
75,76,abandonó,6322,13.665889,aBandono,VCVCCVCV,4,4,4.126571,,a b a n d o n1 o1,a b a n d o n o,a.ban.do.no,abandono
76,77,abandonos,44,0.095112,aBandonos,VCVCCVCVC,3,12,2.208476,,a b a n d1 o1 n o s,a b a n d o n o s,a.ban.do.nos,abandonos
77,78,abanica,88,0.190224,aBanika,VCVCVCV,3,7,0.238398,,a b a n1 i1 k a,a b a n i k a,a.ba.ni.ka,abanika
78,79,abanícalo,8,0.017293,aBanikalo,VCVCVCVCV,3,5,0.017726,,a b a n1 i1 k a l o,a b a n i k a l o,a.ba.ni.ka.lo,abanikalo
79,80,abanícame,36,0.077819,aBanikame,VCVCVCVCV,3,4,0.016753,,a b a n1 i1 k a m e,a b a n i k a m e,a.ba.ni.ka.me,abanikame
80,81,abanican,10,0.021616,aBanikan,VCVCVCVC,3,4,0.075117,,a b a n1 i1 k a n,a b a n i k a n,a.ba.ni.kan,abanikan
81,82,abanicando,20,0.043233,aBanikando,VCVCVCVCCV,4,0,0.0,,a b a n i k1 a1 n1 d o,a b a n i k a n d o,a.ba.ni.kan.do,abanikando
82,83,abanicar,36,0.077819,aBanikar,VCVCVCVC,4,4,0.056203,,a b a n i k1 a1 ɾ1,a b a n i k a ɾ,a.ba.ni.kaɾ,abanikaɾ
83,84,abanicaste,4,0.008647,aBanikaste,VCVCVCVCCV,4,2,0.006485,,a b a n i k1 a1 s1 t e,a b a n i k a s t e,a.ba.ni.kas.te,abanikaste
84,85,abanico,707,1.52828,aBaniko,VCVCVCV,3,5,0.095544,,a b a n1 i1 k o,a b a n i k o,a.ba.ni.ko,abaniko
85,86,abanicos,127,0.274528,aBanikos,VCVCVCVC,3,4,0.397742,,a b a n1 i1 k o s,a b a n i k o s,a.ba.ni.kos,abanikos
86,87,abaniques,15,0.032425,aBanikes,VCVCVCVC,3,7,0.046321,,a b a n1 i1 k e s,a b a n i k e s,a.ba.ni.kes,abanikes
87,88,abaratas,6,0.01297,aBaratas,VCVCVCVC,3,4,0.02648,,a b a ɾ1 a1 t a s,a b a ɾ a t a s,a.ba.ɾa.tas,abaɾatas
88,89,abarató,7,0.015131,aBarato,VCVCVCV,4,3,4.973934,,a b a ɾ a t1 o1,a b a ɾ a t o,a.ba.ɾa.to,abaɾato
89,90,abarca,537,1.160801,aBarka,VCVCCV,2,10,0.218326,,a b1 a1 ɾ1 k a,a b a ɾ k a,a.baɾ.ka,abaɾka
90,91,abarcaba,40,0.086466,aBarkaBa,VCVCCVCV,3,5,0.028966,,a b a ɾ k1 a1 b a,a b a ɾ k a b a,a.baɾ.ka.ba,abaɾkaba
91,92,abarcado,26,0.056203,aBarkaDo,VCVCCVCV,3,4,0.590128,,a b a ɾ k1 a1 d o,a b a ɾ k a d o,a.baɾ.ka.do,abaɾkado
92,93,abarcando,79,0.17077,aBarkando,VCVCCVCCV,3,1,0.348024,,a b a ɾ k1 a1 n1 d o,a b a ɾ k a n d o,a.baɾ.kan.do,abaɾkando
93,94,abarcar,219,0.473399,aBarkar,VCVCCVC,3,7,0.560791,,a b a ɾ k1 a1 ɾ1,a b a ɾ k a ɾ,a.baɾ.kaɾ,abaɾkaɾ
94,95,abarcarán,4,0.008647,aBarkaran,VCVCCVCVC,4,7,0.01822,,a b a ɾ k a ɾ1 a1 n1,a b a ɾ k a ɾ a n,a.baɾ.ka.ɾan,abaɾkaɾan
95,96,abarcarlo,50,0.108082,aBarkarlo,VCVCCVCCV,3,3,0.057644,,a b a ɾ k1 a1 ɾ1 l o,a b a ɾ k a ɾ l o,a.baɾ.kaɾ.lo,abaɾkaɾlo
96,97,abarque,35,0.075657,aBarke,VCVCCV,2,7,0.297998,,a b1 a1 ɾ1 k e,a b a ɾ k e,a.baɾ.ke,abaɾke
97,98,abarrota,11,0.023778,aBaRota,VCVCVCV,3,5,0.031992,,a b a r1 o1 t a,a b a r o t a,a.ba.ro.ta,abarota
98,99,abarrotada,207,0.44746,aBaRotaDa,VCVCVCVCV,4,6,0.1841,,a b a r o t1 a1 d a,a b a r o t a d a,a.ba.ro.ta.da,abarotada
99,100,abarrotadas,86,0.185901,aBaRotaDas,VCVCVCVCVC,4,3,0.22409,,a b a r o t1 a1 d a s,a b a r o t a d a s,a.ba.ro.ta.das,abarotadas
100,101,abarrotado,387,0.836555,aBaRotaDo,VCVCVCVCV,4,3,0.268044,,a b a r o t1 a1 d o,a b a r o t a d o,a.ba.ro.ta.do,abarotado
101,102,abarrotar,22,0.047556,aBaRotar,VCVCVCVC,4,4,0.019995,,a b a r o t1 a1 ɾ1,a b a r o t a ɾ,a.ba.ro.taɾ,abarotaɾ
102,103,abarrotes,146,0.315599,aBaRotes,VCVCVCVC,3,2,0.004324,,a b a r1 o1 t e s,a b a r o t e s,a.ba.ro.tes,abarotes
103,104,abastece,180,0.389095,aBastese,VCVCCVCV,3,4,0.209679,,a b a s t1 e1 s e,a b a s t e s e,a.bas.te.se,abastese
104,105,abastecedor,57,0.123213,aBasteseDor,VCVCCVCVCVC,5,1,0.008647,,a b a s t e s e d1 o1 ɾ1,a b a s t e s e d o ɾ,a.bas.te.se.doɾ,abastesedoɾ
105,106,abastecedores,19,0.041071,aBasteseDores,VCVCCVCVCVCVC,5,0,0.0,,a b a s t e s e d1 o1 ɾ e s,a b a s t e s e d o ɾ e s,a.bas.te.se.do.ɾes,abastesedoɾes
106,107,abastecen,62,0.134022,aBastesen,VCVCCVCVC,3,3,0.359553,,a b a s t1 e1 s e n,a b a s t e s e n,a.bas.te.sen,abastesen
107,108,abastecer,314,0.678755,aBasteser,VCVCCVCVC,4,5,0.118025,,a b a s t e s1 e1 ɾ1,a b a s t e s e ɾ,a.bas.te.seɾ,abasteseɾ
108,109,abastecería,5,0.010808,aBasteseria,VCVCCVCVCVV,5,2,0.022697,,a b a s t e s e ɾ1 i1 a,a b a s t e s e ɾ i a,a.bas.te.se.ɾi.a,abasteseɾia
109,110,abastecernos,148,0.319923,aBastesernos,VCVCCVCVCCVC,4,2,0.045395,,a b a s t e s1 e1 ɾ1 n o s,a b a s t e s e ɾ n o s,a.bas.te.seɾ.nos,abasteseɾnos
110,111,abastecía,43,0.092951,aBastesia,VCVCCVCVV,4,5,0.030263,,a b a s t e s1 i1 a,a b a s t e s i a,a.bas.te.si.a,abastesia
111,112,abastecido,99,0.214002,aBastesiDo,VCVCCVCVCV,4,2,0.076738,,a b a s t e s1 i1 d o,a b a s t e s i d o,a.bas.te.si.do,abastesido
112,113,abasteciendo,62,0.134022,aBastesjendo,VCVCCVCVVCCV,4,0,0.0,,a b a s t e s1 i1 e1 n1 d o,a b a s t e s i e n d o,a.bas.te.sien.do,abastesiendo
113,114,abastecimiento,661,1.428844,aBastesimjento,VCVCCVCVCVVCCV,5,1,0.26372,,a b a s t e s i m1 j1 e1 n1 t o,a b a s t e s i m j e n t o,a.bas.te.si.mjen.to,abastesimjento
114,115,abastecimientos,122,0.26372,aBastesimjentos,VCVCCVCVCVVCCVC,5,1,1.428844,,a b a s t e s i m1 j1 e1 n1 t o s,a b a s t e s i m j e n t o s,a.bas.te.si.mjen.tos,abastesimjentos
115,116,abasteció,23,0.049718,aBastesjo,VCVCCVCVV,4,1,0.030263,,a b a s t e s1 i1 o1,a b a s t e s i o,a.bas.te.sio,abastesio
116,117,abaten,35,0.075657,aBaten,VCVCVC,2,6,0.156719,,a b1 a1 t e n,a b a t e n,a.ba.ten,abaten
117,118,abatí,17,0.036748,aBati,VCVCV,3,10,1.165772,,a b a t1 i1,a b a t i,a.ba.ti,abati
118,119,abatida,332,0.717665,aBatiDa,VCVCVCV,3,5,0.542572,,a b a t1 i1 d a,a b a t i d a,a.ba.ti.da,abatida
119,120,abatidas,25,0.054041,aBatiDas,VCVCVCVC,3,3,0.461871,,a b a t1 i1 d a s,a b a t i d a s,a.ba.ti.das,abatidas
120,121,abatido,1191,2.574513,aBatiDo,VCVCVCV,3,4,0.356131,,a b a t1 i1 d o,a b a t i d o,a.ba.ti.do,abatido
121,122,abatidos,307,0.663624,aBatiDos,VCVCVCVC,3,4,0.680917,,a b a t1 i1 d o s,a b a t i d o s,a.ba.ti.dos,abatidos
122,123,abatimiento,100,0.216164,aBatimjento,VCVCVCVVCCV,4,1,0.006485,,a b a t i m1 j1 e1 n1 t o,a b a t i m j e n t o,a.ba.ti.mjen.to,abatimjento
123,124,abatió,110,0.23778,aBatjo,VCVCVV,3,1,0.008647,,a b a t1 j1 o1,a b a t j o,a.ba.tjo,abatjo
124,125,abatir,174,0.376125,aBatir,VCVCVC,3,6,1.194306,,a b a t1 i1 ɾ1,a b a t i ɾ,a.ba.tiɾ,abatiɾ
125,126,abatirán,8,0.017293,aBatiran,VCVCVCVC,4,4,0.019455,,a b a t i ɾ1 a1 n1,a b a t i ɾ a n,a.ba.ti.ɾan,abatiɾan
126,127,abatiremos,13,0.028101,aBatiremos,VCVCVCVCVC,4,0,0.0,,a b a t i ɾ1 e1 m o s,a b a t i ɾ e m o s,a.ba.ti.ɾe.mos,abatiɾemos
127,128,abatirnos,26,0.056203,aBatirnos,VCVCVCCVC,3,1,0.095112,,a b a t1 i1 ɾ1 n o s,a b a t i ɾ n o s,a.ba.tiɾ.nos,abatiɾnos
128,129,abdica,25,0.054041,aBDika,VCCVCV,2,8,0.048367,,a b d1 i1 k a,a b d i k a,ab.di.ka,abdika
129,130,abdicación,63,0.136183,aBDikasjon,VCCVCVCVVC,4,0,0.0,,a b d i k a s1 i1 o1 n1,a b d i k a s i o n,ab.di.ka.sion,abdikasion
130,131,abdicado,53,0.114567,aBDikaDo,VCCVCVCV,3,1,0.010808,,a b d i k1 a1 d o,a b d i k a d o,ab.di.ka.do,abdikado
131,132,abdicar,113,0.244265,aBDikar,VCCVCVC,3,7,0.01822,,a b d i k1 a1 ɾ1,a b d i k a ɾ,ab.di.kaɾ,abdikaɾ
132,133,abdico,11,0.023778,aBDiko,VCCVCV,2,3,0.031704,,a b d1 i1 k o,a b d i k o,ab.di.ko,abdiko
133,134,abdomen,1749,3.780709,aBDomen,VCCVCVC,2,0,0.0,,a b d1 o1 m e n,a b d o m e n,ab.do.men,abdomen
134,135,abdómenes,27,0.058364,aBDomenes,VCCVCVCVC,2,0,0.0,,a b d1 o1 m e n e s,a b d o m e n e s,ab.do.me.nes,abdomenes
135,136,abdominal,1245,2.691242,aBDominal,VCCVCVCVC,4,0,0.0,,a b d o m i n1 a1 l1,a b d o m i n a l,ab.do.mi.nal,abdominal
136,137,abdominales,1165,2.518311,aBDominales,VCCVCVCVCVC,4,0,0.0,,a b d o m i n1 a1 l e s,a b d o m i n a l e s,ab.do.mi.na.les,abdominales
137,138,abdominoplastia,24,0.051879,aBDominoplastja,VCCVCVCVCCVCCVV,5,0,0.0,,a b d o m i n o p1 l1 a1 s1 t j a,a b d o m i n o p l a s t j a,ab.do.mi.no.plas.tja,abdominoplastja
138,139,abducción,231,0.499339,aBDuksjon,VCCVCCVVC,3,1,0.004323,,a b d u k s1 i1 o1 n1,a b d u k s i o n,ab.duk.sion,abduksion
139,140,abducciones,136,0.293983,aBDuksjones,VCCVCCVVCVC,3,0,0.0,,a b d u k s1 i1 o1 n e s,a b d u k s i o n e s,ab.duk.sio.nes,abduksiones
140,141,abducida,105,0.226972,aBDusiDa,VCCVCVCV,3,3,0.182298,,a b d u s1 i1 d a,a b d u s i d a,ab.du.si.da,abdusida
141,142,abducidas,10,0.021616,aBDusiDas,VCCVCVCVC,3,2,0.246427,,a b d u s1 i1 d a s,a b d u s i d a s,ab.du.si.das,abdusidas
142,143,abducido,238,0.51447,aBDusiDo,VCCVCVCV,3,3,0.165005,,a b d u s1 i1 d o,a b d u s i d o,ab.du.si.do,abdusido
143,144,abducidos,123,0.265882,aBDusiDos,VCCVCVCVC,3,3,0.179416,,a b d u s1 i1 d o s,a b d u s i d o s,ab.du.si.dos,abdusidos
144,145,abdujeron,33,0.071334,aBDuxeron,VCCVCVCVC,3,1,0.019455,,a b d u x1 e1 ɾ o n,a b d u x e ɾ o n,ab.du.xe.ɾon,abduxeɾon
145,146,abdujo,31,0.067011,aBDuxo,VCCVCV,2,1,0.036748,,a b d1 u1 x o,a b d u x o,ab.du.xo,abduxo
146,147,abecedario,185,0.399903,aBeseDarjo,VCVCVCVCVV,4,1,0.006485,,a b e s e d1 a1 ɾ j o,a b e s e d a ɾ j o,a.be.se.da.ɾjo,abesedaɾjo
147,148,abedul,167,0.360994,aBeDul,VCVCVC,3,0,0.0,,a b e d1 u1 l1,a b e d u l,a.be.dul,abedul
148,149,abedules,125,0.270205,aBeDules,VCVCVCVC,3,0,0.0,,a b e d1 u1 l e s,a b e d u l e s,a.be.du.les,abedules
149,150,abeja,2936,6.346575,aBexa,VCVCV,2,13,1.949633,,a b1 e1 x a,a b e x a,a.be.xa,abexa
150,151,abejas,3800,8.214232,aBexas,VCVCVC,2,9,2.263958,,a b1 e1 x a s,a b e x a s,a.be.xas,abexas
151,152,abejita,213,0.460429,aBexita,VCVCVCV,3,2,0.224811,,a b e x1 i1 t a,a b e x i t a,a.be.xi.ta,abexita
152,153,abejitas,77,0.166446,aBexitas,VCVCVCVC,3,2,0.325326,,a b e x1 i1 t a s,a b e x i t a s,a.be.xi.tas,abexitas
153,154,abejorro,385,0.832231,aBexoRo,VCVCVCV,3,1,0.153476,,a b e x1 o1 r o,a b e x o r o,a.be.xo.ro,abexoro
154,155,abejorros,71,0.153476,aBexoRos,VCVCVCVC,3,1,0.832231,,a b e x1 o1 r o s,a b e x o r o s,a.be.xo.ros,abexoros
155,156,abelardo,121,0.261558,aBelarDo,VCVCVCCV,3,1,0.004323,,a b e l1 a1 ɾ1 d o,a b e l a ɾ d o,a.be.laɾ.do,abelaɾdo
