"...1","word","Orthography","bucket_q","uni_prob","bi_prob_smoothed","group","filename","display","randomise_trials"
NA,NA,NA,NA,NA,NA,NA,NA,"Prompt",NA
7,"p i r1 u1","pirú","uni1-bi1",-17.52613861,-20.29256086,8,"p_i_r1_u1.mp3","Task",1
15,"t͡ʃ1 o1 r i","chorri","uni1-bi1",-18.45588561,-20.26324956,8,"t͡ʃ1_o1_r_i.mp3","Task",1
23,"ɲ o u1 i1","ñohuí","uni1-bi1",-17.43514782,-28.1969997,8,"ɲ_o_u1_i1.mp3","Task",1
31,"t͡ʃ1 e1 i u","cheyu","uni1-bi1",-17.44911125,-24.29415539,8,"t͡ʃ1_e1_i_u.mp3","Task",1
39,"t͡ʃ1 o1 t͡ʃ e","choche","uni1-bi2",-19.37930217,-16.70640065,8,"t͡ʃ1_o1_t͡ʃ_e.mp3","Task",1
47,"d u f1 u1","dufú","uni1-bi2",-18.01471898,-18.72739247,8,"d_u_f1_u1.mp3","Task",1
55,"t͡ʃ u s1 a1","chusá","uni1-bi2",-17.39119375,-17.47606431,8,"t͡ʃ_u_s1_a1.mp3","Task",1
63,"t u ɲ1 o1","tuñó","uni1-bi2",-18.65963271,-16.68932969,8,"t_u_ɲ1_o1.mp3","Task",1
71,"f u ɲ1 e1","fuñé","uni1-bi2",-20.00218175,-17.08834184,8,"f_u_ɲ1_e1.mp3","Task",1
79,"f u t͡ʃ1 e1","fuché","uni1-bi3",-19.48182089,-15.34896751,8,"f_u_t͡ʃ1_e1.mp3","Task",1
87,"f u r1 a1","furrá","uni1-bi3",-18.36616537,-16.21868219,8,"f_u_r1_a1.mp3","Task",1
95,"g u ɲ1 o1","guñó","uni1-bi3",-20.23539296,-16.14392515,8,"g_u_ɲ1_o1.mp3","Task",1
103,"t͡ʃ1 e1 ɲ o","cheño","uni1-bi3",-19.70392428,-15.58869126,8,"t͡ʃ1_e1_ɲ_o.mp3","Task",1
111,"r1 o1 t͡ʃ a","rocha","uni1-bi4",-18.68836628,-14.33152415,8,"r1_o1_t͡ʃ_a.mp3","Task",1
119,"k1 u1 t͡ʃ a","cucha","uni1-bi4",-17.92044284,-11.82140476,8,"k1_u1_t͡ʃ_a.mp3","Task",1
127,"r1 a1 ɲ o","raño","uni1-bi4",-18.58826876,-13.4797642,8,"r1_a1_ɲ_o.mp3","Task",1
135,"f1 e1 t͡ʃ o","fecho","uni1-bi4",-18.22994714,-14.25159456,8,"f1_e1_t͡ʃ_o.mp3","Task",1
143,"k u t͡ʃ1 o1","cuchó","uni1-bi4",-18.38208372,-12.75945654,8,"k_u_t͡ʃ1_o1.mp3","Task",1
151,"g1 e1 i u","gueyu","uni2-bi1",-16.09261594,-24.22078231,8,"g1_e1_i_u.mp3","Task",1
159,"n1 i1 r u","niru","uni2-bi1",-15.94859513,-26.01571559,8,"n1_i1_r_u.mp3","Task",1
167,"u1 o1 l u","huolu","uni2-bi1",-16.38573773,-25.38532776,8,"u1_o1_l_u.mp3","Task",1
175,"u1 o1 d u","huodu","uni2-bi1",-16.19165963,-26.11905335,8,"u1_o1_d_u.mp3","Task",1
183,"ɲ1 i1 t a","ñita","uni2-bi2",-16.17385007,-18.72256173,8,"ɲ1_i1_t_a.mp3","Task",1
191,"t͡ʃ1 e1 p o","chepo","uni2-bi2",-16.62142576,-17.48686381,8,"t͡ʃ1_e1_p_o.mp3","Task",1
199,"ɲ1 i1 t o","ñito","uni2-bi2",-16.36752353,-18.75291423,8,"ɲ1_i1_t_o.mp3","Task",1
207,"p1 i1 x i","pigi","uni2-bi2",-16.6203118,-16.7067625,8,"p1_i1_x_i.mp3","Task",1
215,"l i r1 a1","lirá","uni2-bi2",-15.77251457,-18.7419917,8,"l_i_r1_a1.mp3","Task",1
223,"t͡ʃ1 u1 s a","chusa","uni2-bi3",-16.19921046,-15.96109641,8,"t͡ʃ1_u1_s_a.mp3","Task",1
231,"f1 a1 f e","fafe","uni2-bi3",-16.4047524,-16.25194222,8,"f1_a1_f_e.mp3","Task",1
239,"t͡ʃ a b1 e1","chabé","uni2-bi3",-16.83677241,-15.06654254,8,"t͡ʃ_a_b1_e1.mp3","Task",1
247,"p o f1 e1","pofé","uni2-bi3",-15.78280806,-15.64188321,8,"p_o_f1_e1.mp3","Task",1
255,"t͡ʃ1 a1 l a","chala","uni2-bi4",-15.73908032,-13.57671019,8,"t͡ʃ1_a1_l_a.mp3","Task",1
263,"f1 u1 d o","fudo","uni2-bi4",-16.39466126,-11.90092773,8,"f1_u1_d_o.mp3","Task",1
271,"p1 o1 x a","poja","uni2-bi4",-16.57292473,-12.39943849,8,"p1_o1_x_a.mp3","Task",1
279,"t͡ʃ1 a1 b e","chabe","uni2-bi4",-16.01760263,-12.98556493,8,"t͡ʃ1_a1_b_e.mp3","Task",1
287,"p1 o1 r e","porre","uni2-bi4",-15.99512295,-12.37445773,8,"p1_o1_r_e.mp3","Task",1
295,"n1 o1 i u","noyu","uni3-bi1",-15.01905881,-24.57239831,8,"n1_o1_i_u.mp3","Task",1
303,"n1 o1 u i","nohui","uni3-bi1",-15.01905881,-25.4921331,8,"n1_o1_u_i.mp3","Task",1
311,"m1 a1 u o","mahuo","uni3-bi1",-14.6058707,-19.81548886,8,"m1_a1_u_o.mp3","Task",1
319,"u e u1 o1","huehuó","uni3-bi1",-15.13787932,-25.19604828,8,"u_e_u1_o1.mp3","Task",1
327,"b a n1 u1","vanú","uni3-bi2",-14.57774268,-17.88890012,8,"b_a_n1_u1.mp3","Task",1
335,"g1 a1 n i","gani","uni3-bi2",-14.61455273,-17.08230473,8,"g1_a1_n_i.mp3","Task",1
343,"n a p1 u1","napú","uni3-bi2",-14.99995708,-18.72347911,8,"n_a_p1_u1.mp3","Task",1
351,"u e p1 o1","huepó","uni3-bi2",-15.48782778,-18.7269367,8,"u_e_p1_o1.mp3","Task",1
359,"i e t͡ʃ1 i1","llechí","uni3-bi2",-15.46773939,-17.92431307,8,"i_e_t͡ʃ1_i1.mp3","Task",1
367,"t1 e1 g e","tegue","uni3-bi3",-14.77945784,-14.76388734,8,"t1_e1_g_e.mp3","Task",1
375,"f o m1 a1","fomá","uni3-bi3",-15.54428770847592,-15.309265036706895,8,"f_o_m1_a1.mp3","Task",1
383,"f1 o1 i e","foye","uni3-bi3",-15.30117317,-16.24499833,8,"f1_o1_i_e.mp3","Task",1
391,"b1 e1 p o","bepo","uni3-bi3",-14.58330678,-15.02511923,8,"b1_e1_p_o.mp3","Task",1
399,"b i k1 e1","biqué","uni3-bi4",-15.1423602,-14.0607263,8,"b_i_k1_e1.mp3","Task",1
407,"r1 i1 d o","rido","uni3-bi4",-15.30975032,-10.94281358,8,"r1_i1_d_o.mp3","Task",1
415,"d o b1 o1","dobó","uni3-bi4",-14.62968711,-12.64423394,8,"d_o_b1_o1.mp3","Task",1
423,"t1 i1 g o","tigo","uni3-bi4",-14.79562742,-12.63881165,8,"t1_i1_g_o.mp3","Task",1
431,"r1 a1 d o","rado","uni3-bi4",-15.05267138,-9.888493929,8,"r1_a1_d_o.mp3","Task",1
439,"n o u1 o1","nohuó","uni4-bi1",-14.2782092,-24.21809581,8,"n_o_u1_o1.mp3","Task",1
447,"u o ɾ1 a1","huorá","uni4-bi1",-13.10215256,-19.53069846,8,"u_o_ɾ1_a1.mp3","Task",1
455,"i o u1 o1","yohuó","uni4-bi1",-14.23232855,-22.74723947,8,"i_o_u1_o1.mp3","Task",1
463,"s a u1 o1","sahuó","uni4-bi1",-13.53753342,-21.52006488,8,"s_a_u1_o1.mp3","Task",1
471,"n e i1 a1","neyá","uni4-bi2",-11.92281259,-18.61380414,8,"n_e_i1_a1.mp3","Task",1
479,"s e u1 a1","sehuá","uni4-bi2",-12.61333459,-18.65614407,8,"s_e_u1_a1.mp3","Task",1
487,"d1 e1 n i","deni","uni4-bi2",-14.14996954,-17.53987091,8,"d1_e1_n_i.mp3","Task",1
495,"n o n1 i1","noní","uni4-bi2",-12.77283027,-17.46134626,8,"n_o_n1_i1.mp3","Task",1
503,"s o i1 a1","soyá","uni4-bi2",-11.56455212,-17.48260667,8,"s_o_i1_a1.mp3","Task",1
511,"i a n1 e1","llané","uni4-bi3",-12.70584845,-15.41004411,8,"i_a_n1_e1.mp3","Task",1
519,"s u s1 a1","susá","uni4-bi3",-13.65056077,-14.67833794,8,"s_u_s1_a1.mp3","Task",1
527,"n1 i1 m e","nime","uni4-bi3",-13.10444996,-14.99705006,8,"n1_i1_m_e.mp3","Task",1
535,"n i ɾ1 a1","nirá","uni4-bi3",-12.579505667676546,-16.199082403511937,8,"n_i_ɾ1_a1.mp3","Task",1
543,"s1 a1 s e","sase","uni4-bi4",-11.84176119,-13.11619152,8,"s1_a1_s_e.mp3","Task",1
551,"t1 a1 d a","tada","uni4-bi4",-12.91770672,-10.14321718,8,"t1_a1_d_a.mp3","Task",1
559,"m1 a1 ɾ o","maro","uni4-bi4",-13.67941956,-11.09929816,8,"m1_a1_ɾ_o.mp3","Task",1
567,"t1 a1 d e","tade","uni4-bi4",-12.92263831,-9.949959337,8,"t1_a1_d_e.mp3","Task",1
575,"t1 a1 ɾ e","tare","uni4-bi4",-12.75120644,-11.18552923,8,"t1_a1_ɾ_e.mp3","Task",1
