word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
p a p1 i1,4,-14.508924306923735,-14.347055534735329,-14.604507807112185,-14.075483081917286,-14.632528915696728,-14.095667579631346,1.2496695219244895,1.2435492637193775,1.2494297301477777,1.2433962643409795,1.018863584101473,1.0185910805963783,1.0178127153677008,1.0178919039467988
p1 a1 p u,4,-16.065576531545247,-16.039867656747777,-19.95348551404866,-19.35306388238493,-19.828573518620633,-19.280309812830268,1.1007309582535532,1.1155208949419353,1.1007225757584629,1.1155005222754266,1.0063337273930084,1.0080861975562652,1.0060498057687277,1.0078222019292586
p a p1 u1,4,-15.746448645420902,-15.448419731105666,-15.878323375471172,-15.172949922794785,-15.875125228820998,-15.183414451376436,1.206456640441621,1.195312222659517,1.206284704537429,1.1952103415112962,1.017665306625345,1.017348910448519,1.0166886857214188,1.0167027189690776
p1 a1 p e,4,-14.25677695464037,-14.141366661180744,-13.475671312497589,-12.778331157072039,-13.497744531489994,-12.794621043283875,1.1744624692065584,1.1889562168648773,1.1743383083639887,1.1888580225988943,1.0125872379715517,1.0140622301063482,1.0119158354852613,1.0135433248745955
p a p1 e1,4,-14.681496588406791,-14.427991753867015,-13.365726661015678,-13.356819761526726,-13.399090351681165,-13.378458933725845,1.2358893309490167,1.2305919042882063,1.2356711777867653,1.230452636209808,1.0184516762190539,1.018902301700978,1.0174263301767914,1.0181898498143416
p1 a1 p o,4,-14.445518816787242,-14.318033430800272,-13.733779186885844,-12.927307699164702,-13.75529488061102,-12.9432882166155,1.1370537442486852,1.1600747984286874,1.1369883251883055,1.1600072106626684,1.0082060359494585,1.0102378204949998,1.0078061020910432,1.0098820466943839
p a p1 o1,4,-15.180975777996084,-15.024634669856379,-12.751869488469524,-12.695601536656739,-12.789708095998378,-12.720516155784331,1.2110250733193593,1.20132957902002,1.210845963744069,1.201221321099909,1.0186389070746988,1.018538169188118,1.017601959809023,1.0178412494918019
p a t1 a1,4,-13.370805581155533,-13.417516804676755,-12.579913907998675,-12.56875352938962,-12.601119297932504,-12.584214850371659,1.2727677544681233,1.2669499383005227,1.2724919337845486,1.2667725648312251,1.0268735229110915,1.0279912301992291,1.0253286981128138,1.026894579480961
p1 a1 t i,4,-14.369593098221102,-14.279401449710612,-15.928917034495266,-15.58377881166285,-15.951507327996804,-15.59880908162766,1.159558563175003,1.171108142207859,1.1594581542332236,1.1710293945747916,1.01145232496743,1.0125173304901838,1.0108519069741349,1.0120657497626777
p a t1 i1,4,-13.627884524520379,-13.607585020702258,-13.62319872777547,-13.207826193773574,-13.641367966112288,-13.222828404615004,1.2631815346590989,1.259585952528399,1.2629207669247138,1.259416382894317,1.0248139834989962,1.0245056072483902,1.0233967721582666,1.0235576369064834
p1 a1 t u,4,-15.463885725744696,-15.404486279628918,-18.88544270414388,-18.186832399771934,-18.770037576586493,-18.119993253404537,1.1202400834895507,1.1356468603746648,1.1202014151596826,1.1356056921189244,1.008718754475013,1.01174632645432,1.008287714343554,1.0113276331537802
p a t1 u1,4,-14.865408863017546,-14.708949217072597,-15.50660018937916,-15.12221718262403,-15.49352627294249,-15.126480139311212,1.2199686531762304,1.2113489114685385,1.219775741314365,1.2112304600646338,1.0225672132312562,1.022546263752744,1.021289216571488,1.0216818698425
p1 a1 t e,4,-13.65508614883982,-13.505985284061886,-11.613657370722521,-11.070806295214695,-11.644597437386988,-11.091291392020818,1.193971594442556,1.2090821822976068,1.1938171477652084,1.208963192442392,1.0221993760814536,1.0235357558729592,1.0209330478642258,1.0226141806406188
p a t1 e1,4,-13.800456806003435,-13.688521239833944,-12.623010043934219,-12.73943891620551,-12.646690304049981,-12.755838581472581,1.249401343683626,1.2466285930972278,1.2491622145637014,1.2464727547631456,1.0254880145793184,1.0254647991231494,1.0240290388343003,1.0244759141410322
p a t1 o1,4,-14.299935995592728,-14.285164155823306,-12.316056446468433,-12.358484585707611,-12.343432480914762,-12.377707226070767,1.2245370860539686,1.2173662678290416,1.224337000521005,1.2172414396532465,1.022192751519966,1.0222030153985078,1.020937957307025,1.021353262858031
p1 a1 k a,4,-13.892966427054173,-13.840546764063271,-12.764447441432978,-12.184577463043425,-12.79023409032925,-12.202361895645756,1.1767437454562975,1.198382238406044,1.1766161810719384,1.198274343255116,1.0143037844292813,1.0158071282772476,1.0135263647666686,1.0152144754343806
