Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-xe3o,randomiser-mhmr,branch-632j,randomiser-ydsz,randomiser-dv67,randomiser-4jvp,randomiser-whjp,randomiser-8x67,randomiser-wkma,randomiser-dxqf,randomiser-ibiw,branch-tihy,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
1,1696884094771,09/10/2023 20:41:34,1696884093676,-4,09/10/2023 16:41:33,121155,36,task-gbnv,,32120960,BLIND,9498009,,complete,,652464dd22b1779f67503559,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x783,,,,Audio Check,8,SoundCheckPassed,3,test passed,,,6,,,,,,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1696884102172,09/10/2023 20:41:42,1696884100944,-4,09/10/2023 16:41:40,121155,36,task-gbnv,,32120960,BLIND,9498009,,complete,,652464dd22b1779f67503559,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x783,,,,Audio Check,8,SoundCheckPassed,3,test passed,,,6,,,,,,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,7226.300000000279,,,,,0,1,0,,,,,,Instructions,
3,1696884104809,09/10/2023 20:41:44,1696884103264,-4,09/10/2023 16:41:43,121155,36,task-gbnv,,32120960,BLIND,9498009,,complete,,652464dd22b1779f67503559,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x783,,,,Audio Check,8,SoundCheckPassed,3,test passed,,,6,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,2312.7000000001863,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Audio Check,cura
4,1696884107451,09/10/2023 20:41:47,1696884106412,-4,09/10/2023 16:41:46,121155,36,task-gbnv,,32120960,BLIND,9498009,,complete,,652464dd22b1779f67503559,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x783,,,,Audio Check,8,SoundCheckPassed,3,test passed,,,6,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,5460.700000000186,,,AUDIO PLAY REQUESTED,2,0,1,0,,,,,,Audio Check,cura
5,1696884109263,09/10/2023 20:41:49,1696884108048,-4,09/10/2023 16:41:48,121155,36,task-gbnv,,32120960,BLIND,9498009,,complete,,652464dd22b1779f67503559,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x783,,,,Audio Check,8,SoundCheckPassed,3,test passed,,,6,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_rating_scale_likert_active,7094.600000000093,,,cura,1,1,0,0,,,,,,Audio Check,cura
6,1696884110849,09/10/2023 20:41:50,1696884109610,-4,09/10/2023 16:41:49,121155,36,task-gbnv,,32120960,BLIND,9498009,,complete,,652464dd22b1779f67503559,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x783,,,,Audio Check,8,SoundCheckPassed,3,test passed,,,6,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,3,Correct,advancementZone,continue_button,1553.7000000001863,,,,,0,1,0,,,,,,Audio Check,cura
7,1696884111015,09/10/2023 20:41:51,1696884109612,-4,09/10/2023 16:41:49,121155,36,task-gbnv,,32120960,BLIND,9498009,,complete,,652464dd22b1779f67503559,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x783,,,,Audio Check,8,SoundCheckPassed,3,test passed,,,6,,,,,,yes,Spreadsheet1,,,END TASK,,,,,15936,,,,,0,1,0,,,,,,,
1,1696886204843,09/10/2023 21:16:44,1696886202475,-7,09/10/2023 14:16:42,121155,36,task-gbnv,,32121464,BLIND,9498219,,live,,65246ca43015fea7f0b82108,computer,Desktop or Laptop,Windows 10,Firefox 118.0,896x504,896x415,,,,Audio Check,8,SoundCheckPassed,1,test passed,6,,,,,,,,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1696886249530,09/10/2023 21:17:29,1696886247202,-7,09/10/2023 14:17:27,121155,36,task-gbnv,,32121464,BLIND,9498219,,live,,65246ca43015fea7f0b82108,computer,Desktop or Laptop,Windows 10,Firefox 118.0,896x504,896x415,,,,Audio Check,8,SoundCheckPassed,1,test passed,6,,,,,,,,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,44680,,,,,0,1,0,,,,,,Instructions,
3,1696886252681,09/10/2023 21:17:32,1696886250358,-7,09/10/2023 14:17:30,121155,36,task-gbnv,,32121464,BLIND,9498219,,live,,65246ca43015fea7f0b82108,computer,Desktop or Laptop,Windows 10,Firefox 118.0,896x504,896x415,,,,Audio Check,8,SoundCheckPassed,1,test passed,6,,,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,3135,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Audio Check,cura
4,1696886256480,09/10/2023 21:17:36,1696886252903,-7,09/10/2023 14:17:32,121155,36,task-gbnv,,32121464,BLIND,9498219,,live,,65246ca43015fea7f0b82108,computer,Desktop or Laptop,Windows 10,Firefox 118.0,896x504,896x415,,,,Audio Check,8,SoundCheckPassed,1,test passed,6,,,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,5680,,,AUDIO PLAY REQUESTED,2,0,1,0,,,,,,Audio Check,cura
5,1696886256755,09/10/2023 21:17:36,1696886254296,-7,09/10/2023 14:17:34,121155,36,task-gbnv,,32121464,BLIND,9498219,,live,,65246ca43015fea7f0b82108,computer,Desktop or Laptop,Windows 10,Firefox 118.0,896x504,896x415,,,,Audio Check,8,SoundCheckPassed,1,test passed,6,,,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_rating_scale_likert_active,7073,,,cura,1,1,0,0,,,,,,Audio Check,cura
6,1696886260425,09/10/2023 21:17:40,1696886257479,-7,09/10/2023 14:17:37,121155,36,task-gbnv,,32121464,BLIND,9498219,,live,,65246ca43015fea7f0b82108,computer,Desktop or Laptop,Windows 10,Firefox 118.0,896x504,896x415,,,,Audio Check,8,SoundCheckPassed,1,test passed,6,,,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,3,Correct,advancementZone,continue_button,3177,,,,,0,1,0,,,,,,Audio Check,cura
7,1696886260663,09/10/2023 21:17:40,1696886257486,-7,09/10/2023 14:17:37,121155,36,task-gbnv,,32121464,BLIND,9498219,,live,,65246ca43015fea7f0b82108,computer,Desktop or Laptop,Windows 10,Firefox 118.0,896x504,896x415,,,,Audio Check,8,SoundCheckPassed,1,test passed,6,,,,,,,,yes,Spreadsheet1,,,END TASK,,,,,55011,,,,,0,1,0,,,,,,,
1,1696886506573,09/10/2023 21:21:46,1696886506407,-5,09/10/2023 16:21:46,121155,36,task-gbnv,,32121569,BLIND,9498240,,complete,,65246dd79dce2c17c3151e3f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1728x1117,1725x932,,,,Audio Check,8,SoundCheckPassed,4,test passed,,,,5,,,,,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1696886515509,09/10/2023 21:21:55,1696886515384,-5,09/10/2023 16:21:55,121155,36,task-gbnv,,32121569,BLIND,9498240,,complete,,65246dd79dce2c17c3151e3f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1728x1117,1725x932,,,,Audio Check,8,SoundCheckPassed,4,test passed,,,,5,,,,,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,8965.5,,,,,0,1,0,,,,,,Instructions,
3,1696886526442,09/10/2023 21:22:06,1696886526316,-5,09/10/2023 16:22:06,121155,36,task-gbnv,,32121569,BLIND,9498240,,complete,,65246dd79dce2c17c3151e3f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1728x1117,1725x932,,,,Audio Check,8,SoundCheckPassed,4,test passed,,,,5,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,10928.699999809265,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Audio Check,cura
4,1696886529104,09/10/2023 21:22:09,1696886528990,-5,09/10/2023 16:22:08,121155,36,task-gbnv,,32121569,BLIND,9498240,,complete,,65246dd79dce2c17c3151e3f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1728x1117,1725x932,,,,Audio Check,8,SoundCheckPassed,4,test passed,,,,5,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,13602.699999809265,,,AUDIO PLAY REQUESTED,2,0,1,0,,,,,,Audio Check,cura
5,1696886530127,09/10/2023 21:22:10,1696886530024,-5,09/10/2023 16:22:10,121155,36,task-gbnv,,32121569,BLIND,9498240,,complete,,65246dd79dce2c17c3151e3f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1728x1117,1725x932,,,,Audio Check,8,SoundCheckPassed,4,test passed,,,,5,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_rating_scale_likert_active,14636.299999713898,,,cura,1,1,0,0,,,,,,Audio Check,cura
6,1696886531999,09/10/2023 21:22:11,1696886531886,-5,09/10/2023 16:22:11,121155,36,task-gbnv,,32121569,BLIND,9498240,,complete,,65246dd79dce2c17c3151e3f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1728x1117,1725x932,,,,Audio Check,8,SoundCheckPassed,4,test passed,,,,5,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,3,Correct,advancementZone,continue_button,1860.2000002861023,,,,,0,1,0,,,,,,Audio Check,cura
7,1696886532138,09/10/2023 21:22:12,1696886531888,-5,09/10/2023 16:22:11,121155,36,task-gbnv,,32121569,BLIND,9498240,,complete,,65246dd79dce2c17c3151e3f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1728x1117,1725x932,,,,Audio Check,8,SoundCheckPassed,4,test passed,,,,5,,,,,yes,Spreadsheet1,,,END TASK,,,,,25481,,,,,0,1,0,,,,,,,
1,1696886680853,09/10/2023 21:24:40,1696886680707,-4,09/10/2023 17:24:40,121155,36,task-gbnv,,32121632,BLIND,9498264,,complete,,65246ea5c5b88f20469ea226,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 101.0.0.0,1512x982,1452x858,,,,Audio Check,8,SoundCheckPassed,5,test passed,,,,,7,,,,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1696886747927,09/10/2023 21:25:47,1696886747807,-4,09/10/2023 17:25:47,121155,36,task-gbnv,,32121632,BLIND,9498264,,complete,,65246ea5c5b88f20469ea226,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 101.0.0.0,1512x982,1452x858,,,,Audio Check,8,SoundCheckPassed,5,test passed,,,,,7,,,,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,67078.5,,,,,0,1,0,,,,,,Instructions,
3,1696886751207,09/10/2023 21:25:51,1696886751080,-4,09/10/2023 17:25:51,121155,36,task-gbnv,,32121632,BLIND,9498264,,complete,,65246ea5c5b88f20469ea226,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 101.0.0.0,1512x982,1452x858,,,,Audio Check,8,SoundCheckPassed,5,test passed,,,,,7,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,3266.800000011921,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Audio Check,cura
4,1696886752380,09/10/2023 21:25:52,1696886752273,-4,09/10/2023 17:25:52,121155,36,task-gbnv,,32121632,BLIND,9498264,,complete,,65246ea5c5b88f20469ea226,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 101.0.0.0,1512x982,1452x858,,,,Audio Check,8,SoundCheckPassed,5,test passed,,,,,7,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,4460.600000008941,,,AUDIO PLAY REQUESTED,2,0,1,0,,,,,,Audio Check,cura
5,1696886755748,09/10/2023 21:25:55,1696886755647,-4,09/10/2023 17:25:55,121155,36,task-gbnv,,32121632,BLIND,9498264,,complete,,65246ea5c5b88f20469ea226,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 101.0.0.0,1512x982,1452x858,,,,Audio Check,8,SoundCheckPassed,5,test passed,,,,,7,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_rating_scale_likert_active,7834.100000008941,,,cura,1,1,0,0,,,,,,Audio Check,cura
6,1696886759700,09/10/2023 21:25:59,1696886759590,-4,09/10/2023 17:25:59,121155,36,task-gbnv,,32121632,BLIND,9498264,,complete,,65246ea5c5b88f20469ea226,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 101.0.0.0,1512x982,1452x858,,,,Audio Check,8,SoundCheckPassed,5,test passed,,,,,7,,,,yes,Spreadsheet1,Spreadsheet1,2,1,3,Correct,advancementZone,continue_button,3938.4000000059605,,,,,0,1,0,,,,,,Audio Check,cura
7,1696886759831,09/10/2023 21:25:59,1696886759594,-4,09/10/2023 17:25:59,121155,36,task-gbnv,,32121632,BLIND,9498264,,complete,,65246ea5c5b88f20469ea226,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 101.0.0.0,1512x982,1452x858,,,,Audio Check,8,SoundCheckPassed,5,test passed,,,,,7,,,,yes,Spreadsheet1,,,END TASK,,,,,78887,,,,,0,1,0,,,,,,,
1,1696888472395,09/10/2023 21:54:32,1696888470822,-6,09/10/2023 15:54:30,121155,36,task-gbnv,,32122074,BLIND,9498431,,complete,,652474d1da4a55500fe46b02,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,2560x1440,1356x1281,,,,Audio Check,8,SoundCheckPassed,8,test passed,,,,,,,,3,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1696888479406,09/10/2023 21:54:39,1696888477881,-6,09/10/2023 15:54:37,121155,36,task-gbnv,,32122074,BLIND,9498431,,complete,,652474d1da4a55500fe46b02,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,2560x1440,1356x1281,,,,Audio Check,8,SoundCheckPassed,8,test passed,,,,,,,,3,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,7043,,,,,0,1,0,,,,,,Instructions,
3,1696888480667,09/10/2023 21:54:40,1696888479135,-6,09/10/2023 15:54:39,121155,36,task-gbnv,,32122074,BLIND,9498431,,complete,,652474d1da4a55500fe46b02,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,2560x1440,1356x1281,,,,Audio Check,8,SoundCheckPassed,8,test passed,,,,,,,,3,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,1249.7999997138977,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Audio Check,cura
4,1696888481886,09/10/2023 21:54:41,1696888480375,-6,09/10/2023 15:54:40,121155,36,task-gbnv,,32122074,BLIND,9498431,,complete,,652474d1da4a55500fe46b02,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,2560x1440,1356x1281,,,,Audio Check,8,SoundCheckPassed,8,test passed,,,,,,,,3,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_rating_scale_likert_active,2489.699999809265,,,cura,1,1,0,0,,,,,,Audio Check,cura
5,1696888483135,09/10/2023 21:54:43,1696888481622,-6,09/10/2023 15:54:41,121155,36,task-gbnv,,32122074,BLIND,9498431,,complete,,652474d1da4a55500fe46b02,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,2560x1440,1356x1281,,,,Audio Check,8,SoundCheckPassed,8,test passed,,,,,,,,3,yes,Spreadsheet1,Spreadsheet1,2,1,3,Correct,advancementZone,continue_button,1245.3000001907349,,,,,0,1,0,,,,,,Audio Check,cura
6,1696888483377,09/10/2023 21:54:43,1696888481624,-6,09/10/2023 15:54:41,121155,36,task-gbnv,,32122074,BLIND,9498431,,complete,,652474d1da4a55500fe46b02,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,2560x1440,1356x1281,,,,Audio Check,8,SoundCheckPassed,8,test passed,,,,,,,,3,yes,Spreadsheet1,,,END TASK,,,,,10802,,,,,0,1,0,,,,,,,
1,1696888835912,09/10/2023 22:00:35,1696888835714,-4,09/10/2023 18:00:35,121155,36,task-gbnv,,32122124,BLIND,9498441,,complete,,652477ba236d11f740c8ba51,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x783,,,,Audio Check,8,SoundCheckPassed,6,test passed,,,,,,2,,,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1696889423213,09/10/2023 22:10:23,1696889422332,-4,09/10/2023 18:10:22,121155,36,task-gbnv,,32122124,BLIND,9498441,,complete,,652477ba236d11f740c8ba51,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x783,,,,Audio Check,8,SoundCheckPassed,6,test passed,,,,,,2,,,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,586595.5,,,,,0,1,0,,,,,,Instructions,
3,1696889425027,09/10/2023 22:10:25,1696889424847,-4,09/10/2023 18:10:24,121155,36,task-gbnv,,32122124,BLIND,9498441,,complete,,652477ba236d11f740c8ba51,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x783,,,,Audio Check,8,SoundCheckPassed,6,test passed,,,,,,2,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,2505.400000002235,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Audio Check,cura
4,1696889428159,09/10/2023 22:10:28,1696889427997,-4,09/10/2023 18:10:27,121155,36,task-gbnv,,32122124,BLIND,9498441,,complete,,652477ba236d11f740c8ba51,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x783,,,,Audio Check,8,SoundCheckPassed,6,test passed,,,,,,2,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,5656,,,AUDIO PLAY REQUESTED,2,0,1,0,,,,,,Audio Check,cura
5,1696889431074,09/10/2023 22:10:31,1696889430883,-4,09/10/2023 18:10:30,121155,36,task-gbnv,,32122124,BLIND,9498441,,complete,,652477ba236d11f740c8ba51,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x783,,,,Audio Check,8,SoundCheckPassed,6,test passed,,,,,,2,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,8541.70000000298,,,AUDIO PLAY REQUESTED,3,0,1,0,,,,,,Audio Check,cura
6,1696889432030,09/10/2023 22:10:32,1696889431870,-4,09/10/2023 18:10:31,121155,36,task-gbnv,,32122124,BLIND,9498441,,complete,,652477ba236d11f740c8ba51,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x783,,,,Audio Check,8,SoundCheckPassed,6,test passed,,,,,,2,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_rating_scale_likert_active,9527.60000000149,,,cura,1,1,0,0,,,,,,Audio Check,cura
7,1696889433650,09/10/2023 22:10:33,1696889433477,-4,09/10/2023 18:10:33,121155,36,task-gbnv,,32122124,BLIND,9498441,,complete,,652477ba236d11f740c8ba51,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x783,,,,Audio Check,8,SoundCheckPassed,6,test passed,,,,,,2,,,yes,Spreadsheet1,Spreadsheet1,2,1,3,Correct,advancementZone,continue_button,1602.800000000745,,,,,0,1,0,,,,,,Audio Check,cura
8,1696889433779,09/10/2023 22:10:33,1696889433480,-4,09/10/2023 18:10:33,121155,36,task-gbnv,,32122124,BLIND,9498441,,complete,,652477ba236d11f740c8ba51,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x783,,,,Audio Check,8,SoundCheckPassed,6,test passed,,,,,,2,,,yes,Spreadsheet1,,,END TASK,,,,,597766,,,,,0,1,0,,,,,,,
1,1696891685550,09/10/2023 22:48:05,1696891685586,-5,09/10/2023 17:48:05,121155,36,task-gbnv,,32122330,BLIND,9498502,,complete,,652482eab917d506ce6c6985,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x919,,,,Audio Check,8,SoundCheckPassed,2,test passed,,4,,,,,,,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1696891689539,09/10/2023 22:48:09,1696891689629,-5,09/10/2023 17:48:09,121155,36,task-gbnv,,32122330,BLIND,9498502,,complete,,652482eab917d506ce6c6985,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x919,,,,Audio Check,8,SoundCheckPassed,2,test passed,,4,,,,,,,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,4029,,,,,0,1,0,,,,,,Instructions,
3,1696891690759,09/10/2023 22:48:10,1696891690854,-5,09/10/2023 17:48:10,121155,36,task-gbnv,,32122330,BLIND,9498502,,complete,,652482eab917d506ce6c6985,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x919,,,,Audio Check,8,SoundCheckPassed,2,test passed,,4,,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,1221,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Audio Check,cura
4,1696891692284,09/10/2023 22:48:12,1696891692388,-5,09/10/2023 17:48:12,121155,36,task-gbnv,,32122330,BLIND,9498502,,complete,,652482eab917d506ce6c6985,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x919,,,,Audio Check,8,SoundCheckPassed,2,test passed,,4,,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_rating_scale_likert_active,2754,,,cura,1,1,0,0,,,,,,Audio Check,cura
5,1696891694167,09/10/2023 22:48:14,1696891694245,-5,09/10/2023 17:48:14,121155,36,task-gbnv,,32122330,BLIND,9498502,,complete,,652482eab917d506ce6c6985,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x919,,,,Audio Check,8,SoundCheckPassed,2,test passed,,4,,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,3,Correct,advancementZone,continue_button,1853,,,,,0,1,0,,,,,,Audio Check,cura
6,1696891694300,09/10/2023 22:48:14,1696891694258,-5,09/10/2023 17:48:14,121155,36,task-gbnv,,32122330,BLIND,9498502,,complete,,652482eab917d506ce6c6985,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x919,,,,Audio Check,8,SoundCheckPassed,2,test passed,,4,,,,,,,yes,Spreadsheet1,,,END TASK,,,,,8672,,,,,0,1,0,,,,,,,
1,1696891948602,09/10/2023 22:52:28,1696891950008,-4,09/10/2023 18:52:30,121155,36,task-gbnv,,32122360,BLIND,9498514,,complete,,652483e53c6d02dfcecc34f0,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x707,,,,Audio Check,8,SoundCheckPassed,8,test passed,,,,,,,,1,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1696891967222,09/10/2023 22:52:47,1696891968680,-4,09/10/2023 18:52:48,121155,36,task-gbnv,,32122360,BLIND,9498514,,complete,,652483e53c6d02dfcecc34f0,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x707,,,,Audio Check,8,SoundCheckPassed,8,test passed,,,,,,,,1,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,18651.59999999404,,,,,0,1,0,,,,,,Instructions,
3,1696891968424,09/10/2023 22:52:48,1696891969875,-4,09/10/2023 18:52:49,121155,36,task-gbnv,,32122360,BLIND,9498514,,complete,,652483e53c6d02dfcecc34f0,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x707,,,,Audio Check,8,SoundCheckPassed,8,test passed,,,,,,,,1,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,1189.5999999940395,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Audio Check,cura
4,1696891970156,09/10/2023 22:52:50,1696891971624,-4,09/10/2023 18:52:51,121155,36,task-gbnv,,32122360,BLIND,9498514,,complete,,652483e53c6d02dfcecc34f0,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x707,,,,Audio Check,8,SoundCheckPassed,8,test passed,,,,,,,,1,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,2938.399999976158,,,AUDIO PLAY REQUESTED,2,0,1,0,,,,,,Audio Check,cura
5,1696891971208,09/10/2023 22:52:51,1696891972684,-4,09/10/2023 18:52:52,121155,36,task-gbnv,,32122360,BLIND,9498514,,complete,,652483e53c6d02dfcecc34f0,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x707,,,,Audio Check,8,SoundCheckPassed,8,test passed,,,,,,,,1,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_rating_scale_likert_active,3998.399999976158,,,cura,1,1,0,0,,,,,,Audio Check,cura
6,1696891973400,09/10/2023 22:52:53,1696891974860,-4,09/10/2023 18:52:54,121155,36,task-gbnv,,32122360,BLIND,9498514,,complete,,652483e53c6d02dfcecc34f0,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x707,,,,Audio Check,8,SoundCheckPassed,8,test passed,,,,,,,,1,yes,Spreadsheet1,Spreadsheet1,2,1,3,Correct,advancementZone,continue_button,2172.300000011921,,,,,0,1,0,,,,,,Audio Check,cura
7,1696891973536,09/10/2023 22:52:53,1696891974862,-4,09/10/2023 18:52:54,121155,36,task-gbnv,,32122360,BLIND,9498514,,complete,,652483e53c6d02dfcecc34f0,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x707,,,,Audio Check,8,SoundCheckPassed,8,test passed,,,,,,,,1,yes,Spreadsheet1,,,END TASK,,,,,24854,,,,,0,1,0,,,,,,,
1,1696892288570,09/10/2023 22:58:08,1696892289065,-7,09/10/2023 15:58:09,121155,36,task-gbnv,,32122393,BLIND,9498522,,complete,,652484d5d104cb805ae3922a,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x603,,,,Audio Check,8,SoundCheckPassed,6,test passed,,,,,,1,,,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
