Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-xe3o,randomiser-mhmr,branch-632j,randomiser-ydsz,randomiser-dv67,randomiser-4jvp,randomiser-whjp,randomiser-8x67,randomiser-wkma,randomiser-dxqf,randomiser-ibiw,branch-tihy,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
3,1696906252169,10/10/2023 02:50:52,1696906252062,-7,09/10/2023 19:50:52,121155,36,task-gbnv,,32123243,BLIND,9498747,,complete,,6524bb5c20d972fe6f9d0735,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.1,1440x900,1440x820,,,,Audio Check,8,SoundCheckPassed,2,test passed,,6,,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,2627,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Audio Check,cura
4,1696906253935,10/10/2023 02:50:53,1696906253825,-7,09/10/2023 19:50:53,121155,36,task-gbnv,,32123243,BLIND,9498747,,complete,,6524bb5c20d972fe6f9d0735,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.1,1440x900,1440x820,,,,Audio Check,8,SoundCheckPassed,2,test passed,,6,,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_rating_scale_likert_active,4389,,,cura,1,1,0,0,,,,,,Audio Check,cura
5,1696906255876,10/10/2023 02:50:55,1696906255765,-7,09/10/2023 19:50:55,121155,36,task-gbnv,,32123243,BLIND,9498747,,complete,,6524bb5c20d972fe6f9d0735,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.1,1440x900,1440x820,,,,Audio Check,8,SoundCheckPassed,2,test passed,,6,,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,3,Correct,advancementZone,continue_button,1932.9999999999964,,,,,0,1,0,,,,,,Audio Check,cura
6,1696906256057,10/10/2023 02:50:56,1696906255769,-7,09/10/2023 19:50:55,121155,36,task-gbnv,,32123243,BLIND,9498747,,complete,,6524bb5c20d972fe6f9d0735,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.1,1440x900,1440x820,,,,Audio Check,8,SoundCheckPassed,2,test passed,,6,,,,,,,yes,Spreadsheet1,,,END TASK,,,,,21318,,,,,0,1,0,,,,,,,
1,1696909809704,10/10/2023 03:50:09,1696909809533,-4,09/10/2023 23:50:09,121155,36,task-gbnv,,32123347,BLIND,9498791,,complete,,6524c98e61a6306ee204ea29,computer,Desktop or Laptop,Mac OS 10.15,Firefox 117.0,1440x900,1440x686,,,,Audio Check,8,SoundCheckPassed,7,test passed,,,,,,,8,,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1696909819332,10/10/2023 03:50:19,1696909819224,-4,09/10/2023 23:50:19,121155,36,task-gbnv,,32123347,BLIND,9498791,,complete,,6524c98e61a6306ee204ea29,computer,Desktop or Laptop,Mac OS 10.15,Firefox 117.0,1440x900,1440x686,,,,Audio Check,8,SoundCheckPassed,7,test passed,,,,,,,8,,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,9659,,,,,0,1,0,,,,,,Instructions,
3,1696909821194,10/10/2023 03:50:21,1696909821073,-4,09/10/2023 23:50:21,121155,36,task-gbnv,,32123347,BLIND,9498791,,complete,,6524c98e61a6306ee204ea29,computer,Desktop or Laptop,Mac OS 10.15,Firefox 117.0,1440x900,1440x686,,,,Audio Check,8,SoundCheckPassed,7,test passed,,,,,,,8,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,1839,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Audio Check,cura
4,1696909822911,10/10/2023 03:50:22,1696909822781,-4,09/10/2023 23:50:22,121155,36,task-gbnv,,32123347,BLIND,9498791,,complete,,6524c98e61a6306ee204ea29,computer,Desktop or Laptop,Mac OS 10.15,Firefox 117.0,1440x900,1440x686,,,,Audio Check,8,SoundCheckPassed,7,test passed,,,,,,,8,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_rating_scale_likert_active,3546,,,cura,1,1,0,0,,,,,,Audio Check,cura
5,1696909824838,10/10/2023 03:50:24,1696909824713,-4,09/10/2023 23:50:24,121155,36,task-gbnv,,32123347,BLIND,9498791,,complete,,6524c98e61a6306ee204ea29,computer,Desktop or Laptop,Mac OS 10.15,Firefox 117.0,1440x900,1440x686,,,,Audio Check,8,SoundCheckPassed,7,test passed,,,,,,,8,,yes,Spreadsheet1,Spreadsheet1,2,1,3,Correct,advancementZone,continue_button,1926,,,,,0,1,0,,,,,,Audio Check,cura
6,1696909824953,10/10/2023 03:50:24,1696909824716,-4,09/10/2023 23:50:24,121155,36,task-gbnv,,32123347,BLIND,9498791,,complete,,6524c98e61a6306ee204ea29,computer,Desktop or Laptop,Mac OS 10.15,Firefox 117.0,1440x900,1440x686,,,,Audio Check,8,SoundCheckPassed,7,test passed,,,,,,,8,,yes,Spreadsheet1,,,END TASK,,,,,15183,,,,,0,1,0,,,,,,,
1,1696910477214,10/10/2023 04:01:17,1696910477049,-7,09/10/2023 21:01:17,121155,36,task-gbnv,,32123391,BLIND,9498798,,complete,,6524cbbc0379b41f3ed5d88e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1280x800,1280x715,,,,Audio Check,8,SoundCheckPassed,4,test passed,,,,8,,,,,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1696910487981,10/10/2023 04:01:27,1696910487871,-7,09/10/2023 21:01:27,121155,36,task-gbnv,,32123391,BLIND,9498798,,complete,,6524cbbc0379b41f3ed5d88e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1280x800,1280x715,,,,Audio Check,8,SoundCheckPassed,4,test passed,,,,8,,,,,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,10779.699999988079,,,,,0,1,0,,,,,,Instructions,
3,1696910501148,10/10/2023 04:01:41,1696910501048,-7,09/10/2023 21:01:41,121155,36,task-gbnv,,32123391,BLIND,9498798,,complete,,6524cbbc0379b41f3ed5d88e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1280x800,1280x715,,,,Audio Check,8,SoundCheckPassed,4,test passed,,,,8,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,13167.10000000894,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Audio Check,cura
