Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-xe3o,randomiser-mhmr,branch-632j,randomiser-ydsz,randomiser-dv67,randomiser-4jvp,randomiser-whjp,randomiser-8x67,randomiser-wkma,randomiser-dxqf,randomiser-ibiw,branch-tihy,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Audio file,Orthography
3,1696941594475,10/10/2023 12:39:54,1696941587162,-5,10/10/2023 07:39:47,121155,36,task-tl3i,,32130959,BLIND,9501120,,complete,,65254594b6b338a9186d24c0,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x963,,,,Test Run Phonotactics,11,SoundCheckPassed,3,test passed,,,4,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_slider_initialValue,0,,,50,,0,1,0,,,,,,Task,turo.mp3,turo
4,1696941594475,10/10/2023 12:39:54,1696941587169,-5,10/10/2023 07:39:47,121155,36,task-tl3i,,32130959,BLIND,9501120,,complete,,65254594b6b338a9186d24c0,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x963,,,,Test Run Phonotactics,11,SoundCheckPassed,3,test passed,,,4,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,8.399999856948853,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Task,turo.mp3,turo
5,1696941600603,10/10/2023 12:40:00,1696941593445,-5,10/10/2023 07:39:53,121155,36,task-tl3i,,32130959,BLIND,9501120,,complete,,65254594b6b338a9186d24c0,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x963,,,,Test Run Phonotactics,11,SoundCheckPassed,3,test passed,,,4,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_slider_endValue,6283.599999904633,,,100,,0,1,0,,,,,,Task,turo.mp3,turo
6,1696941600750,10/10/2023 12:40:00,1696941593445,-5,10/10/2023 07:39:53,121155,36,task-tl3i,,32130959,BLIND,9501120,,complete,,65254594b6b338a9186d24c0,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x963,,,,Test Run Phonotactics,11,SoundCheckPassed,3,test passed,,,4,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone4,continue_button,6283.599999904633,,,,,0,1,0,,,,,,Task,turo.mp3,turo
7,1696941600750,10/10/2023 12:40:00,1696941593449,-5,10/10/2023 07:39:53,121155,36,task-tl3i,,32130959,BLIND,9501120,,complete,,65254594b6b338a9186d24c0,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x963,,,,Test Run Phonotactics,11,SoundCheckPassed,3,test passed,,,4,,,,,,yes,Spreadsheet1,Spreadsheet1,3,2,1,Screen 1,Zone3,response_slider_initialValue,0,,,50,,0,1,0,,,,,,Task,chanu.mp3,chanú
8,1696941600750,10/10/2023 12:40:00,1696941593450,-5,10/10/2023 07:39:53,121155,36,task-tl3i,,32130959,BLIND,9501120,,complete,,65254594b6b338a9186d24c0,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x963,,,,Test Run Phonotactics,11,SoundCheckPassed,3,test passed,,,4,,,,,,yes,Spreadsheet1,Spreadsheet1,3,2,1,Screen 1,Zone1,content_web_audio,1.2000000476837158,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Task,chanu.mp3,chanú
9,1696941604338,10/10/2023 12:40:04,1696941597171,-5,10/10/2023 07:39:57,121155,36,task-tl3i,,32130959,BLIND,9501120,,complete,,65254594b6b338a9186d24c0,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x963,,,,Test Run Phonotactics,11,SoundCheckPassed,3,test passed,,,4,,,,,,yes,Spreadsheet1,Spreadsheet1,3,2,1,Screen 1,Zone3,response_slider_endValue,3721.5999999046326,,,0,,0,1,0,,,,,,Task,chanu.mp3,chanú
10,1696941604474,10/10/2023 12:40:04,1696941597171,-5,10/10/2023 07:39:57,121155,36,task-tl3i,,32130959,BLIND,9501120,,complete,,65254594b6b338a9186d24c0,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x963,,,,Test Run Phonotactics,11,SoundCheckPassed,3,test passed,,,4,,,,,,yes,Spreadsheet1,Spreadsheet1,3,2,1,Screen 1,Zone4,continue_button,3721.5999999046326,,,,,0,1,0,,,,,,Task,chanu.mp3,chanú
11,1696941604474,10/10/2023 12:40:04,1696941597173,-5,10/10/2023 07:39:57,121155,36,task-tl3i,,32130959,BLIND,9501120,,complete,,65254594b6b338a9186d24c0,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x963,,,,Test Run Phonotactics,11,SoundCheckPassed,3,test passed,,,4,,,,,,yes,Spreadsheet1,,,END TASK,,,,,16724,,,,,0,1,0,,,,,,,,
1,1696942350334,10/10/2023 12:52:30,1696942351446,-4,10/10/2023 08:52:31,121155,36,task-tl3i,,32131412,BLIND,9501259,,complete,,6525483f38f8e0bd8ddc6c88,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.41,1024x820,691x674,,,,Test Run Phonotactics,11,SoundCheckPassed,7,test passed,,,,,,,6,,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1696942353636,10/10/2023 12:52:33,1696942354796,-4,10/10/2023 08:52:34,121155,36,task-tl3i,,32131412,BLIND,9501259,,complete,,6525483f38f8e0bd8ddc6c88,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.41,1024x820,691x674,,,,Test Run Phonotactics,11,SoundCheckPassed,7,test passed,,,,,,,6,,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,3296.5,,,,,0,1,0,,,,,,Prompt,,
