Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-xe3o,randomiser-mhmr,branch-632j,randomiser-ydsz,randomiser-dv67,randomiser-4jvp,randomiser-whjp,randomiser-8x67,randomiser-wkma,randomiser-dxqf,randomiser-ibiw,branch-tihy,Randomise questionnaire elements?,END QUESTIONNAIRE
1,1696899777877,10/10/2023 01:02:57,1696899777708,-5,09/10/2023 20:02:57,121155,36,questionnaire-yepb,,32122864,BLIND,9498635,,complete,,6524a06990d5da15727841f6,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x923,,,,Final message,4,SoundCheckPassed,2,test passed,,8,,,,,,,yes,No,3287
1,1696900075709,10/10/2023 01:07:55,1696900075442,-4,09/10/2023 21:07:55,121155,36,questionnaire-yepb,,32122882,BLIND,9498632,,complete,,65249d76dbbe6c6799813068,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1341x907,,,,Final message,4,SoundCheckPassed,4,test passed,,,,7,,,,,yes,No,1597
1,1696904044605,10/10/2023 02:14:04,1696904044260,-4,09/10/2023 22:14:04,121155,36,questionnaire-yepb,,32123085,BLIND,9498700,,complete,,6524af26e408f4582fec10d8,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x955,,,,Final message,4,SoundCheckPassed,6,test passed,,,,,,3,,,yes,No,3140
1,1696904231056,10/10/2023 02:17:11,1696904230585,-7,09/10/2023 19:17:10,121155,36,questionnaire-yepb,,32123090,BLIND,9498708,,complete,,6524b1b7a54a92c7a5e9b019,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1280x800,1280x660,,,,Final message,4,SoundCheckPassed,7,test passed,,,,,,,4,,yes,No,2396
1,1696904389621,10/10/2023 02:19:49,1696904389427,-5,09/10/2023 21:19:49,121155,36,questionnaire-yepb,,32123105,BLIND,9498706,,complete,,6524b113291669a04bcb24a9,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1470x956,983x840,,,,Final message,4,SoundCheckPassed,8,test passed,,,,,,,,2,yes,No,3396
1,1696905730234,10/10/2023 02:42:10,1696905730060,-7,09/10/2023 19:42:10,121155,36,questionnaire-yepb,,32123209,BLIND,9498726,,complete,,6524b6991d2c8c69f3def1c5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1680x1050,1680x940,,,,Final message,4,SoundCheckPassed,1,test passed,3,,,,,,,,yes,No,1529
1,1696905991664,10/10/2023 02:46:31,1696906409548,-5,09/10/2023 21:53:29,121155,36,questionnaire-yepb,,32123225,BLIND,9498740,,complete,,6524b88c667eea373b3922ce,computer,Desktop or Laptop,Mac OS 10.15,Firefox 118.0,1440x900,1440x740,,,,Final message,4,SoundCheckPassed,6,test passed,,,,,,5,,,yes,No,2910
1,1696905993547,10/10/2023 02:46:33,1696905993358,-7,09/10/2023 19:46:33,121155,36,questionnaire-yepb,,32123226,BLIND,9498734,,complete,,6524b7a9aac78e55d0d91df4,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1470x956,1412x770,,,,Final message,4,SoundCheckPassed,5,test passed,,,,,4,,,,yes,No,2476
1,1696906084448,10/10/2023 02:48:04,1696906084130,-7,09/10/2023 19:48:04,121155,36,questionnaire-yepb,,32123231,BLIND,9498736,,complete,,6524b7c03c3a09efe7d5d7eb,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x923,,,,Final message,4,SoundCheckPassed,8,test passed,,,,,,,,5,yes,No,2212
1,1696906894187,10/10/2023 03:01:34,1696906894034,-7,09/10/2023 20:01:34,121155,36,questionnaire-yepb,,32123268,BLIND,9498747,,complete,,6524bb5c20d972fe6f9d0735,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.1,1440x900,1440x820,,,,Final message,4,SoundCheckPassed,2,test passed,,6,,,,,,,yes,No,1777
1,1696910442055,10/10/2023 04:00:42,1696910441901,-4,10/10/2023 00:00:41,121155,36,questionnaire-yepb,,32123389,BLIND,9498791,,complete,,6524c98e61a6306ee204ea29,computer,Desktop or Laptop,Mac OS 10.15,Firefox 117.0,1440x900,1440x686,,,,Final message,4,SoundCheckPassed,7,test passed,,,,,,,8,,yes,No,1539
