Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-xe3o,randomiser-mhmr,branch-632j,randomiser-ydsz,randomiser-dv67,randomiser-4jvp,randomiser-whjp,randomiser-8x67,randomiser-wkma,randomiser-dxqf,randomiser-ibiw,branch-tihy,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
7,1697601432483,18/10/2023 03:57:12,1697601431712,-4,17/10/2023 23:57:11,121155,36,task-znzu,,32321212,BLIND,9557225,,complete,,652f56aec589a18943282134,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x927,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,6,test passed,,,,,,7,,,yes,Spreadsheet1,Spreadsheet1,2,1,3,yana_check,Zone4,content_web_audio,1,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Task
8,1697601435542,18/10/2023 03:57:15,1697601434906,-4,17/10/2023 23:57:14,121155,36,task-znzu,,32321212,BLIND,9557225,,complete,,652f56aec589a18943282134,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x927,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,6,test passed,,,,,,7,,,yes,Spreadsheet1,Spreadsheet1,2,1,3,yana_check,Zone1,response_rating_scale_likert_active,3197,,,4,1,1,0,0,,,,,,Task
9,1697601436963,18/10/2023 03:57:16,1697601436314,-4,17/10/2023 23:57:16,121155,36,task-znzu,,32321212,BLIND,9557225,,complete,,652f56aec589a18943282134,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x927,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,6,test passed,,,,,,7,,,yes,Spreadsheet1,Spreadsheet1,2,1,4,success,advancementZone,continue_button,1405,,,,,0,1,0,,,,,,Task
10,1697601437110,18/10/2023 03:57:17,1697601436316,-4,17/10/2023 23:57:16,121155,36,task-znzu,,32321212,BLIND,9557225,,complete,,652f56aec589a18943282134,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x927,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,6,test passed,,,,,,7,,,yes,Spreadsheet1,Spreadsheet1,2,1,6,move,Zone1,timelimit_screen,1,,,,,0,1,0,,,1,,,Task
11,1697601437110,18/10/2023 03:57:17,1697601436331,-4,17/10/2023 23:57:16,121155,36,task-znzu,,32321212,BLIND,9557225,,complete,,652f56aec589a18943282134,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x927,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,6,test passed,,,,,,7,,,yes,Spreadsheet1,,,END TASK,,,,,43857,,,,,0,1,0,,,,,,
1,1697854295432,21/10/2023 02:11:35,1697854295305,-4,20/10/2023 22:11:35,121155,36,task-znzu,,32393006,BLIND,9585510,,complete,,6533330b9ff08900c5f6b7db,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1080,1920x955,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,3,test passed,,,7,,,,,,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1697854361066,21/10/2023 02:12:41,1697854360981,-4,20/10/2023 22:12:40,121155,36,task-znzu,,32393006,BLIND,9585510,,complete,,6533330b9ff08900c5f6b7db,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1080,1920x955,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,3,test passed,,,7,,,,,,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,65658.09999999404,,,,,0,1,0,,,,,,Prompt
3,1697854361198,21/10/2023 02:12:41,1697854360994,-4,20/10/2023 22:12:40,121155,36,task-znzu,,32393006,BLIND,9585510,,complete,,6533330b9ff08900c5f6b7db,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1080,1920x955,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,3,test passed,,,7,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,sraba_check,Zone4,content_web_audio,2,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Task
4,1697854365750,21/10/2023 02:12:45,1697854365676,-4,20/10/2023 22:12:45,121155,36,task-znzu,,32393006,BLIND,9585510,,complete,,6533330b9ff08900c5f6b7db,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1080,1920x955,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,3,test passed,,,7,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,sraba_check,Zone1,response_rating_scale_likert_active,4682.9000000059605,,,2,1,0,1,0,,,,,,Task
5,1697854382328,21/10/2023 02:13:02,1697854382249,-4,20/10/2023 22:13:02,121155,36,task-znzu,,32393006,BLIND,9585510,,complete,,6533330b9ff08900c5f6b7db,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1080,1920x955,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,3,test passed,,,7,,,,,,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
6,1697854383542,21/10/2023 02:13:03,1697854383445,-4,20/10/2023 22:13:03,121155,36,task-znzu,,32393006,BLIND,9585510,,complete,,6533330b9ff08900c5f6b7db,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1080,1920x955,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,3,test passed,,,7,,,,,,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,1140.4000000059605,,,,,0,1,0,,,,,,Prompt
7,1697854383682,21/10/2023 02:13:03,1697854383455,-4,20/10/2023 22:13:03,121155,36,task-znzu,,32393006,BLIND,9585510,,complete,,6533330b9ff08900c5f6b7db,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1080,1920x955,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,3,test passed,,,7,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,sraba_check,Zone4,content_web_audio,0.800000011920929,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Task
8,1697854387131,21/10/2023 02:13:07,1697854387053,-4,20/10/2023 22:13:07,121155,36,task-znzu,,32393006,BLIND,9585510,,complete,,6533330b9ff08900c5f6b7db,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1080,1920x955,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,3,test passed,,,7,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,sraba_check,Zone1,response_rating_scale_likert_active,3598.600000023842,,,1,1,1,0,0,,,,,,Task
9,1697854387258,21/10/2023 02:13:07,1697854387059,-4,20/10/2023 22:13:07,121155,36,task-znzu,,32393006,BLIND,9585510,,complete,,6533330b9ff08900c5f6b7db,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1080,1920x955,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,3,test passed,,,7,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,2,tado_check,Zone4,content_web_audio,0.5999999940395355,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Task
10,1697854389146,21/10/2023 02:13:09,1697854389069,-4,20/10/2023 22:13:09,121155,36,task-znzu,,32393006,BLIND,9585510,,complete,,6533330b9ff08900c5f6b7db,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1080,1920x955,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,3,test passed,,,7,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,2,tado_check,Zone1,response_rating_scale_likert_active,2010.300000011921,,,7,1,1,0,0,,,,,,Task
11,1697854389275,21/10/2023 02:13:09,1697854389074,-4,20/10/2023 22:13:09,121155,36,task-znzu,,32393006,BLIND,9585510,,complete,,6533330b9ff08900c5f6b7db,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1080,1920x955,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,3,test passed,,,7,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,3,yana_check,Zone4,content_web_audio,0.5,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Task
12,1697854390927,21/10/2023 02:13:10,1697854390851,-4,20/10/2023 22:13:10,121155,36,task-znzu,,32393006,BLIND,9585510,,complete,,6533330b9ff08900c5f6b7db,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1080,1920x955,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,3,test passed,,,7,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,3,yana_check,Zone1,response_rating_scale_likert_active,1777.199999988079,,,4,1,1,0,0,,,,,,Task
