word,bucket_q,uni_prob,bi_prob_smoothed
k i f1 e1,uni2-bi3,-15.949694212652131,-15.962243154437092
x o b1 e1,uni2-bi3,-15.975255733589393,-15.60003790445086
t͡ʃ1 e1 d e,uni2-bi3,-15.979585034898545,-15.323178546661367
t͡ʃ a ɾ1 o1,uni2-bi3,-15.982828193363318,-15.053014669246815
b i x1 i1,uni2-bi3,-15.975971314678237,-14.743572721636545
d i b1 u1,uni2-bi3,-15.720925064238529,-15.926087312647958
p o f1 e1,uni2-bi3,-15.782808061922436,-15.641883211544943
k a g1 u1,uni2-bi3,-15.777330106260091,-15.3330869099535
r1 i1 p o,uni2-bi3,-15.76284918094775,-15.030621289439582
x a b1 e1,uni2-bi3,-15.78158228036104,-14.733912766995116
t i s1 o1,uni4-bi4,-14.17720165177846,-13.962365415050597
k1 u1 s e,uni4-bi4,-14.184741448407852,-12.120934912279512
p1 a1 m o,uni4-bi4,-14.219388800253668,-11.092764765248823
g1 a1 d e,uni4-bi4,-14.193438493551316,-10.496616139900947
p1 a1 d o,uni4-bi4,-13.992419958354288,-9.228514573661757
t1 i1 b e,uni4-bi4,-13.647386073306352,-12.07679072970174
m1 a1 ɾ o,uni4-bi4,-13.67941955556284,-11.099298162784493
m1 a1 d e,uni4-bi4,-13.662109566038245,-10.22447087994467
d a t1 i1,uni4-bi4,-13.17478566608742,-13.968010937670694
d o t1 a1,uni4-bi4,-13.11138017595093,-13.027258983771068
t1 e1 ɾ a,uni4-bi4,-13.175926074948205,-11.15010382058159
t1 a1 d a,uni4-bi4,-12.917706722722574,-10.143217177227998
t1 a1 d o,uni4-bi4,-13.11138017595093,-9.056377541377866
m a ɾ1 i1,uni4-bi4,-12.637507623373136,-14.004953925629328
d e s1 a1,uni4-bi4,-12.682156235327575,-12.986184681137283
s1 a1 t e,uni4-bi4,-12.53356428795998,-12.005338504787414
t1 a1 ɾ e,uni4-bi4,-12.751206441181786,-11.185529229686011
s1 a1 d e,uni4-bi4,-12.682156235327575,-10.48283743673312
s a t1 a1,uni4-bi4,-12.077311681018893,-13.962880893194706
t e ɾ1 a1,uni4-bi4,-12.009799481822792,-12.979971526117929
s1 i1 s e,uni4-bi4,-12.098840136988736,-11.963164363651996
t1 a1 d e,uni4-bi4,-12.922638313804056,-9.9499593370488
i1 e1 s a,uni4-bi4,-11.800529888595197,-13.819738950937866
s1 a1 s e,uni4-bi4,-11.84176119362389,-13.11619151696604
i1 a1 d o,uni4-bi4,-12.404947158679336,-11.538848058412892
s1 a1 d a,uni4-bi4,-12.677224644246092,-10.676095276912314
s1 i1 d e,uni4-bi4,-12.93923517869242,-10.474299839843887
