segment,probability
EY,-3.9609747692645243
AH,-2.2536588651466025
B,-3.8471358581715465
AE,-3.6948846584580077
K,-3.0467701654006882
S,-2.8109153824175452
N,-2.616942359218472
D,-3.363182425653682
M,-3.4309245883401087
T,-2.678256271335924
SH,-4.238094579759465
IY,-3.1645382847005408
R,-2.91388038668091
V,-4.259933843614636
IH,-2.742871841283955
OW,-4.327608550025488
AA,-3.9230029176900425
L,-2.8201006181524253
EH,-3.4685975249746317
ER,-3.4917901713739066
HH,-4.871773020916618
AO,-4.417435508415282
AY,-4.281029960660897
NG,-4.751936005981655
JH,-4.709513192340101
Z,-4.4216738006085174
AW,-5.597266007419618
ZH,-6.812515199813489
G,-4.441212187217644
P,-3.491231668147995
UW,-4.483478920732273
CH,-5.205141271600239
Y,-4.997824789521517
F,-4.02616846181241
W,-4.685265812314332
OY,-6.531297273981597
UH,-5.977814764263248
TH,-5.577583312961193
DH,-6.792106328182282
